DAYS_BIRTH,OCCUPATION_TYPE,prediction
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-13642,High skill tech staff,3
-13642,High skill tech staff,3
-13642,High skill tech staff,3
-13642,High skill tech staff,3
-13642,High skill tech staff,3
-15484,Drivers,5
-15484,Drivers,5
-15484,Drivers,5
-15484,Drivers,5
-10321,"",5
-10321,"",5
-10321,"",5
-10321,"",5
-17785,Laborers,7
-17785,Laborers,7
-17785,Laborers,7
-17785,Laborers,7
-17785,Laborers,7
-17785,Laborers,7
-17785,Laborers,7
-17785,Laborers,7
-16027,"",22
-16027,"",22
-16027,"",22
-16027,"",22
-22319,"",15
-22319,"",15
-22319,"",15
-22319,"",15
-22319,"",15
-22319,"",15
-22319,"",15
-20874,Drivers,1
-20874,Drivers,1
-20874,Drivers,1
-20874,Drivers,1
-20874,Drivers,1
-20874,Drivers,1
-20874,Drivers,1
-16582,Cleaning staff,19
-16582,Cleaning staff,19
-16582,Cleaning staff,19
-16582,Cleaning staff,19
-16582,Cleaning staff,19
-16582,Cleaning staff,19
-16582,Cleaning staff,19
-10628,Managers,16
-10628,Managers,16
-9927,Drivers,2
-9927,Drivers,2
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-18926,Laborers,15
-15444,"",6
-15444,"",6
-15444,"",6
-15444,"",6
-15444,"",6
-15444,"",6
-15444,"",6
-15444,"",6
-15444,"",6
-15444,"",6
-19861,Laborers,10
-19861,Laborers,10
-14450,Laborers,10
-14450,Laborers,10
-10554,Accountants,14
-10554,Accountants,14
-10554,Accountants,14
-18682,"",13
-18682,"",13
-18682,"",13
-18682,"",13
-18682,"",13
-18682,"",13
-14326,Core staff,16
-14326,Core staff,16
-17641,Core staff,9
-17641,Core staff,9
-17641,Core staff,9
-17641,Core staff,9
-17641,Core staff,9
-17641,Core staff,9
-17641,Core staff,9
-10997,Core staff,3
-10997,Core staff,3
-10997,Core staff,3
-10997,Core staff,3
-10997,Core staff,3
-8861,Drivers,10
-8861,Drivers,10
-7489,Private service staff,4
-22331,"",18
-10450,Sales staff,0
-10450,Sales staff,0
-10450,Sales staff,0
-10450,Sales staff,0
-10450,Sales staff,0
-10450,Sales staff,0
-10450,Sales staff,0
-10450,Sales staff,0
-10450,Sales staff,0
-10264,High skill tech staff,14
-10264,High skill tech staff,14
-10264,High skill tech staff,14
-17726,Core staff,10
-17726,Core staff,10
-14122,Drivers,4
-10064,Laborers,21
-10064,Laborers,21
-10064,Laborers,21
-20531,Drivers,5
-20531,Drivers,5
-20531,Drivers,5
-20531,Drivers,5
-14730,Laborers,5
-14730,Laborers,5
-14730,Laborers,5
-14730,Laborers,5
-12628,Drivers,18
-12197,Managers,23
-12197,Managers,23
-12197,Managers,23
-12197,Managers,23
-13679,Accountants,21
-13679,Accountants,21
-13679,Accountants,21
-13271,Managers,16
-13271,Managers,16
-12859,Drivers,3
-12859,Drivers,3
-12859,Drivers,3
-12859,Drivers,3
-12859,Drivers,3
-15321,Security staff,10
-15321,Security staff,10
-8842,High skill tech staff,18
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-15737,"",15
-21673,"",20
-21673,"",20
-21673,"",20
-21673,"",20
-21673,"",20
-21673,"",20
-21673,"",20
-21673,"",20
-9657,Managers,16
-9657,Managers,16
-18289,"",10
-18289,"",10
-15825,Managers,9
-15825,Managers,9
-15825,Managers,9
-15825,Managers,9
-15825,Managers,9
-15825,Managers,9
-15825,Managers,9
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-19575,Sales staff,0
-12915,Sales staff,8
-12915,Sales staff,8
-12915,Sales staff,8
-12915,Sales staff,8
-12915,Sales staff,8
-12915,Sales staff,8
-22877,"",18
-18325,Laborers,20
-18325,Laborers,20
-18325,Laborers,20
-18325,Laborers,20
-18325,Laborers,20
-18325,Laborers,20
-18325,Laborers,20
-18325,Laborers,20
-17573,Managers,20
-17573,Managers,20
-17573,Managers,20
-17573,Managers,20
-17573,Managers,20
-17573,Managers,20
-17573,Managers,20
-17573,Managers,20
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-20953,Accountants,15
-12333,Accountants,17
-12333,Accountants,17
-12333,Accountants,17
-12333,Accountants,17
-12333,Accountants,17
-12333,Accountants,17
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-14667,Managers,11
-10611,Drivers,3
-10611,Drivers,3
-10611,Drivers,3
-10611,Drivers,3
-10611,Drivers,3
-19082,Core staff,11
-19082,Core staff,11
-19082,Core staff,11
-14201,"",21
-14201,"",21
-14201,"",21
-9957,Drivers,8
-9957,Drivers,8
-9957,Drivers,8
-9957,Drivers,8
-9957,Drivers,8
-9957,Drivers,8
-15970,Cleaning staff,14
-15970,Cleaning staff,14
-15970,Cleaning staff,14
-14562,Core staff,3
-14562,Core staff,3
-14562,Core staff,3
-14562,Core staff,3
-14562,Core staff,3
-21091,"",4
-10266,Managers,24
-10266,Managers,24
-10266,Managers,24
-10266,Managers,24
-10266,Managers,24
-14781,Laborers,19
-14781,Laborers,19
-14781,Laborers,19
-14781,Laborers,19
-14781,Laborers,19
-14781,Laborers,19
-14781,Laborers,19
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-15140,Cleaning staff,11
-21041,"",19
-21041,"",19
-16099,Laborers,3
-16099,Laborers,3
-16099,Laborers,3
-16099,Laborers,3
-16099,Laborers,3
-22061,"",23
-22061,"",23
-22061,"",23
-22061,"",23
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20140,"",15
-20991,Laborers,20
-20991,Laborers,20
-20991,Laborers,20
-20991,Laborers,20
-20991,Laborers,20
-20991,Laborers,20
-20991,Laborers,20
-20991,Laborers,20
-16203,Managers,5
-16203,Managers,5
-16203,Managers,5
-16203,Managers,5
-18674,Security staff,10
-18674,Security staff,10
-10750,High skill tech staff,9
-10750,High skill tech staff,9
-10750,High skill tech staff,9
-10750,High skill tech staff,9
-10750,High skill tech staff,9
-10750,High skill tech staff,9
-10750,High skill tech staff,9
-21155,Drivers,5
-21155,Drivers,5
-21155,Drivers,5
-21155,Drivers,5
-19692,Laborers,20
-19692,Laborers,20
-19063,Managers,19
-19063,Managers,19
-14867,Drivers,1
-14867,Drivers,1
-14867,Drivers,1
-14867,Drivers,1
-14867,Drivers,1
-14867,Drivers,1
-14867,Drivers,1
-23187,"",7
-23187,"",7
-23187,"",7
-23187,"",7
-23187,"",7
-23187,"",7
-23187,"",7
-23187,"",7
-11281,Core staff,14
-11281,Core staff,14
-11281,Core staff,14
-9430,Sales staff,8
-9430,Sales staff,8
-9430,Sales staff,8
-9430,Sales staff,8
-9430,Sales staff,8
-14718,Managers,22
-14718,Managers,22
-14718,Managers,22
-14718,Managers,22
-11042,Core staff,7
-11042,Core staff,7
-11042,Core staff,7
-11042,Core staff,7
-11042,Core staff,7
-11042,Core staff,7
-11042,Core staff,7
-11042,Core staff,7
-12506,Accountants,15
-12506,Accountants,15
-12506,Accountants,15
-12506,Accountants,15
-12506,Accountants,15
-12506,Accountants,15
-20604,Security staff,10
-20604,Security staff,10
-10331,Core staff,10
-10331,Core staff,10
-13923,Drivers,3
-13923,Drivers,3
-13923,Drivers,3
-13923,Drivers,3
-13923,Drivers,3
-19304,Core staff,20
-19304,Core staff,20
-19304,Core staff,20
-19304,Core staff,20
-19304,Core staff,20
-19304,Core staff,20
-19304,Core staff,20
-19304,Core staff,20
-19304,Core staff,20
-19569,Security staff,22
-8182,Cooking staff,2
-8182,Cooking staff,2
-19944,"",10
-19944,"",10
-8657,Laborers,16
-8657,Laborers,16
-14835,Drivers,10
-14835,Drivers,10
-19940,"",10
-19940,"",10
-23480,"",13
-23480,"",13
-23480,"",13
-23480,"",13
-23480,"",13
-9489,"",3
-9489,"",3
-9489,"",3
-9489,"",3
-9489,"",3
-13855,"",16
-13855,"",16
-14435,Drivers,14
-14435,Drivers,14
-14435,Drivers,14
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-17274,Laborers,12
-19702,"",6
-19702,"",6
-19702,"",6
-19702,"",6
-19702,"",6
-19702,"",6
-19702,"",6
-19702,"",6
-19702,"",6
-19702,"",6
-13241,"",15
-13241,"",15
-13241,"",15
-13241,"",15
-13241,"",15
-12130,Cooking staff,14
-12130,Cooking staff,14
-12130,Cooking staff,14
-9736,"",2
-9736,"",2
-9736,"",2
-16196,Laborers,2
-16196,Laborers,2
-16196,Laborers,2
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-11706,Drivers,12
-16100,Core staff,3
-16100,Core staff,3
-16100,Core staff,3
-16100,Core staff,3
-16100,Core staff,3
-16888,Core staff,20
-16888,Core staff,20
-16888,Core staff,20
-16888,Core staff,20
-16888,Core staff,20
-16888,Core staff,20
-16888,Core staff,20
-12463,Laborers,22
-12463,Laborers,22
-12463,Laborers,22
-12463,Laborers,22
-11998,Laborers,15
-11998,Laborers,15
-13590,"",6
-13590,"",6
-13590,"",6
-13590,"",6
-13590,"",6
-13590,"",6
-13590,"",6
-13590,"",6
-13590,"",6
-13590,"",6
-15455,Laborers,18
-15527,Sales staff,23
-15527,Sales staff,23
-15527,Sales staff,23
-15527,Sales staff,23
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-18813,Laborers,15
-20302,"",17
-20302,"",17
-20302,"",17
-20302,"",17
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-15153,Laborers,12
-17074,Accountants,14
-17074,Accountants,14
-17074,Accountants,14
-21316,"",24
-21316,"",24
-21316,"",24
-21316,"",24
-21316,"",24
-11682,Sales staff,14
-11682,Sales staff,14
-11682,Sales staff,14
-14374,Sales staff,16
-14374,Sales staff,16
-8488,"",17
-8488,"",17
-23532,"",10
-23532,"",10
-17383,Core staff,19
-17383,Core staff,19
-17383,Core staff,19
-17383,Core staff,19
-17383,Core staff,19
-17383,Core staff,19
-13455,Sales staff,16
-13455,Sales staff,16
-12872,Sales staff,21
-12872,Sales staff,21
-12872,Sales staff,21
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-12277,High skill tech staff,6
-17367,"",21
-17367,"",21
-17367,"",21
-19056,Drivers,22
-19056,Drivers,22
-19056,Drivers,22
-19056,Drivers,22
-19305,Laborers,17
-19305,Laborers,17
-19305,Laborers,17
-19305,Laborers,17
-19305,Laborers,17
-19305,Laborers,17
-9890,Laborers,14
-9890,Laborers,14
-9890,Laborers,14
-10049,Drivers,1
-10049,Drivers,1
-21426,"",23
-21426,"",23
-21426,"",23
-21426,"",23
-8489,"",16
-8489,"",16
-14689,Low-skill Laborers,3
-14689,Low-skill Laborers,3
-14689,Low-skill Laborers,3
-14689,Low-skill Laborers,3
-14689,Low-skill Laborers,3
-18650,"",7
-18650,"",7
-18650,"",7
-18650,"",7
-18650,"",7
-18650,"",7
-18650,"",7
-18650,"",7
-10166,"",23
-10166,"",23
-10166,"",23
-10166,"",23
-19191,"",8
-19191,"",8
-19191,"",8
-19191,"",8
-19191,"",8
-19191,"",8
-15805,Core staff,16
-15805,Core staff,16
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-21688,"",15
-23299,"",24
-23299,"",24
-23299,"",24
-23299,"",24
-23299,"",24
-12999,Managers,19
-12999,Managers,19
-12999,Managers,19
-12999,Managers,19
-12999,Managers,19
-12999,Managers,19
-12999,Managers,19
-20863,"",3
-20863,"",3
-20863,"",3
-20863,"",3
-20863,"",3
-11644,Managers,23
-11644,Managers,23
-11644,Managers,23
-11644,Managers,23
-11102,Sales staff,16
-11102,Sales staff,16
-9380,"",8
-9380,"",8
-9380,"",8
-9380,"",8
-9380,"",8
-9380,"",8
-19316,"",15
-19316,"",15
-9887,Sales staff,22
-9887,Sales staff,22
-9887,Sales staff,22
-9887,Sales staff,22
-13178,Laborers,14
-13178,Laborers,14
-13178,Laborers,14
-19341,Managers,5
-19341,Managers,5
-19341,Managers,5
-19341,Managers,5
-14657,Core staff,1
-14657,Core staff,1
-14657,Core staff,1
-14657,Core staff,1
-14657,Core staff,1
-14657,Core staff,1
-12328,Sales staff,16
-12328,Sales staff,16
-13557,"",7
-13557,"",7
-13557,"",7
-13557,"",7
-13557,"",7
-13557,"",7
-13557,"",7
-13557,"",7
-9087,Laborers,17
-9087,Laborers,17
-9087,Laborers,17
-9087,Laborers,17
-9087,Laborers,17
-9087,Laborers,17
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14118,Laborers,0
-14906,Core staff,16
-14906,Core staff,16
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-22002,"",0
-15435,"",9
-15435,"",9
-15435,"",9
-15435,"",9
-15435,"",9
-15435,"",9
-15435,"",9
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-11813,Sales staff,15
-14883,Cooking staff,1
-14883,Cooking staff,1
-14883,Cooking staff,1
-14883,Cooking staff,1
-14883,Cooking staff,1
-14883,Cooking staff,1
-14883,Cooking staff,1
-15759,Sales staff,13
-15759,Sales staff,13
-15759,Sales staff,13
-15759,Sales staff,13
-15759,Sales staff,13
-10435,Core staff,9
-10435,Core staff,9
-10435,Core staff,9
-10435,Core staff,9
-10435,Core staff,9
-10435,Core staff,9
-10435,Core staff,9
-13120,Medicine staff,10
-13120,Medicine staff,10
-12636,Laborers,10
-12636,Laborers,10
-17932,Sales staff,18
-15901,Security staff,16
-15901,Security staff,16
-12282,Managers,18
-10084,Sales staff,21
-10084,Sales staff,21
-10084,Sales staff,21
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-10276,Drivers,15
-14555,Managers,3
-14555,Managers,3
-14555,Managers,3
-14555,Managers,3
-14555,Managers,3
-15144,Managers,24
-15144,Managers,24
-15144,Managers,24
-15144,Managers,24
-15144,Managers,24
-15499,Core staff,10
-15499,Core staff,10
-9839,Laborers,4
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-21635,"",12
-13172,Managers,2
-13172,Managers,2
-11992,Private service staff,10
-11992,Private service staff,10
-11131,Core staff,2
-11131,Core staff,2
-11131,Core staff,2
-19120,Drivers,20
-19120,Drivers,20
-19120,Drivers,20
-19120,Drivers,20
-19120,Drivers,20
-19120,Drivers,20
-19120,Drivers,20
-19120,Drivers,20
-12752,Accountants,12
-12752,Accountants,12
-12752,Accountants,12
-12752,Accountants,12
-12752,Accountants,12
-12752,Accountants,12
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-19958,Laborers,15
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-10710,Sales staff,6
-8482,"",4
-12756,"",18
-12690,Cooking staff,22
-12690,Cooking staff,22
-12690,Cooking staff,22
-12690,Cooking staff,22
-23083,"",18
-16076,"",21
-16076,"",21
-16076,"",21
-16613,"",24
-16613,"",24
-16613,"",24
-16613,"",24
-16613,"",24
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-20644,Medicine staff,11
-22867,"",11
-22867,"",11
-22867,"",11
-14749,Drivers,22
-14749,Drivers,22
-16839,Managers,18
-13940,Managers,13
-13940,Managers,13
-13940,Managers,13
-13940,Managers,13
-13940,Managers,13
-12330,Accountants,5
-12330,Accountants,5
-12242,Core staff,5
-12242,Core staff,5
-12242,Core staff,5
-12242,Core staff,5
-23322,"",14
-23322,"",14
-23322,"",14
-10926,Secretaries,19
-10926,Secretaries,19
-10926,Secretaries,19
-10926,Secretaries,19
-10926,Secretaries,19
-10926,Secretaries,19
-10926,Secretaries,19
-12896,"",1
-12896,"",1
-12896,"",1
-12896,"",1
-12896,"",1
-12896,"",1
-10833,"",10
-10833,"",10
-20782,Laborers,12
-20782,Laborers,12
-20782,Laborers,12
-20782,Laborers,12
-20782,Laborers,12
-22121,"",10
-22121,"",10
-21582,"",9
-21582,"",9
-21582,"",9
-21582,"",9
-21582,"",9
-21582,"",9
-21582,"",9
-21889,Core staff,20
-21889,Core staff,20
-21889,Core staff,20
-21889,Core staff,20
-21889,Core staff,20
-21889,Core staff,20
-21889,Core staff,20
-21889,Core staff,20
-21889,Core staff,20
-18474,Cleaning staff,13
-18474,Cleaning staff,13
-18474,Cleaning staff,13
-18474,Cleaning staff,13
-18474,Cleaning staff,13
-18474,Cleaning staff,13
-16975,Laborers,16
-16975,Laborers,16
-16573,"",15
-16573,"",15
-16573,"",15
-16573,"",15
-16573,"",15
-16573,"",15
-16573,"",15
-16573,"",15
-16573,"",15
-16573,"",15
-18388,Core staff,16
-18388,Core staff,16
-11091,Managers,4
-16757,Core staff,3
-16757,Core staff,3
-16757,Core staff,3
-16757,Core staff,3
-16757,Core staff,3
-12518,Cleaning staff,2
-12518,Cleaning staff,2
-12518,Cleaning staff,2
-20931,Security staff,1
-20931,Security staff,1
-20931,Security staff,1
-20931,Security staff,1
-20931,Security staff,1
-20931,Security staff,1
-20931,Security staff,1
-8128,Sales staff,4
-10304,Laborers,8
-10304,Laborers,8
-10304,Laborers,8
-10304,Laborers,8
-10304,Laborers,8
-10304,Laborers,8
-13541,Core staff,14
-13541,Core staff,14
-13541,Core staff,14
-22578,"",2
-22578,"",2
-22578,"",2
-22118,"",24
-22118,"",24
-22118,"",24
-22118,"",24
-22118,"",24
-21269,"",0
-21269,"",0
-21269,"",0
-21269,"",0
-21269,"",0
-15397,Core staff,4
-8363,"",4
-14170,Managers,24
-14170,Managers,24
-14170,Managers,24
-14170,Managers,24
-14170,Managers,24
-14995,"",4
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-12927,Managers,12
-23287,"",6
-23287,"",6
-23287,"",6
-23287,"",6
-23287,"",6
-23287,"",6
-23287,"",6
-23287,"",6
-23287,"",6
-23287,"",6
-12500,Managers,7
-12500,Managers,7
-12500,Managers,7
-12500,Managers,7
-12500,Managers,7
-12500,Managers,7
-12500,Managers,7
-12500,Managers,7
-18614,"",10
-18614,"",10
-22117,Security staff,13
-22117,Security staff,13
-22117,Security staff,13
-22117,Security staff,13
-22117,Security staff,13
-18501,Medicine staff,14
-18501,Medicine staff,14
-18501,Medicine staff,14
-21300,Laborers,21
-21300,Laborers,21
-21300,Laborers,21
-8824,Laborers,18
-18376,"",24
-18376,"",24
-18376,"",24
-18376,"",24
-18376,"",24
-16797,Laborers,9
-16797,Laborers,9
-16797,Laborers,9
-16797,Laborers,9
-16797,Laborers,9
-16797,Laborers,9
-16797,Laborers,9
-16797,Laborers,9
-15602,Sales staff,21
-15602,Sales staff,21
-15602,Sales staff,21
-23336,"",16
-23336,"",16
-18104,Drivers,4
-23200,"",10
-23200,"",10
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-9981,Laborers,12
-13764,Core staff,10
-13764,Core staff,10
-18973,"",22
-18973,"",22
-18973,"",22
-18973,"",22
-17532,Medicine staff,20
-17532,Medicine staff,20
-17532,Medicine staff,20
-17532,Medicine staff,20
-17532,Medicine staff,20
-17532,Medicine staff,20
-17532,Medicine staff,20
-17532,Medicine staff,20
-17532,Medicine staff,20
-21572,Secretaries,2
-21572,Secretaries,2
-21572,Secretaries,2
-16507,Drivers,8
-16507,Drivers,8
-16507,Drivers,8
-16507,Drivers,8
-16507,Drivers,8
-16507,Drivers,8
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-20145,Laborers,12
-19714,Managers,14
-19714,Managers,14
-19714,Managers,14
-14686,Cooking staff,16
-14686,Cooking staff,16
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-13790,"",11
-20387,"",6
-20387,"",6
-20387,"",6
-20387,"",6
-20387,"",6
-20387,"",6
-20387,"",6
-20387,"",6
-20387,"",6
-20387,"",6
-10016,Sales staff,14
-10016,Sales staff,14
-10016,Sales staff,14
-14918,Sales staff,13
-14918,Sales staff,13
-14918,Sales staff,13
-14918,Sales staff,13
-14918,Sales staff,13
-20233,"",2
-20233,"",2
-20233,"",2
-23413,"",22
-23413,"",22
-23413,"",22
-23413,"",22
-15109,Core staff,7
-15109,Core staff,7
-15109,Core staff,7
-15109,Core staff,7
-15109,Core staff,7
-15109,Core staff,7
-15109,Core staff,7
-15109,Core staff,7
-9493,Cooking staff,13
-9493,Cooking staff,13
-9493,Cooking staff,13
-9493,Cooking staff,13
-9493,Cooking staff,13
-9493,Cooking staff,13
-22867,"",11
-22867,"",11
-22867,"",11
-22867,"",11
-22867,"",11
-22867,"",11
-22867,"",11
