DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,NAME_INCOME_TYPE,prediction
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-13642,-4846,High skill tech staff,Commercial associate,6
-13642,-4846,High skill tech staff,Commercial associate,6
-13642,-4846,High skill tech staff,Commercial associate,6
-13642,-4846,High skill tech staff,Commercial associate,6
-13642,-4846,High skill tech staff,Commercial associate,6
-15484,-1408,Drivers,Working,54
-15484,-1408,Drivers,Working,54
-15484,-1408,Drivers,Working,54
-15484,-1408,Drivers,Working,54
-10321,-2808,"",Working,88
-10321,-2808,"",Working,88
-10321,-2808,"",Working,88
-10321,-2808,"",Working,88
-17785,-1712,Laborers,Working,24
-17785,-1712,Laborers,Working,24
-17785,-1712,Laborers,Working,24
-17785,-1712,Laborers,Working,24
-17785,-1712,Laborers,Working,24
-17785,-1712,Laborers,Working,24
-17785,-1712,Laborers,Working,24
-17785,-1712,Laborers,Working,24
-16027,-889,"",Working,61
-16027,-889,"",Working,61
-16027,-889,"",Working,61
-16027,-889,"",Working,61
-22319,365243,"",Pensioner,55
-22319,365243,"",Pensioner,55
-22319,365243,"",Pensioner,55
-22319,365243,"",Pensioner,55
-22319,365243,"",Pensioner,55
-22319,365243,"",Pensioner,55
-22319,365243,"",Pensioner,55
-20874,-2381,Drivers,State servant,62
-20874,-2381,Drivers,State servant,62
-20874,-2381,Drivers,State servant,62
-20874,-2381,Drivers,State servant,62
-20874,-2381,Drivers,State servant,62
-20874,-2381,Drivers,State servant,62
-20874,-2381,Drivers,State servant,62
-16582,-1194,Cleaning staff,Working,48
-16582,-1194,Cleaning staff,Working,48
-16582,-1194,Cleaning staff,Working,48
-16582,-1194,Cleaning staff,Working,48
-16582,-1194,Cleaning staff,Working,48
-16582,-1194,Cleaning staff,Working,48
-16582,-1194,Cleaning staff,Working,48
-10628,-828,Managers,Working,73
-10628,-828,Managers,Working,73
-9927,-828,Drivers,Working,89
-9927,-828,Drivers,Working,89
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-18926,-6276,Laborers,Working,81
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-15444,-3112,"",State servant,66
-19861,-10843,Laborers,Commercial associate,53
-19861,-10843,Laborers,Commercial associate,53
-14450,-2777,Laborers,Commercial associate,53
-14450,-2777,Laborers,Commercial associate,53
-10554,-1194,Accountants,Working,88
-10554,-1194,Accountants,Working,88
-10554,-1194,Accountants,Working,88
-18682,365243,"",Pensioner,71
-18682,365243,"",Pensioner,71
-18682,365243,"",Pensioner,71
-18682,365243,"",Pensioner,71
-18682,365243,"",Pensioner,71
-18682,365243,"",Pensioner,71
-14326,-555,Core staff,Working,73
-14326,-555,Core staff,Working,73
-17641,-889,Core staff,Working,0
-17641,-889,Core staff,Working,0
-17641,-889,Core staff,Working,0
-17641,-889,Core staff,Working,0
-17641,-889,Core staff,Working,0
-17641,-889,Core staff,Working,0
-17641,-889,Core staff,Working,0
-10997,-2289,Core staff,Working,65
-10997,-2289,Core staff,Working,65
-10997,-2289,Core staff,Working,65
-10997,-2289,Core staff,Working,65
-10997,-2289,Core staff,Working,65
-8861,-889,Drivers,Working,5
-8861,-889,Drivers,Working,5
-7489,-797,Private service staff,Commercial associate,13
-22331,365243,"",Pensioner,91
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10450,-2077,Sales staff,Working,58
-10264,-3173,High skill tech staff,Commercial associate,3
-10264,-3173,High skill tech staff,Commercial associate,3
-10264,-3173,High skill tech staff,Commercial associate,3
-17726,-708,Core staff,State servant,42
-17726,-708,Core staff,State servant,42
-14122,-1286,Drivers,Working,13
-10064,-3173,Laborers,Working,3
-10064,-3173,Laborers,Working,3
-10064,-3173,Laborers,Working,3
-20531,-5730,Drivers,Working,54
-20531,-5730,Drivers,Working,54
-20531,-5730,Drivers,Working,54
-20531,-5730,Drivers,Working,54
-14730,-2989,Laborers,Commercial associate,78
-14730,-2989,Laborers,Commercial associate,78
-14730,-2989,Laborers,Commercial associate,78
-14730,-2989,Laborers,Commercial associate,78
-12628,-4025,Drivers,Working,13
-12197,-1194,Managers,Working,22
-12197,-1194,Managers,Working,22
-12197,-1194,Managers,Working,22
-12197,-1194,Managers,Working,22
-13679,-4391,Accountants,Commercial associate,46
-13679,-4391,Accountants,Commercial associate,46
-13679,-4391,Accountants,Commercial associate,46
-13271,-555,Managers,Working,73
-13271,-555,Managers,Working,73
-12859,-4056,Drivers,Working,98
-12859,-4056,Drivers,Working,98
-12859,-4056,Drivers,Working,98
-12859,-4056,Drivers,Working,98
-12859,-4056,Drivers,Working,98
-15321,-2747,Security staff,Commercial associate,53
-15321,-2747,Security staff,Commercial associate,53
-8842,-312,High skill tech staff,Commercial associate,13
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-15737,-432,"",Commercial associate,7
-21673,365243,"",Pensioner,51
-21673,365243,"",Pensioner,51
-21673,365243,"",Pensioner,51
-21673,365243,"",Pensioner,51
-21673,365243,"",Pensioner,51
-21673,365243,"",Pensioner,51
-21673,365243,"",Pensioner,51
-21673,365243,"",Pensioner,51
-9657,-1560,Managers,Working,43
-9657,-1560,Managers,Working,43
-18289,365243,"",Pensioner,33
-18289,365243,"",Pensioner,33
-15825,-3720,Managers,Working,56
-15825,-3720,Managers,Working,56
-15825,-3720,Managers,Working,56
-15825,-3720,Managers,Working,56
-15825,-3720,Managers,Working,56
-15825,-3720,Managers,Working,56
-15825,-3720,Managers,Working,56
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-19575,-2901,Sales staff,Working,40
-12915,-3174,Sales staff,Working,84
-12915,-3174,Sales staff,Working,84
-12915,-3174,Sales staff,Working,84
-12915,-3174,Sales staff,Working,84
-12915,-3174,Sales staff,Working,84
-12915,-3174,Sales staff,Working,84
-22877,365243,"",Pensioner,38
-18325,-1256,Laborers,Working,24
-18325,-1256,Laborers,Working,24
-18325,-1256,Laborers,Working,24
-18325,-1256,Laborers,Working,24
-18325,-1256,Laborers,Working,24
-18325,-1256,Laborers,Working,24
-18325,-1256,Laborers,Working,24
-18325,-1256,Laborers,Working,24
-17573,-5792,Managers,Working,24
-17573,-5792,Managers,Working,24
-17573,-5792,Managers,Working,24
-17573,-5792,Managers,Working,24
-17573,-5792,Managers,Working,24
-17573,-5792,Managers,Working,24
-17573,-5792,Managers,Working,24
-17573,-5792,Managers,Working,24
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-20953,-8684,Accountants,State servant,7
-12333,-860,Accountants,Working,41
-12333,-860,Accountants,Working,41
-12333,-860,Accountants,Working,41
-12333,-860,Accountants,Working,41
-12333,-860,Accountants,Working,41
-12333,-860,Accountants,Working,41
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-14667,-798,Managers,Working,35
-10611,-982,Drivers,Working,22
-10611,-982,Drivers,Working,22
-10611,-982,Drivers,Working,22
-10611,-982,Drivers,Working,22
-10611,-982,Drivers,Working,22
-19082,-5243,Core staff,Working,16
-19082,-5243,Core staff,Working,16
-19082,-5243,Core staff,Working,16
-14201,-2139,"",Commercial associate,46
-14201,-2139,"",Commercial associate,46
-14201,-2139,"",Commercial associate,46
-9957,-921,Drivers,Working,41
-9957,-921,Drivers,Working,41
-9957,-921,Drivers,Working,41
-9957,-921,Drivers,Working,41
-9957,-921,Drivers,Working,41
-9957,-921,Drivers,Working,41
-15970,-8987,Cleaning staff,Working,18
-15970,-8987,Cleaning staff,Working,18
-15970,-8987,Cleaning staff,Working,18
-14562,-1287,Core staff,State servant,94
-14562,-1287,Core staff,State servant,94
-14562,-1287,Core staff,State servant,94
-14562,-1287,Core staff,State servant,94
-14562,-1287,Core staff,State servant,94
-21091,365243,"",Pensioner,38
-10266,-1652,Managers,State servant,27
-10266,-1652,Managers,State servant,27
-10266,-1652,Managers,State servant,27
-10266,-1652,Managers,State servant,27
-10266,-1652,Managers,State servant,27
-14781,-2443,Laborers,Commercial associate,48
-14781,-2443,Laborers,Commercial associate,48
-14781,-2443,Laborers,Commercial associate,48
-14781,-2443,Laborers,Commercial associate,48
-14781,-2443,Laborers,Commercial associate,48
-14781,-2443,Laborers,Commercial associate,48
-14781,-2443,Laborers,Commercial associate,48
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-15140,-4816,Cleaning staff,Working,2
-21041,365243,"",Pensioner,37
-21041,365243,"",Pensioner,37
-16099,-1866,Laborers,Working,27
-16099,-1866,Laborers,Working,27
-16099,-1866,Laborers,Working,27
-16099,-1866,Laborers,Working,27
-16099,-1866,Laborers,Working,27
-22061,365243,"",Pensioner,45
-22061,365243,"",Pensioner,45
-22061,365243,"",Pensioner,45
-22061,365243,"",Pensioner,45
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20140,365243,"",Pensioner,55
-20991,-4727,Laborers,Working,24
-20991,-4727,Laborers,Working,24
-20991,-4727,Laborers,Working,24
-20991,-4727,Laborers,Working,24
-20991,-4727,Laborers,Working,24
-20991,-4727,Laborers,Working,24
-20991,-4727,Laborers,Working,24
-20991,-4727,Laborers,Working,24
-16203,-7100,Managers,Working,78
-16203,-7100,Managers,Working,78
-16203,-7100,Managers,Working,78
-16203,-7100,Managers,Working,78
-18674,-5304,Security staff,Working,42
-18674,-5304,Security staff,Working,42
-10750,-2443,High skill tech staff,Working,0
-10750,-2443,High skill tech staff,Working,0
-10750,-2443,High skill tech staff,Working,0
-10750,-2443,High skill tech staff,Working,0
-10750,-2443,High skill tech staff,Working,0
-10750,-2443,High skill tech staff,Working,0
-10750,-2443,High skill tech staff,Working,0
-21155,-130,Drivers,Commercial associate,88
-21155,-130,Drivers,Commercial associate,88
-21155,-130,Drivers,Commercial associate,88
-21155,-130,Drivers,Commercial associate,88
-19692,-5273,Laborers,Commercial associate,17
-19692,-5273,Laborers,Commercial associate,17
-19063,-7404,Managers,Working,19
-19063,-7404,Managers,Working,19
-14867,-586,Drivers,Commercial associate,48
-14867,-586,Drivers,Commercial associate,48
-14867,-586,Drivers,Commercial associate,48
-14867,-586,Drivers,Commercial associate,48
-14867,-586,Drivers,Commercial associate,48
-14867,-586,Drivers,Commercial associate,48
-14867,-586,Drivers,Commercial associate,48
-23187,365243,"",Pensioner,51
-23187,365243,"",Pensioner,51
-23187,365243,"",Pensioner,51
-23187,365243,"",Pensioner,51
-23187,365243,"",Pensioner,51
-23187,365243,"",Pensioner,51
-23187,365243,"",Pensioner,51
-23187,365243,"",Pensioner,51
-11281,-1744,Core staff,Working,36
-11281,-1744,Core staff,Working,36
-11281,-1744,Core staff,Working,36
-9430,-1195,Sales staff,Working,93
-9430,-1195,Sales staff,Working,93
-9430,-1195,Sales staff,Working,93
-9430,-1195,Sales staff,Working,93
-9430,-1195,Sales staff,Working,93
-14718,-5578,Managers,State servant,36
-14718,-5578,Managers,State servant,36
-14718,-5578,Managers,State servant,36
-14718,-5578,Managers,State servant,36
-11042,-3174,Core staff,State servant,51
-11042,-3174,Core staff,State servant,51
-11042,-3174,Core staff,State servant,51
-11042,-3174,Core staff,State servant,51
-11042,-3174,Core staff,State servant,51
-11042,-3174,Core staff,State servant,51
-11042,-3174,Core staff,State servant,51
-11042,-3174,Core staff,State servant,51
-12506,-495,Accountants,Working,15
-12506,-495,Accountants,Working,15
-12506,-495,Accountants,Working,15
-12506,-495,Accountants,Working,15
-12506,-495,Accountants,Working,15
-12506,-495,Accountants,Working,15
-20604,-252,Security staff,Commercial associate,42
-20604,-252,Security staff,Commercial associate,42
-10331,-433,Core staff,Commercial associate,5
-10331,-433,Core staff,Commercial associate,5
-13923,-2290,Drivers,Working,97
-13923,-2290,Drivers,Working,97
-13923,-2290,Drivers,Working,97
-13923,-2290,Drivers,Working,97
-13923,-2290,Drivers,Working,97
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19304,-464,Core staff,Working,99
-19569,-1013,Security staff,Working,61
-8182,-1317,Cooking staff,Working,28
-8182,-1317,Cooking staff,Working,28
-19944,365243,"",Pensioner,91
-19944,365243,"",Pensioner,91
-8657,-1164,Laborers,Working,91
-8657,-1164,Laborers,Working,91
-14835,-1195,Drivers,State servant,5
-14835,-1195,Drivers,State servant,5
-19940,365243,"",Pensioner,91
-19940,365243,"",Pensioner,91
-23480,365243,"",Pensioner,71
-23480,365243,"",Pensioner,71
-23480,365243,"",Pensioner,71
-23480,365243,"",Pensioner,71
-23480,365243,"",Pensioner,71
-9489,-1682,"",State servant,22
-9489,-1682,"",State servant,22
-9489,-1682,"",State servant,22
-9489,-1682,"",State servant,22
-9489,-1682,"",State servant,22
-13855,-739,"",Commercial associate,4
-13855,-739,"",Commercial associate,4
-14435,-3386,Drivers,Working,34
-14435,-3386,Drivers,Working,34
-14435,-3386,Drivers,Working,34
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-17274,-1348,Laborers,State servant,10
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-19702,-9870,"",Working,66
-13241,-4451,"",Commercial associate,90
-13241,-4451,"",Commercial associate,90
-13241,-4451,"",Commercial associate,90
-13241,-4451,"",Commercial associate,90
-13241,-4451,"",Commercial associate,90
-12130,-798,Cooking staff,Working,3
-12130,-798,Cooking staff,Working,3
-12130,-798,Cooking staff,Working,3
-9736,-2870,"",Working,1
-9736,-2870,"",Working,1
-9736,-2870,"",Working,1
-16196,-6218,Laborers,Commercial associate,34
-16196,-6218,Laborers,Commercial associate,34
-16196,-6218,Laborers,Commercial associate,34
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-11706,-1164,Drivers,Commercial associate,57
-16100,-4939,Core staff,Working,97
-16100,-4939,Core staff,Working,97
-16100,-4939,Core staff,Working,97
-16100,-4939,Core staff,Working,97
-16100,-4939,Core staff,Working,97
-16888,-2687,Core staff,Working,24
-16888,-2687,Core staff,Working,24
-16888,-2687,Core staff,Working,24
-16888,-2687,Core staff,Working,24
-16888,-2687,Core staff,Working,24
-16888,-2687,Core staff,Working,24
-16888,-2687,Core staff,Working,24
-12463,-2170,Laborers,Working,61
-12463,-2170,Laborers,Working,61
-12463,-2170,Laborers,Working,61
-12463,-2170,Laborers,Working,61
-11998,-1135,Laborers,Working,82
-11998,-1135,Laborers,Working,82
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-13590,-982,"",Commercial associate,52
-15455,-890,Laborers,Working,50
-15527,-1744,Sales staff,Commercial associate,94
-15527,-1744,Sales staff,Commercial associate,94
-15527,-1744,Sales staff,Commercial associate,94
-15527,-1744,Sales staff,Commercial associate,94
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-18813,-9748,Laborers,Commercial associate,81
-20302,365243,"",Pensioner,11
-20302,365243,"",Pensioner,11
-20302,365243,"",Pensioner,11
-20302,365243,"",Pensioner,11
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-15153,-3143,Laborers,Working,57
-17074,-798,Accountants,Working,88
-17074,-798,Accountants,Working,88
-17074,-798,Accountants,Working,88
-21316,365243,"",Pensioner,27
-21316,365243,"",Pensioner,27
-21316,365243,"",Pensioner,27
-21316,365243,"",Pensioner,27
-21316,365243,"",Pensioner,27
-11682,-678,Sales staff,Working,3
-11682,-678,Sales staff,Working,3
-11682,-678,Sales staff,Working,3
-14374,-798,Sales staff,Working,91
-14374,-798,Sales staff,Working,91
-8488,-1835,"",Working,19
-8488,-1835,"",Working,19
-23532,365243,"",Pensioner,91
-23532,365243,"",Pensioner,91
-17383,-890,Core staff,Working,85
-17383,-890,Core staff,Working,85
-17383,-890,Core staff,Working,85
-17383,-890,Core staff,Working,85
-17383,-890,Core staff,Working,85
-17383,-890,Core staff,Working,85
-13455,-2748,Sales staff,Commercial associate,73
-13455,-2748,Sales staff,Commercial associate,73
-12872,-3720,Sales staff,Working,31
-12872,-3720,Sales staff,Working,31
-12872,-3720,Sales staff,Working,31
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-12277,-982,High skill tech staff,Working,52
-17367,365243,"",Pensioner,3
-17367,365243,"",Pensioner,3
-17367,365243,"",Pensioner,3
-19056,-99,Drivers,Working,64
-19056,-99,Drivers,Working,64
-19056,-99,Drivers,Working,64
-19056,-99,Drivers,Working,64
-19305,-3296,Laborers,Working,44
-19305,-3296,Laborers,Working,44
-19305,-3296,Laborers,Working,44
-19305,-3296,Laborers,Working,44
-19305,-3296,Laborers,Working,44
-19305,-3296,Laborers,Working,44
-9890,-2047,Laborers,Working,36
-9890,-2047,Laborers,Working,36
