id,age,race,sex,workclass,income
89,30,White,Male,Private,<=50K
90,43,White,Female,Federal-gov,>50K
91,57,White,Male,Private,<=50K
92,37,White,Female,Private,<=50K
93,28,Black,Female,Private,<=50K
94,30,Asian-Pac-Islander,Female,Private,<=50K
95,34,White,Male,Local-gov,>50K
96,29,White,Male,Local-gov,<=50K
97,48,White,Male,Self-emp-not-inc,>50K
98,37,White,Male,Private,>50K
99,48,White,Female,Private,<=50K
100,32,Black,Male,Federal-gov,<=50K
101,76,White,Male,Private,>50K
102,44,White,Male,Private,>50K
103,47,White,Female,Self-emp-not-inc,<=50K
104,20,White,Female,Private,<=50K
105,29,White,Male,Private,<=50K
106,32,White,Male,Self-emp-inc,>50K
107,17,White,Female,?,<=50K
108,30,White,Male,Private,<=50K
109,31,White,Female,Local-gov,<=50K
110,42,White,Male,Private,<=50K
111,24,White,Male,Private,<=50K
112,38,White,Male,Private,>50K
113,56,White,Male,Self-emp-not-inc,>50K
114,28,White,Female,Private,<=50K
115,36,White,Female,Private,<=50K
116,53,White,Male,Private,<=50K
117,56,White,Male,Self-emp-inc,<=50K
118,49,Black,Male,Local-gov,>50K
119,55,White,Male,Private,<=50K
120,22,White,Male,Private,<=50K
121,21,White,Female,Private,<=50K
122,40,White,Male,Private,<=50K
123,30,Black,Male,Private,<=50K
124,29,White,Male,State-gov,>50K
125,19,Black,Male,Private,<=50K
126,47,White,Female,Private,>50K
127,20,White,Female,Private,<=50K
128,31,White,Male,Private,>50K
129,35,White,Male,?,<=50K
130,39,White,Male,Private,<=50K
131,28,White,Female,Private,<=50K
132,24,White,Female,Private,<=50K
133,38,White,Male,Self-emp-not-inc,<=50K
134,37,White,Male,Private,<=50K
135,46,Black,Female,Private,<=50K
136,38,White,Male,Federal-gov,>50K
137,43,White,Male,Self-emp-not-inc,<=50K
138,27,White,Female,Private,<=50K
139,20,White,Male,Private,<=50K
140,49,Asian-Pac-Islander,Male,Private,>50K
141,61,White,Male,Self-emp-inc,<=50K
142,27,White,Female,Private,<=50K
143,19,White,Male,Private,<=50K
144,45,White,Female,Private,>50K
145,70,White,Male,Private,<=50K
146,31,Black,Female,Private,<=50K
147,22,White,Male,Private,<=50K
148,36,White,Female,Private,<=50K
149,64,White,Male,Private,<=50K
150,43,White,Female,?,<=50K
151,47,White,Female,Local-gov,<=50K
152,34,White,Female,Private,<=50K
153,33,Asian-Pac-Islander,Female,Private,<=50K
154,21,White,Male,Private,<=50K
155,52,White,Male,?,>50K
156,48,White,Male,Private,<=50K
157,23,White,Male,Private,<=50K
158,71,Black,Male,Self-emp-not-inc,<=50K
159,29,White,Male,Private,<=50K
160,42,Black,Male,Private,<=50K
161,68,White,Female,?,<=50K
162,25,White,Female,Private,<=50K
163,44,Asian-Pac-Islander,Female,Self-emp-inc,<=50K
164,28,Asian-Pac-Islander,Female,Private,<=50K
165,45,White,Male,Self-emp-not-inc,>50K
166,36,White,Female,Private,<=50K
167,39,White,Male,Federal-gov,<=50K
168,46,White,Male,State-gov,<=50K
169,18,White,Male,Private,<=50K
170,66,White,Female,Local-gov,<=50K
171,27,White,Male,Private,<=50K
172,28,White,Male,State-gov,<=50K
173,51,White,Male,Private,>50K
174,27,White,Male,Private,<=50K
175,28,White,Male,State-gov,>50K
176,27,White,Female,Private,<=50K
177,21,Black,Male,Private,<=50K
178,34,Black,Male,Private,<=50K
179,18,White,Male,Private,<=50K
180,33,White,Male,Private,<=50K
181,44,Black,Male,Local-gov,>50K
182,43,White,Female,Private,<=50K
183,30,Black,Male,Private,<=50K
184,40,White,Male,Private,>50K
185,37,White,Male,Federal-gov,>50K
186,34,Black,Male,Private,<=50K
187,41,White,Female,Self-emp-not-inc,<=50K
188,53,White,Female,?,<=50K
189,31,White,Female,Private,<=50K
190,58,White,Male,State-gov,>50K
191,38,Black,Female,Private,<=50K
192,24,White,Male,Private,<=50K
193,41,Black,Male,Local-gov,<=50K
194,47,White,Male,Private,<=50K
195,41,White,Male,Federal-gov,<=50K
196,23,White,Male,Private,<=50K
197,36,White,Male,Private,<=50K
198,40,White,Female,Federal-gov,>50K
199,35,White,Male,Private,>50K
200,24,White,Male,Self-emp-not-inc,<=50K
201,26,White,Female,Private,<=50K
202,19,White,Male,?,<=50K
203,51,White,Male,Private,>50K
204,42,White,Female,Local-gov,<=50K
205,37,White,Female,State-gov,<=50K
206,18,White,Female,Private,<=50K
207,36,Black,Male,Private,>50K
208,35,White,Male,Private,<=50K
209,58,White,Female,Self-emp-inc,>50K
210,17,White,Female,Private,<=50K
211,44,Black,Male,Local-gov,<=50K
212,37,White,Male,Private,>50K
213,35,Amer-Indian-Eskimo,Female,Private,<=50K
214,60,Asian-Pac-Islander,Male,Private,<=50K
215,54,White,Male,Self-emp-inc,>50K
216,37,Black,Male,Private,>50K
217,50,White,Female,Private,<=50K
218,38,White,Male,Private,<=50K
219,45,White,Male,Private,<=50K
220,25,White,Male,Private,<=50K
221,31,White,Male,Private,<=50K
222,64,White,Male,?,<=50K
223,90,Black,Male,Private,<=50K
224,54,Black,Male,Private,<=50K
225,53,White,Female,Local-gov,<=50K
226,18,White,Female,Private,<=50K
227,60,Amer-Indian-Eskimo,Female,?,<=50K
228,66,White,Male,Self-emp-not-inc,<=50K
229,75,White,Female,Private,<=50K
230,65,White,Female,Private,<=50K
231,35,Black,Male,Private,<=50K
232,41,Black,Female,Private,<=50K
233,25,White,Male,Private,<=50K
234,33,Other,Female,Private,<=50K
235,28,White,Male,Private,>50K
236,59,White,Male,State-gov,<=50K
237,40,White,Female,State-gov,<=50K
238,41,White,Male,Private,>50K
239,38,White,Male,Local-gov,>50K
240,23,White,Male,Private,<=50K
241,40,White,Male,Private,>50K
242,41,White,Female,Self-emp-not-inc,<=50K
243,24,White,Male,State-gov,<=50K
244,20,White,Male,?,<=50K
245,38,White,Male,Private,<=50K
246,56,White,Male,Private,<=50K
247,58,White,Male,Private,>50K
248,32,White,Female,Private,<=50K
249,40,White,Male,Private,>50K
250,45,White,Male,Private,<=50K
251,41,White,Female,Private,>50K
252,42,Black,Female,Private,<=50K
253,59,Black,Female,Local-gov,<=50K
254,19,White,Male,Local-gov,<=50K
255,58,White,Male,Private,<=50K
256,42,Asian-Pac-Islander,Male,Self-emp-not-inc,>50K
257,20,White,Female,Private,<=50K
258,32,White,Female,Private,<=50K
259,45,White,Female,Private,<=50K
260,50,White,Male,Private,<=50K
261,36,White,Female,Private,<=50K
262,45,White,Male,Private,<=50K
263,17,White,Male,Private,<=50K
264,59,White,Male,Private,<=50K
265,26,White,Male,Private,<=50K
266,37,Asian-Pac-Islander,Male,Self-emp-inc,>50K
267,19,White,Male,?,<=50K
268,64,White,Male,Private,>50K
269,33,White,Female,Private,<=50K
270,33,White,Female,Private,>50K
271,61,White,Male,Private,>50K
272,17,White,Male,Private,<=50K
273,50,White,Male,Self-emp-not-inc,<=50K
274,27,White,Male,Local-gov,<=50K
275,30,White,Female,Private,<=50K
276,43,Black,Male,Private,<=50K
277,44,White,Male,Private,>50K
278,35,White,Female,Private,<=50K
279,25,White,Female,Private,<=50K
280,24,White,Female,Private,>50K
281,22,White,Female,Private,<=50K
282,42,White,Male,Local-gov,>50K
283,34,Black,Female,Private,<=50K
284,60,White,Female,Private,<=50K
285,21,White,Male,Private,<=50K
286,57,White,Male,Federal-gov,>50K
287,41,White,Male,Private,>50K
288,50,White,Male,Private,<=50K
289,25,White,Female,Private,<=50K
290,50,White,Male,Private,<=50K
291,36,White,Male,Private,<=50K
292,31,White,Female,Private,<=50K
293,29,White,Male,Local-gov,<=50K
294,21,White,Male,Private,<=50K
295,27,Black,Female,Private,<=50K
296,65,White,Male,Private,<=50K
297,37,White,Female,Self-emp-inc,<=50K
298,39,Asian-Pac-Islander,Female,?,<=50K
299,24,White,Male,Private,<=50K
300,38,White,Male,Private,<=50K
301,48,White,Male,Private,>50K
302,21,Asian-Pac-Islander,Female,Private,<=50K
303,31,White,Male,Private,>50K
304,55,White,Male,Private,>50K
305,24,Asian-Pac-Islander,Female,Private,<=50K
306,43,White,Female,Private,<=50K
307,26,White,Male,Private,<=50K
308,46,White,Female,Private,<=50K
309,35,White,Male,Private,>50K
310,41,White,Male,Self-emp-inc,>50K
311,26,White,Male,Private,<=50K
312,34,Asian-Pac-Islander,Male,Private,>50K
313,19,Black,Female,?,<=50K
314,36,Black,Female,Self-emp-not-inc,>50K
315,22,White,Male,Private,<=50K
316,24,White,Male,Private,<=50K
317,77,White,Male,Self-emp-not-inc,<=50K
318,22,White,Female,Private,<=50K
319,29,White,Female,Private,<=50K
320,62,White,Female,Private,<=50K
321,39,White,Male,Self-emp-not-inc,<=50K
322,43,White,Male,Private,<=50K
323,35,White,Male,Private,<=50K
324,29,White,Female,Private,<=50K
325,76,White,Male,Self-emp-not-inc,<=50K
326,63,White,Male,Self-emp-not-inc,<=50K
327,23,Black,Female,?,<=50K
328,43,White,Female,Private,>50K
329,58,White,Male,Self-emp-not-inc,<=50K
330,66,White,Male,Private,<=50K
331,41,Black,Male,Private,<=50K
332,26,White,Male,Private,<=50K
333,47,White,Male,Private,<=50K
334,55,White,Male,Local-gov,<=50K
335,53,White,Male,Private,<=50K
336,17,White,Male,Private,<=50K
337,30,White,Male,Private,<=50K
338,49,White,Male,Private,<=50K
339,19,Black,Male,Private,<=50K
340,45,Black,Male,Private,<=50K
341,26,White,Male,Private,<=50K
342,38,White,Male,Private,>50K
343,36,White,Male,State-gov,>50K
344,33,White,Male,Private,<=50K
345,22,Black,Female,State-gov,<=50K
346,43,White,Male,Self-emp-not-inc,<=50K
347,67,White,Male,?,<=50K
348,30,White,Female,?,<=50K
349,56,White,Male,Private,<=50K
350,31,White,Male,Private,<=50K
351,33,White,Male,Private,>50K
352,26,White,Male,Private,<=50K
353,33,White,Male,Private,>50K
354,46,White,Male,Local-gov,<=50K
355,59,White,Male,?,>50K
356,38,White,Male,Federal-gov,>50K
357,65,Other,Male,Private,<=50K
358,40,White,Male,Private,>50K
359,42,White,Female,Private,<=50K
360,26,White,Male,Self-emp-not-inc,<=50K
361,36,White,Female,Private,<=50K
362,62,White,Male,Private,>50K
363,43,White,Male,Private,<=50K
364,43,White,Male,Private,>50K
365,22,White,Male,Private,<=50K
366,28,White,Male,Private,<=50K
367,56,White,Male,Self-emp-not-inc,<=50K
368,22,White,Female,Private,<=50K
369,57,White,Female,Private,>50K
370,39,White,Female,Private,<=50K
371,26,White,Female,Federal-gov,<=50K
372,17,White,Male,Private,<=50K
373,40,White,Male,State-gov,>50K
374,45,Black,Male,Private,<=50K
375,44,Black,Male,Private,<=50K
376,20,White,Female,Local-gov,<=50K
377,33,White,Female,Private,<=50K
378,23,White,Male,Private,<=50K
379,46,White,Male,Self-emp-not-inc,<=50K
380,38,White,Male,Private,<=50K
381,54,White,Male,Private,<=50K
382,46,White,Female,Private,<=50K
383,25,White,Male,Private,<=50K
384,46,White,Female,Private,<=50K
385,36,White,Female,Local-gov,<=50K
386,23,White,Female,Private,<=50K
387,29,White,Male,Private,<=50K
388,44,White,Female,Private,>50K
389,19,White,Female,Private,<=50K
390,19,White,Female,Private,<=50K
391,35,White,Female,Private,>50K
392,27,White,Male,Private,<=50K
393,46,White,Male,Self-emp-not-inc,<=50K
394,34,White,Male,State-gov,>50K
395,34,White,Female,Private,<=50K
396,44,White,Male,Private,<=50K
397,45,White,Female,Private,<=50K
398,20,White,Female,?,<=50K
399,25,White,Male,Private,>50K
400,52,White,Male,Self-emp-inc,>50K
401,20,White,Male,Private,<=50K
402,28,White,Female,Private,<=50K
403,50,White,Male,State-gov,>50K
404,34,White,Female,Private,<=50K
405,28,Other,Male,Private,<=50K
406,41,White,Male,Private,>50K
407,28,White,Male,Private,<=50K
408,46,White,Male,Self-emp-not-inc,<=50K
409,28,White,Female,?,>50K
410,32,White,Male,Private,<=50K
411,41,Black,Female,Local-gov,<=50K
412,24,Black,Female,Private,<=50K
413,33,White,Female,Private,<=50K
414,46,White,Male,Private,>50K
415,31,White,Male,State-gov,<=50K
416,35,White,Male,Private,>50K
417,52,White,Male,Private,<=50K
418,30,White,Female,Private,<=50K
419,34,Black,Male,Local-gov,<=50K
420,34,White,Female,State-gov,<=50K
421,20,White,Male,Private,<=50K
422,17,White,Male,Private,<=50K
423,32,White,Female,State-gov,>50K
424,29,White,Male,Private,<=50K
425,33,White,Female,Private,<=50K
426,25,White,Male,Private,<=50K
427,36,White,Male,Federal-gov,<=50K
428,23,White,Male,Private,<=50K
429,63,White,Male,Self-emp-inc,>50K
430,47,White,Male,Local-gov,<=50K
431,80,White,Male,?,<=50K
432,17,White,Male,?,<=50K
433,40,White,Female,Self-emp-not-inc,<=50K
434,30,White,Female,Private,>50K
435,27,Asian-Pac-Islander,Male,Private,<=50K
436,33,White,Male,Private,>50K
437,34,Black,Male,Local-gov,<=50K
438,34,White,Female,Local-gov,<=50K
439,23,White,Male,Private,<=50K
440,42,White,Female,Local-gov,<=50K
441,29,White,Male,Private,<=50K
442,45,White,Female,Private,<=50K
443,24,White,Male,Federal-gov,<=50K
444,44,White,Male,Private,>50K
445,27,White,Male,Private,<=50K
446,20,White,Male,Private,<=50K
447,44,Black,Female,Private,<=50K
448,51,Amer-Indian-Eskimo,Male,Private,<=50K
449,20,White,Male,Private,<=50K
450,17,White,Female,?,<=50K
451,19,Black,Female,Private,<=50K
452,45,White,Male,Self-emp-inc,>50K
453,60,White,Male,Private,>50K
454,42,Black,Male,Private,>50K
455,44,White,Female,Self-emp-not-inc,>50K
456,40,Asian-Pac-Islander,Male,Private,>50K
457,30,White,Female,Private,<=50K
458,38,Black,Male,Private,<=50K
459,23,White,Male,Private,<=50K
460,32,White,Male,?,<=50K
461,44,White,Male,Private,<=50K
462,54,Black,Male,Local-gov,<=50K
463,32,White,Male,Private,<=50K
464,50,White,Male,Private,<=50K
465,24,White,Female,Private,<=50K
466,37,White,Female,Private,<=50K
467,52,White,Male,Private,<=50K
468,38,White,Male,Private,<=50K
469,49,White,Male,Private,>50K
470,30,White,Female,Private,>50K
471,60,White,Male,Private,>50K
472,22,White,Male,?,<=50K
473,35,White,Male,Private,<=50K
474,30,White,Male,Private,<=50K
475,67,White,Female,Private,<=50K
476,46,White,Female,Private,<=50K
477,17,White,Male,Private,<=50K
478,22,White,Male,Private,<=50K
479,27,White,Male,Private,<=50K
480,23,White,Female,Private,<=50K
481,33,White,Male,Private,<=50K
482,43,White,Male,Self-emp-not-inc,<=50K
483,28,White,Male,State-gov,<=50K
484,41,White,Female,Private,<=50K
485,52,Black,Male,?,<=50K
486,25,Black,Female,Private,<=50K
487,63,White,Male,?,<=50K
488,59,White,Male,Local-gov,<=50K
489,45,White,Female,Local-gov,<=50K
490,38,White,Male,Private,>50K
491,40,White,Female,Private,<=50K
492,46,White,Male,Federal-gov,<=50K
493,35,White,Female,Private,<=50K
494,34,White,Female,Private,<=50K
495,33,White,Male,Private,<=50K
496,41,White,Female,Private,<=50K
497,20,White,Male,Private,<=50K
498,23,White,Male,Private,<=50K
499,26,White,Female,Private,<=50K
500,72,White,Male,?,<=50K
501,23,White,Male,Local-gov,<=50K
502,62,White,Male,Local-gov,<=50K
503,52,White,Male,Private,<=50K
504,58,White,Female,Private,<=50K
505,25,White,Female,Private,<=50K
506,24,Black,Male,Private,<=50K
507,19,White,Male,Private,<=50K
508,43,White,Male,Private,<=50K
509,47,Black,Female,Local-gov,<=50K
510,39,White,Female,Private,<=50K
511,49,White,Male,Private,<=50K
512,53,Black,Female,?,<=50K
513,32,White,Male,Private,<=50K
514,34,White,Male,Private,>50K
515,28,White,Male,Private,<=50K
516,57,White,Female,?,<=50K
517,25,Amer-Indian-Eskimo,Female,Private,<=50K
518,20,White,Male,?,<=50K
519,21,White,Female,?,<=50K
520,34,White,Male,Private,>50K
521,38,White,Male,Self-emp-inc,>50K
522,50,White,Male,Private,>50K
523,24,Black,Male,Local-gov,<=50K
524,37,White,Male,Local-gov,>50K
525,44,White,Male,Private,>50K
526,28,White,Female,Private,<=50K
527,42,White,Male,Private,>50K
528,74,White,Female,Private,<=50K
529,38,White,Male,Self-emp-not-inc,<=50K
530,44,White,Male,Self-emp-not-inc,<=50K
531,44,Other,Female,Private,<=50K
532,26,White,Male,Private,<=50K
533,36,Black,Male,Private,<=50K
534,41,White,Female,Private,>50K
535,67,White,Male,Private,>50K
536,39,White,Male,Local-gov,<=50K
537,57,Black,Female,Private,<=50K
538,29,White,Male,Private,<=50K
539,31,White,Female,Self-emp-inc,<=50K
540,34,Black,Female,?,<=50K
541,44,White,Male,Private,<=50K
542,29,White,Male,Private,<=50K
543,30,White,Female,Private,<=50K
544,27,White,Male,Private,<=50K
545,27,White,Male,Private,<=50K
546,32,White,Female,Private,<=50K
547,58,White,Female,Private,<=50K
548,35,White,Male,Local-gov,<=50K
549,21,White,Male,Private,<=50K
550,28,White,Male,Private,<=50K
551,46,White,Male,Self-emp-not-inc,<=50K
552,36,White,Female,Self-emp-not-inc,<=50K
553,72,White,Female,Private,<=50K
554,35,Black,Female,Private,<=50K
555,33,Black,Female,Federal-gov,>50K
556,69,White,Female,Private,<=50K
557,35,White,Male,Private,<=50K
558,31,White,Female,Private,<=50K
559,34,White,Female,Private,<=50K
560,30,White,Male,Private,<=50K
561,28,White,Male,Private,<=50K
562,54,White,Male,Private,>50K
563,47,White,Male,Private,>50K
564,24,Black,Female,Private,<=50K
565,52,White,Male,Self-emp-not-inc,>50K
566,20,Amer-Indian-Eskimo,Male,Private,<=50K
567,43,White,Male,Self-emp-inc,<=50K
568,45,White,Female,Private,<=50K
569,29,White,Male,Self-emp-not-inc,<=50K
570,47,White,Male,Private,<=50K
571,24,White,Male,Private,<=50K
572,51,White,Male,Private,<=50K
573,17,White,Male,Private,<=50K
574,37,White,Male,Private,>50K
575,27,White,Female,Private,<=50K
576,29,White,Male,Private,>50K
577,18,White,Male,?,<=50K
578,36,White,Female,Self-emp-not-inc,<=50K
579,58,White,Female,Local-gov,<=50K
580,26,White,Male,Self-emp-not-inc,<=50K
581,65,White,Male,?,>50K
582,57,White,Male,Private,>50K
583,59,White,Male,Private,<=50K
584,27,White,Male,Private,<=50K
585,31,White,Male,Self-emp-not-inc,<=50K
586,21,White,Female,Private,<=50K
587,29,White,Male,Private,<=50K
588,18,White,Male,Private,<=50K
589,52,White,Male,Private,>50K
590,57,White,Male,Self-emp-inc,<=50K
591,42,White,Male,?,<=50K
592,55,Asian-Pac-Islander,Female,?,<=50K
593,60,White,Male,Private,>50K
594,31,White,Male,Private,>50K
595,23,White,Female,Private,<=50K
596,27,White,Male,Private,<=50K
597,23,Amer-Indian-Eskimo,Female,?,<=50K
598,42,White,Male,Self-emp-not-inc,>50K
599,25,White,Male,Private,<=50K
600,49,White,Female,Private,<=50K
601,32,White,Male,Private,<=50K
602,19,White,Male,Private,<=50K
603,60,White,Female,Private,<=50K
604,42,White,Male,Local-gov,<=50K
605,35,White,Male,Self-emp-not-inc,<=50K
606,48,Black,Female,Private,<=50K
607,51,White,Male,Private,>50K
608,29,Amer-Indian-Eskimo,Male,Private,<=50K
609,36,Black,Male,Local-gov,<=50K
610,17,White,Female,Private,<=50K
611,52,White,Female,Private,<=50K
612,24,White,Male,Private,<=50K
613,24,White,Male,Private,<=50K
614,26,White,Male,Local-gov,<=50K
615,27,White,Female,Private,<=50K
616,39,White,Male,Private,<=50K
617,30,Black,Male,Private,<=50K
618,50,White,Male,Self-emp-not-inc,<=50K
619,52,White,Male,Self-emp-inc,<=50K
620,46,White,Male,Private,>50K
621,23,White,Female,Private,<=50K
622,45,Black,Female,Private,<=50K
623,65,Black,Female,Private,<=50K
624,29,White,Male,Private,<=50K
625,47,White,Male,Private,<=50K
626,30,Black,Male,Private,<=50K
627,34,White,Male,Private,>50K
628,38,White,Male,Self-emp-not-inc,<=50K
629,33,White,Male,Private,>50K
630,49,White,Male,Private,>50K
631,47,Black,Female,Self-emp-not-inc,<=50K
632,49,Black,Female,Local-gov,<=50K
633,43,White,Male,Private,>50K
634,30,Black,Female,Private,>50K
635,58,White,Male,Self-emp-not-inc,<=50K
636,19,White,Female,Private,<=50K
637,21,White,Male,Private,<=50K
638,33,White,Male,Private,>50K
639,47,White,Male,Self-emp-inc,<=50K
640,52,White,Male,Self-emp-not-inc,>50K
641,26,White,Male,Private,<=50K
642,60,White,Male,Private,<=50K
643,21,White,Male,Private,<=50K
644,36,White,Male,Private,>50K
645,31,White,Male,Private,<=50K
646,50,White,Male,Self-emp-inc,>50K
647,31,White,Female,Local-gov,<=50K
648,71,White,Male,Private,<=50K
649,58,White,Male,?,<=50K
650,30,White,Male,State-gov,>50K
651,20,White,Male,Private,<=50K
652,24,White,Male,Private,<=50K
653,35,Asian-Pac-Islander,Male,Private,>50K
654,38,White,Female,State-gov,<=50K
655,27,White,Female,Private,<=50K
656,29,Asian-Pac-Islander,Female,State-gov,<=50K
657,70,White,Female,?,<=50K
658,34,White,Male,Private,<=50K
659,44,White,Male,Private,<=50K
660,43,White,Male,Private,>50K
661,44,Black,Male,Self-emp-not-inc,>50K
662,35,White,Male,Private,<=50K
663,27,White,Male,Private,<=50K
664,43,White,Male,Local-gov,<=50K
665,20,White,Female,Private,<=50K
666,42,White,Female,Private,>50K
667,27,White,Male,State-gov,<=50K
668,42,Black,Male,Private,>50K
669,20,Asian-Pac-Islander,Female,?,<=50K
670,24,White,Male,Private,<=50K
671,48,White,Male,Federal-gov,<=50K
672,17,White,Female,?,<=50K
673,17,White,Male,Self-emp-not-inc,<=50K
674,33,White,Male,Private,>50K
675,50,White,Male,Self-emp-inc,>50K
676,22,White,Female,Private,<=50K
677,17,White,Male,Private,<=50K
678,32,White,Male,Private,<=50K
679,31,White,Male,Private,<=50K
680,58,White,Male,Self-emp-not-inc,<=50K
681,29,White,Male,Local-gov,<=50K
682,37,White,Male,Private,>50K
683,34,White,Male,Self-emp-not-inc,>50K
684,23,Black,Male,Local-gov,<=50K
685,18,White,Female,State-gov,<=50K
686,34,White,Female,Private,<=50K
687,66,White,Male,?,<=50K
688,45,White,Female,Local-gov,<=50K
689,41,White,Male,Private,<=50K
690,26,White,Male,Private,<=50K
691,54,White,Male,Local-gov,<=50K
692,24,Black,Female,Private,<=50K
693,42,White,Male,Private,<=50K
694,20,White,Male,Private,<=50K
695,23,White,Female,State-gov,<=50K
696,25,White,Male,?,<=50K
697,35,White,Male,Private,>50K
698,31,White,Male,Private,>50K
699,30,White,Female,Private,<=50K
700,19,White,Female,Private,<=50K
701,36,White,Male,Local-gov,<=50K
702,31,White,Female,Private,<=50K
703,21,White,Male,Private,<=50K
704,31,White,Male,Self-emp-not-inc,<=50K
705,46,White,Female,Private,>50K
706,44,White,Female,Private,>50K
707,40,Black,Male,Private,<=50K
708,45,Black,Male,Private,<=50K
709,60,White,Male,Private,<=50K
710,18,White,Male,Private,<=50K
711,28,White,Male,Private,<=50K
712,36,Black,Female,Private,<=50K
713,36,White,Male,Private,<=50K
714,40,White,Male,Private,<=50K
715,36,White,Female,Local-gov,<=50K
716,31,Black,Female,Private,<=50K
717,33,White,Male,Private,<=50K
718,19,White,Female,State-gov,<=50K
719,22,White,Female,Private,<=50K
720,34,White,Male,Private,>50K
721,33,White,Male,Private,<=50K
722,41,White,Male,Private,<=50K
723,29,White,Male,Private,<=50K
724,50,White,Male,Local-gov,>50K
725,42,White,Male,Private,>50K
726,43,White,Male,Private,>50K
727,44,White,Female,Private,<=50K
728,20,White,Female,Private,<=50K
729,31,White,Male,Private,<=50K
730,65,White,Male,Self-emp-not-inc,>50K
731,23,White,Female,Private,<=50K
732,55,Asian-Pac-Islander,Female,Private,<=50K
733,26,White,Male,Private,<=50K
734,25,White,Female,Private,<=50K
735,45,Black,Female,?,<=50K
736,35,White,Male,Private,<=50K
737,36,Black,Female,Private,<=50K
738,43,White,Male,State-gov,<=50K
739,56,Black,Female,Private,<=50K
740,42,White,Male,Private,>50K
741,19,White,Female,Private,<=50K
742,55,White,Male,Self-emp-not-inc,<=50K
743,42,White,Female,Private,>50K
744,26,White,Male,Private,<=50K
745,17,White,Male,Private,<=50K
746,42,White,Female,Local-gov,>50K
747,55,White,Male,Private,>50K
748,32,Black,Female,Private,<=50K
749,29,Black,Male,Private,<=50K
750,46,White,Male,State-gov,<=50K
751,29,White,Male,State-gov,>50K
752,22,White,Male,Private,<=50K
753,58,White,Male,Self-emp-not-inc,<=50K
754,23,White,Male,Private,<=50K
755,39,White,Male,Private,<=50K
756,27,White,Male,Private,<=50K
