id,Anonym_DAYS_BIRTH,Anonym_OCCUPATION_TYPE,Anonym_NAME_INCOME_TYPE,Anonym_NAME_EDUCATION_TYPE,prediction
72,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
73,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
74,[(-23768)-(-8520)],Employee,Unique earnings,Educated,0.0
75,[(-24831)-(-8781)],Employee,Unique earnings,Educated,0.0
76,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
77,[(-24589)-(-8488)],Employee,Unique earnings,Educated,0.0
78,[(-23646)-(-8533)],Employee,Unique earnings,Educated,0.0
79,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
80,[(-24278)-(-8993)],Employee,Unique earnings,Educated,0.0
81,[(-25140)-(-8657)],Employee,Unique earnings,Educated,0.0
82,[(-23303)-(-8182)],Employee,Unique earnings,Educated,0.0
83,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
84,[(-24311)-(-8655)],Employee,Unique earnings,Educated,0.0
85,[(-24311)-(-8655)],Employee,Unique earnings,Educated,0.0
86,[(-24202)-(-8696)],Employee,Unique earnings,Educated,0.0
87,[(-24202)-(-8696)],Employee,Unique earnings,Educated,0.0
88,[(-22985)-(-9430)],Employee,Unique earnings,Educated,0.0
89,[(-24691)-(-9461)],Employee,Unique earnings,Educated,0.0
90,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
91,[(-23768)-(-8347)],Employee,Unique earnings,Educated,0.0
92,[(-23646)-(-8533)],Employee,Unique earnings,Educated,0.0
93,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
94,[(-24831)-(-8475)],Employee,Unique earnings,Educated,0.0
95,[(-24691)-(-8534)],Employee,Unique earnings,Educated,0.0
96,[(-24202)-(-8696)],Employee,Unique earnings,Educated,0.0
97,[(-24589)-(-7723)],Employee,Unique earnings,Educated,0.0
98,[(-24202)-(-8603)],Employee,Unique earnings,Educated,0.0
99,[(-24206)-(-8097)],Employee,Unique earnings,Educated,0.0
100,[(-23751)-(-8562)],Employee,Unique earnings,Educated,0.0
101,[(-24303)-(-9119)],Employee,Unique earnings,Educated,0.0
102,[(-24166)-(-10138)],Employee,Unique earnings,Educated,0.0
103,[(-24589)-(-8041)],Employee,Unique earnings,Educated,0.0
104,[(-23886)-(-9839)],Employee,Unique earnings,Educated,0.0
105,[(-24589)-(-9187)],Employee,Unique earnings,Educated,0.0
106,[(-24878)-(-8568)],Employee,Unique earnings,Educated,0.0
107,[(-24691)-(-8843)],Employee,Unique earnings,Educated,0.0
108,[(-24166)-(-8482)],Employee,Unique earnings,Educated,0.0
109,[(-24166)-(-9075)],Employee,Unique earnings,Educated,0.0
110,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
111,[(-22985)-(-9430)],Employee,Unique earnings,Educated,0.0
112,[(-23886)-(-9839)],Employee,Unique earnings,Educated,0.0
113,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
114,[(-24629)-(-9190)],Employee,Unique earnings,Educated,0.0
115,[(-23868)-(-8231)],Employee,Unique earnings,Educated,0.0
116,[(-24691)-(-9130)],Employee,Unique earnings,Educated,0.0
117,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
118,[(-24202)-(-8603)],Employee,Unique earnings,Educated,0.0
119,[(-23768)-(-9547)],Employee,Unique earnings,Educated,0.0
120,[(-23646)-(-8533)],Employee,Unique earnings,Educated,0.0
121,[(-24482)-(-8489)],Employee,Unique earnings,Educated,0.0
122,[(-24691)-(-8717)],Employee,Unique earnings,Educated,0.0
123,[(-24575)-(-9270)],Employee,Unique earnings,Educated,0.0
124,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
125,[(-24166)-(-8482)],Employee,Unique earnings,Educated,0.0
126,[(-24691)-(-8843)],Employee,Unique earnings,Educated,0.0
127,[(-24166)-(-9075)],Employee,Unique earnings,Educated,0.0
128,[(-24206)-(-8097)],Employee,Unique earnings,Educated,0.0
129,[(-24831)-(-8520)],Employee,Unique earnings,Educated,0.0
130,[(-23886)-(-8843)],Employee,Unique earnings,Educated,0.0
131,[(-23646)-(-8655)],Employee,Unique earnings,Educated,0.0
132,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
133,[(-24831)-(-8182)],Employee,Unique earnings,Educated,0.0
134,[(-24166)-(-8378)],Employee,Unique earnings,Educated,0.0
135,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
136,[(-24831)-(-8520)],Employee,Unique earnings,Educated,0.0
137,[(-24166)-(-8041)],Employee,Unique earnings,Educated,0.0
138,[(-23442)-(-8477)],Employee,Unique earnings,Educated,0.0
139,[(-24202)-(-8696)],Employee,Unique earnings,Educated,0.0
140,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
141,[(-24831)-(-8477)],Employee,Unique earnings,Educated,0.0
142,[(-24691)-(-9461)],Employee,Unique earnings,Educated,0.0
143,[(-24691)-(-9380)],Employee,Unique earnings,Educated,0.0
144,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
145,[(-25140)-(-8111)],Employee,Unique earnings,Educated,0.0
146,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
147,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
148,[(-23303)-(-8182)],Employee,Unique earnings,Educated,0.0
149,[(-24575)-(-9270)],Employee,Unique earnings,Educated,0.0
150,[(-24742)-(-8717)],Employee,Unique earnings,Educated,0.0
151,[(-24575)-(-9270)],Employee,Unique earnings,Educated,0.0
152,[(-24691)-(-8534)],Employee,Unique earnings,Educated,0.0
153,[(-24482)-(-8488)],Employee,Unique earnings,Educated,0.0
154,[(-24831)-(-8781)],Employee,Unique earnings,Educated,0.0
155,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
156,[(-24589)-(-9187)],Employee,Unique earnings,Educated,0.0
157,[(-24589)-(-9187)],Employee,Unique earnings,Educated,0.0
158,[(-23570)-(-8568)],Employee,Unique earnings,Educated,0.0
159,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
160,[(-24878)-(-9154)],Employee,Unique earnings,Educated,0.0
161,[(-24629)-(-9190)],Employee,Unique earnings,Educated,0.0
162,[(-23768)-(-8347)],Employee,Unique earnings,Educated,0.0
163,[(-24691)-(-8527)],Employee,Unique earnings,Educated,0.0
164,[(-24742)-(-8069)],Employee,Unique earnings,Educated,0.0
165,[(-24831)-(-8520)],Employee,Unique earnings,Educated,0.0
166,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
167,[(-24303)-(-8717)],Employee,Unique earnings,Educated,0.0
168,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
169,[(-24691)-(-9190)],Employee,Unique earnings,Educated,0.0
170,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
171,[(-24831)-(-8738)],Employee,Unique earnings,Educated,0.0
172,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
173,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
174,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
175,[(-24303)-(-8717)],Employee,Unique earnings,Educated,0.0
176,[(-25140)-(-8657)],Employee,Unique earnings,Educated,0.0
177,[(-24691)-(-9190)],Employee,Unique earnings,Educated,0.0
178,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
179,[(-23442)-(-8527)],Employee,Unique earnings,Educated,0.0
180,[(-24691)-(-8534)],Employee,Unique earnings,Educated,0.0
181,[(-24202)-(-8603)],Employee,Unique earnings,Educated,0.0
182,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
183,[(-24311)-(-8655)],Employee,Unique earnings,Educated,0.0
184,[(-24202)-(-8603)],Employee,Unique earnings,Educated,0.0
185,[(-24878)-(-8568)],Employee,Unique earnings,Educated,0.0
186,[(-23868)-(-8533)],Employee,Unique earnings,Educated,0.0
187,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
188,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
189,[(-24206)-(-9115)],Employee,Unique earnings,Educated,0.0
190,[(-24831)-(-8696)],Employee,Unique earnings,Educated,0.0
191,[(-24166)-(-8843)],Employee,Unique earnings,Educated,0.0
192,[(-24878)-(-8568)],Employee,Unique earnings,Educated,0.0
193,[(-24831)-(-8477)],Employee,Unique earnings,Educated,0.0
194,[(-24691)-(-9130)],Employee,Unique earnings,Educated,0.0
195,[(-24878)-(-8993)],Employee,Unique earnings,Educated,0.0
196,[(-24878)-(-7723)],Employee,Unique earnings,Educated,0.0
197,[(-23734)-(-8477)],Employee,Unique earnings,Educated,0.0
198,[(-24629)-(-9190)],Employee,Unique earnings,Educated,0.0
199,[(-25140)-(-8111)],Employee,Unique earnings,Educated,0.0
200,[(-24206)-(-9115)],Employee,Unique earnings,Educated,0.0
201,[(-24067)-(-8533)],Employee,Unique earnings,Educated,0.0
202,[(-24589)-(-8655)],Employee,Unique earnings,Educated,0.0
203,[(-24878)-(-8655)],Employee,Unique earnings,Educated,0.0
204,[(-23442)-(-8527)],Employee,Unique earnings,Educated,0.0
205,[(-23570)-(-8568)],Employee,Unique earnings,Educated,0.0
206,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
207,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
208,[(-24482)-(-8489)],Employee,Unique earnings,Educated,0.0
209,[(-24691)-(-8534)],Employee,Unique earnings,Educated,0.0
210,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
211,[(-24589)-(-8041)],Employee,Unique earnings,Educated,0.0
212,[(-23768)-(-8520)],Employee,Unique earnings,Educated,0.0
213,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
214,[(-24831)-(-8477)],Employee,Unique earnings,Educated,0.0
215,[(-24278)-(-9235)],Employee,Unique earnings,Educated,0.0
216,[(-24691)-(-9461)],Employee,Unique earnings,Educated,0.0
217,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
218,[(-24278)-(-9235)],Employee,Unique earnings,Educated,0.0
219,[(-23868)-(-8231)],Employee,Unique earnings,Educated,0.0
220,[(-24691)-(-9380)],Employee,Unique earnings,Educated,0.0
221,[(-24831)-(-8520)],Employee,Unique earnings,Educated,0.0
222,[(-24831)-(-8781)],Employee,Unique earnings,Educated,0.0
223,[(-24278)-(-8993)],Employee,Unique earnings,Educated,0.0
224,[(-24589)-(-8655)],Employee,Unique earnings,Educated,0.0
225,[(-24067)-(-8533)],Employee,Unique earnings,Educated,0.0
226,[(-24691)-(-9190)],Employee,Unique earnings,Educated,0.0
227,[(-24691)-(-8843)],Employee,Unique earnings,Educated,0.0
228,[(-24303)-(-9119)],Employee,Unique earnings,Educated,0.0
229,[(-23768)-(-8520)],Employee,Unique earnings,Educated,0.0
230,[(-23570)-(-8568)],Employee,Unique earnings,Educated,0.0
231,[(-24311)-(-8655)],Employee,Unique earnings,Educated,0.0
232,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
233,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
234,[(-24166)-(-8482)],Employee,Unique earnings,Educated,0.0
235,[(-24166)-(-8482)],Employee,Unique earnings,Educated,0.0
236,[(-24691)-(-8717)],Employee,Unique earnings,Educated,0.0
237,[(-24589)-(-8488)],Employee,Unique earnings,Educated,0.0
238,[(-24278)-(-8861)],Employee,Unique earnings,Educated,0.0
239,[(-24206)-(-7489)],Employee,Unique earnings,Educated,0.0
240,[(-24691)-(-8843)],Employee,Unique earnings,Educated,0.0
241,[(-24482)-(-9413)],Employee,Unique earnings,Educated,0.0
242,[(-24831)-(-8182)],Employee,Unique earnings,Educated,0.0
243,[(-24691)-(-9190)],Employee,Unique earnings,Educated,0.0
244,[(-24691)-(-9461)],Employee,Unique earnings,Educated,0.0
245,[(-24878)-(-9417)],Employee,Unique earnings,Educated,0.0
246,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
247,[(-24278)-(-8861)],Employee,Unique earnings,Educated,0.0
248,[(-24831)-(-8145)],Employee,Unique earnings,Educated,0.0
249,[(-24878)-(-8655)],Employee,Unique earnings,Educated,0.0
250,[(-24166)-(-8209)],Employee,Unique earnings,Educated,0.0
251,[(-24691)-(-9130)],Employee,Unique earnings,Educated,0.0
252,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
253,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
254,[(-24831)-(-8145)],Employee,Unique earnings,Educated,0.0
255,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
256,[(-24589)-(-8041)],Employee,Unique earnings,Educated,0.0
257,[(-23734)-(-8477)],Employee,Unique earnings,Educated,0.0
258,[(-24589)-(-8041)],Employee,Unique earnings,Educated,0.0
259,[(-24878)-(-8993)],Employee,Unique earnings,Educated,0.0
260,[(-24166)-(-8209)],Employee,Unique earnings,Educated,0.0
261,[(-24278)-(-8861)],Employee,Unique earnings,Educated,0.0
262,[(-24278)-(-9235)],Employee,Unique earnings,Educated,0.0
263,[(-24278)-(-9235)],Employee,Unique earnings,Educated,0.0
264,[(-24482)-(-9413)],Employee,Unique earnings,Educated,0.0
265,[(-24166)-(-8041)],Employee,Unique earnings,Educated,0.0
266,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
267,[(-24278)-(-8363)],Employee,Unique earnings,Educated,0.0
268,[(-24691)-(-8717)],Employee,Unique earnings,Educated,0.0
269,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
270,[(-24589)-(-8655)],Employee,Unique earnings,Educated,0.0
271,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
272,[(-23751)-(-8562)],Employee,Unique earnings,Educated,0.0
273,[(-24691)-(-8534)],Employee,Unique earnings,Educated,0.0
274,[(-24278)-(-8861)],Employee,Unique earnings,Educated,0.0
275,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
276,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
277,[(-24691)-(-9190)],Employee,Unique earnings,Educated,0.0
278,[(-24166)-(-8477)],Employee,Unique earnings,Educated,0.0
279,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
280,[(-23442)-(-8477)],Employee,Unique earnings,Educated,0.0
281,[(-24575)-(-9270)],Employee,Unique earnings,Educated,0.0
282,[(-24202)-(-8603)],Employee,Unique earnings,Educated,0.0
283,[(-24206)-(-9115)],Employee,Unique earnings,Educated,0.0
284,[(-24831)-(-8781)],Employee,Unique earnings,Educated,0.0
285,[(-24742)-(-8717)],Employee,Unique earnings,Educated,0.0
286,[(-24831)-(-8781)],Employee,Unique earnings,Educated,0.0
287,[(-24278)-(-8363)],Employee,Unique earnings,Educated,0.0
288,[(-24878)-(-9154)],Employee,Unique earnings,Educated,0.0
289,[(-24206)-(-9115)],Employee,Unique earnings,Educated,0.0
290,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
291,[(-24742)-(-8717)],Employee,Unique earnings,Educated,0.0
292,[(-24166)-(-8179)],Employee,Unique earnings,Educated,0.0
293,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
294,[(-23751)-(-8562)],Employee,Unique earnings,Educated,0.0
295,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
296,[(-24629)-(-9190)],Employee,Unique earnings,Educated,0.0
297,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
298,[(-24691)-(-8477)],Employee,Unique earnings,Educated,0.0
299,[(-24691)-(-8717)],Employee,Unique earnings,Educated,0.0
300,[(-23570)-(-8568)],Employee,Unique earnings,Educated,0.0
301,[(-24589)-(-8696)],Employee,Unique earnings,Educated,0.0
302,[(-23768)-(-9547)],Employee,Unique earnings,Educated,0.0
303,[(-23886)-(-9839)],Employee,Unique earnings,Educated,0.0
304,[(-22985)-(-9430)],Employee,Unique earnings,Educated,0.0
305,[(-22985)-(-9430)],Employee,Unique earnings,Educated,0.0
306,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
307,[(-24691)-(-8477)],Employee,Unique earnings,Educated,0.0
308,[(-24878)-(-8993)],Employee,Unique earnings,Educated,0.0
309,[(-24278)-(-8993)],Employee,Unique earnings,Educated,0.0
310,[(-24482)-(-8488)],Employee,Unique earnings,Educated,0.0
311,[(-23886)-(-9839)],Employee,Unique earnings,Educated,0.0
312,[(-23768)-(-8347)],Employee,Unique earnings,Educated,0.0
313,[(-24206)-(-7489)],Employee,Unique earnings,Educated,0.0
314,[(-24166)-(-8209)],Employee,Unique earnings,Educated,0.0
315,[(-24482)-(-9413)],Employee,Unique earnings,Educated,0.0
316,[(-24691)-(-8527)],Employee,Unique earnings,Educated,0.0
317,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
318,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
319,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
320,[(-24831)-(-8738)],Employee,Unique earnings,Educated,0.0
321,[(-24831)-(-8738)],Employee,Unique earnings,Educated,0.0
322,[(-25140)-(-8657)],Employee,Unique earnings,Educated,0.0
323,[(-24691)-(-9800)],Employee,Unique earnings,Educated,0.0
324,[(-24575)-(-9270)],Employee,Unique earnings,Educated,0.0
325,[(-24303)-(-9119)],Employee,Unique earnings,Educated,0.0
326,[(-24831)-(-8145)],Employee,Unique earnings,Educated,0.0
327,[(-24166)-(-8179)],Employee,Unique earnings,Educated,0.0
328,[(-24206)-(-9115)],Employee,Unique earnings,Educated,0.0
329,[(-24166)-(-8378)],Employee,Unique earnings,Educated,0.0
330,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
331,[(-24878)-(-8655)],Employee,Unique earnings,Educated,0.0
332,[(-24166)-(-8482)],Employee,Unique earnings,Educated,0.0
333,[(-23868)-(-8533)],Employee,Unique earnings,Educated,0.0
334,[(-24831)-(-8738)],Employee,Unique earnings,Educated,0.0
335,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
336,[(-24831)-(-8145)],Employee,Unique earnings,Educated,0.0
337,[(-24691)-(-9130)],Employee,Unique earnings,Educated,0.0
338,[(-24166)-(-8378)],Employee,Unique earnings,Educated,0.0
339,[(-24166)-(-8843)],Employee,Unique earnings,Educated,0.0
340,[(-23768)-(-8520)],Employee,Unique earnings,Educated,0.0
341,[(-24303)-(-9119)],Employee,Unique earnings,Educated,0.0
342,[(-24691)-(-8477)],Employee,Unique earnings,Educated,0.0
343,[(-24831)-(-8696)],Employee,Unique earnings,Educated,0.0
344,[(-23768)-(-9547)],Employee,Unique earnings,Educated,0.0
345,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
346,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
347,[(-23734)-(-8477)],Employee,Unique earnings,Educated,0.0
348,[(-24482)-(-9413)],Employee,Unique earnings,Educated,0.0
349,[(-24831)-(-8475)],Employee,Unique earnings,Educated,0.0
350,[(-25140)-(-8657)],Employee,Unique earnings,Educated,0.0
351,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
352,[(-23868)-(-8533)],Employee,Unique earnings,Educated,0.0
353,[(-23641)-(-8488)],Employee,Unique earnings,Educated,0.0
354,[(-23442)-(-8477)],Employee,Unique earnings,Educated,0.0
355,[(-24482)-(-8489)],Employee,Unique earnings,Educated,0.0
356,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
357,[(-24691)-(-9461)],Employee,Unique earnings,Educated,0.0
358,[(-23868)-(-8231)],Employee,Unique earnings,Educated,0.0
359,[(-24482)-(-9413)],Employee,Unique earnings,Educated,0.0
360,[(-24691)-(-8111)],Employee,Unique earnings,Educated,0.0
361,[(-23646)-(-8655)],Employee,Unique earnings,Educated,0.0
362,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
363,[(-24303)-(-8717)],Employee,Unique earnings,Educated,0.0
364,[(-24742)-(-8717)],Employee,Unique earnings,Educated,0.0
365,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
366,[(-24878)-(-8568)],Employee,Unique earnings,Educated,0.0
367,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
368,[(-24831)-(-8520)],Employee,Unique earnings,Educated,0.0
369,[(-24278)-(-9235)],Employee,Unique earnings,Educated,0.0
370,[(-24742)-(-8717)],Employee,Unique earnings,Educated,0.0
371,[(-23646)-(-8488)],Employee,Unique earnings,Educated,0.0
372,[(-24742)-(-8717)],Employee,Unique earnings,Educated,0.0
373,[(-25140)-(-8657)],Employee,Unique earnings,Educated,0.0
374,[(-24878)-(-8568)],Employee,Unique earnings,Educated,0.0
375,[(-24166)-(-8179)],Employee,Unique earnings,Educated,0.0
376,[(-24691)-(-8534)],Employee,Unique earnings,Educated,0.0
377,[(-23768)-(-9547)],Employee,Unique earnings,Educated,0.0
378,[(-23303)-(-8182)],Employee,Unique earnings,Educated,0.0
379,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
380,[(-24831)-(-8738)],Employee,Unique earnings,Educated,0.0
381,[(-24742)-(-8717)],Employee,Unique earnings,Educated,0.0
382,[(-24589)-(-8041)],Employee,Unique earnings,Educated,0.0
383,[(-23734)-(-8477)],Employee,Unique earnings,Educated,0.0
384,[(-24303)-(-9119)],Employee,Unique earnings,Educated,0.0
385,[(-24831)-(-8696)],Employee,Unique earnings,Educated,0.0
386,[(-24878)-(-9417)],Employee,Unique earnings,Educated,0.0
387,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
388,[(-24878)-(-7723)],Employee,Unique earnings,Educated,0.0
389,[(-24831)-(-9087)],Employee,Unique earnings,Educated,0.0
390,[(-24691)-(-8477)],Employee,Unique earnings,Educated,0.0
391,[(-23442)-(-8477)],Employee,Unique earnings,Educated,0.0
392,[(-24831)-(-8182)],Employee,Unique earnings,Educated,0.0
393,[(-25140)-(-8111)],Employee,Unique earnings,Educated,0.0
394,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
395,[(-24166)-(-8041)],Employee,Unique earnings,Educated,0.0
396,[(-24589)-(-8696)],Employee,Unique earnings,Educated,0.0
397,[(-23751)-(-8562)],Employee,Unique earnings,Educated,0.0
398,[(-23646)-(-8655)],Employee,Unique earnings,Educated,0.0
399,[(-24831)-(-8182)],Employee,Unique earnings,Educated,0.0
400,[(-24691)-(-9130)],Employee,Unique earnings,Educated,0.0
401,[(-25140)-(-8111)],Employee,Unique earnings,Educated,0.0
402,[(-24589)-(-8696)],Employee,Unique earnings,Educated,0.0
403,[(-23734)-(-8477)],Employee,Unique earnings,Educated,0.0
404,[(-24691)-(-9380)],Employee,Unique earnings,Educated,0.0
405,[(-24206)-(-8097)],Employee,Unique earnings,Educated,0.0
406,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
407,[(-24691)-(-8843)],Employee,Unique earnings,Educated,0.0
