id,DAYS_BIRTH,OCCUPATION_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,prediction
41,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
42,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
43,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
44,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
45,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
46,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
47,-15761,Laborers,Working,Secondary / secondary special,1.0
48,-15761,Laborers,Working,Secondary / secondary special,1.0
49,-15761,Laborers,Working,Secondary / secondary special,1.0
50,-15761,Laborers,Working,Secondary / secondary special,1.0
51,-15761,Laborers,Working,Secondary / secondary special,1.0
52,-15761,Laborers,Working,Secondary / secondary special,1.0
53,-15761,Laborers,Working,Secondary / secondary special,1.0
54,-15761,Laborers,Working,Secondary / secondary special,1.0
55,-15761,Laborers,Working,Secondary / secondary special,1.0
56,-15761,Laborers,Working,Secondary / secondary special,1.0
57,-15761,Laborers,Working,Secondary / secondary special,1.0
58,-15761,Laborers,Working,Secondary / secondary special,1.0
59,-15761,Laborers,Working,Secondary / secondary special,1.0
60,-15761,Laborers,Working,Secondary / secondary special,1.0
61,-15761,Laborers,Working,Secondary / secondary special,1.0
62,-15761,Laborers,Working,Secondary / secondary special,1.0
63,-16212,Core staff,State servant,Secondary / secondary special,1.0
64,-16212,Core staff,State servant,Secondary / secondary special,1.0
65,-16670,Security staff,Commercial associate,Secondary / secondary special,1.0
66,-16670,Security staff,Commercial associate,Secondary / secondary special,1.0
67,-12411,Managers,Commercial associate,Higher education,1.0
68,-12411,Managers,Commercial associate,Higher education,1.0
69,-12411,Managers,Commercial associate,Higher education,1.0
70,-12411,Managers,Commercial associate,Higher education,1.0
71,-12411,Managers,Commercial associate,Higher education,1.0
72,-12411,Managers,Commercial associate,Higher education,1.0
73,-12411,Managers,Commercial associate,Higher education,1.0
74,-12411,Managers,Commercial associate,Higher education,1.0
75,-12411,Managers,Commercial associate,Higher education,1.0
76,-12411,Managers,Commercial associate,Higher education,1.0
77,-20186,"",Pensioner,Secondary / secondary special,0.0
78,-17016,Core staff,Commercial associate,Higher education,1.0
79,-17016,Core staff,Commercial associate,Higher education,1.0
80,-17016,Core staff,Commercial associate,Higher education,1.0
81,-17016,Core staff,Commercial associate,Higher education,1.0
82,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
83,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
84,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
85,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
86,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
87,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
88,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
89,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
90,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
91,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
92,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
93,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
94,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
95,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
96,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
97,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
98,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
99,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
100,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
101,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
102,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
103,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
104,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
105,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
106,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
107,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
108,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
109,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
110,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
111,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
112,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
113,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
114,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
115,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
116,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
117,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
118,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
119,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
120,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
121,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
122,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
123,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
124,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
125,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
126,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
127,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
128,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
129,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
130,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
131,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
132,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
133,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
134,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
135,-15519,Laborers,Commercial associate,Secondary / secondary special,1.0
136,-13642,High skill tech staff,Commercial associate,Higher education,1.0
137,-13642,High skill tech staff,Commercial associate,Higher education,1.0
138,-13642,High skill tech staff,Commercial associate,Higher education,1.0
139,-13642,High skill tech staff,Commercial associate,Higher education,1.0
140,-13642,High skill tech staff,Commercial associate,Higher education,1.0
141,-15484,Drivers,Working,Secondary / secondary special,1.0
142,-15484,Drivers,Working,Secondary / secondary special,1.0
143,-15484,Drivers,Working,Secondary / secondary special,1.0
144,-15484,Drivers,Working,Secondary / secondary special,1.0
145,-10321,"",Working,Secondary / secondary special,0.0
146,-10321,"",Working,Secondary / secondary special,0.0
147,-10321,"",Working,Secondary / secondary special,0.0
148,-10321,"",Working,Secondary / secondary special,0.0
149,-17785,Laborers,Working,Secondary / secondary special,1.0
150,-17785,Laborers,Working,Secondary / secondary special,1.0
151,-17785,Laborers,Working,Secondary / secondary special,1.0
152,-17785,Laborers,Working,Secondary / secondary special,1.0
153,-17785,Laborers,Working,Secondary / secondary special,1.0
154,-17785,Laborers,Working,Secondary / secondary special,1.0
155,-17785,Laborers,Working,Secondary / secondary special,1.0
156,-17785,Laborers,Working,Secondary / secondary special,1.0
157,-16027,"",Working,Secondary / secondary special,0.0
158,-16027,"",Working,Secondary / secondary special,0.0
159,-16027,"",Working,Secondary / secondary special,0.0
160,-16027,"",Working,Secondary / secondary special,0.0
161,-22319,"",Pensioner,Secondary / secondary special,0.0
162,-22319,"",Pensioner,Secondary / secondary special,0.0
163,-22319,"",Pensioner,Secondary / secondary special,0.0
164,-22319,"",Pensioner,Secondary / secondary special,0.0
165,-22319,"",Pensioner,Secondary / secondary special,0.0
166,-22319,"",Pensioner,Secondary / secondary special,0.0
167,-22319,"",Pensioner,Secondary / secondary special,0.0
168,-20874,Drivers,State servant,Secondary / secondary special,1.0
169,-20874,Drivers,State servant,Secondary / secondary special,1.0
170,-20874,Drivers,State servant,Secondary / secondary special,1.0
171,-20874,Drivers,State servant,Secondary / secondary special,1.0
172,-20874,Drivers,State servant,Secondary / secondary special,1.0
173,-20874,Drivers,State servant,Secondary / secondary special,1.0
174,-20874,Drivers,State servant,Secondary / secondary special,1.0
175,-16582,Cleaning staff,Working,Secondary / secondary special,0.0
176,-16582,Cleaning staff,Working,Secondary / secondary special,0.0
177,-16582,Cleaning staff,Working,Secondary / secondary special,0.0
178,-16582,Cleaning staff,Working,Secondary / secondary special,0.0
179,-16582,Cleaning staff,Working,Secondary / secondary special,0.0
180,-16582,Cleaning staff,Working,Secondary / secondary special,0.0
181,-16582,Cleaning staff,Working,Secondary / secondary special,0.0
182,-10628,Managers,Working,Higher education,1.0
183,-10628,Managers,Working,Higher education,1.0
184,-9927,Drivers,Working,Secondary / secondary special,1.0
185,-9927,Drivers,Working,Secondary / secondary special,1.0
186,-18926,Laborers,Working,Secondary / secondary special,1.0
187,-18926,Laborers,Working,Secondary / secondary special,1.0
188,-18926,Laborers,Working,Secondary / secondary special,1.0
189,-18926,Laborers,Working,Secondary / secondary special,1.0
190,-18926,Laborers,Working,Secondary / secondary special,1.0
191,-18926,Laborers,Working,Secondary / secondary special,1.0
192,-18926,Laborers,Working,Secondary / secondary special,1.0
193,-18926,Laborers,Working,Secondary / secondary special,1.0
194,-18926,Laborers,Working,Secondary / secondary special,1.0
195,-18926,Laborers,Working,Secondary / secondary special,1.0
196,-18926,Laborers,Working,Secondary / secondary special,1.0
197,-18926,Laborers,Working,Secondary / secondary special,1.0
198,-18926,Laborers,Working,Secondary / secondary special,1.0
199,-18926,Laborers,Working,Secondary / secondary special,1.0
200,-15444,"",State servant,Higher education,0.0
201,-15444,"",State servant,Higher education,0.0
202,-15444,"",State servant,Higher education,0.0
203,-15444,"",State servant,Higher education,0.0
204,-15444,"",State servant,Higher education,0.0
205,-15444,"",State servant,Higher education,0.0
206,-15444,"",State servant,Higher education,0.0
207,-15444,"",State servant,Higher education,0.0
208,-15444,"",State servant,Higher education,0.0
209,-15444,"",State servant,Higher education,0.0
210,-19861,Laborers,Commercial associate,Secondary / secondary special,1.0
211,-19861,Laborers,Commercial associate,Secondary / secondary special,1.0
212,-14450,Laborers,Commercial associate,Secondary / secondary special,1.0
213,-14450,Laborers,Commercial associate,Secondary / secondary special,1.0
214,-10554,Accountants,Working,Secondary / secondary special,1.0
215,-10554,Accountants,Working,Secondary / secondary special,1.0
216,-10554,Accountants,Working,Secondary / secondary special,1.0
217,-18682,"",Pensioner,Incomplete higher,0.0
218,-18682,"",Pensioner,Incomplete higher,0.0
219,-18682,"",Pensioner,Incomplete higher,0.0
220,-18682,"",Pensioner,Incomplete higher,0.0
221,-18682,"",Pensioner,Incomplete higher,0.0
222,-18682,"",Pensioner,Incomplete higher,0.0
223,-14326,Core staff,Working,Secondary / secondary special,1.0
224,-14326,Core staff,Working,Secondary / secondary special,1.0
225,-17641,Core staff,Working,Higher education,1.0
226,-17641,Core staff,Working,Higher education,1.0
227,-17641,Core staff,Working,Higher education,1.0
228,-17641,Core staff,Working,Higher education,1.0
229,-17641,Core staff,Working,Higher education,1.0
230,-17641,Core staff,Working,Higher education,1.0
231,-17641,Core staff,Working,Higher education,1.0
232,-10997,Core staff,Working,Higher education,1.0
233,-10997,Core staff,Working,Higher education,1.0
234,-10997,Core staff,Working,Higher education,1.0
235,-10997,Core staff,Working,Higher education,1.0
236,-10997,Core staff,Working,Higher education,1.0
237,-8861,Drivers,Working,Secondary / secondary special,1.0
238,-8861,Drivers,Working,Secondary / secondary special,1.0
239,-7489,Private service staff,Commercial associate,Secondary / secondary special,1.0
240,-22331,"",Pensioner,Higher education,1.0
241,-10450,Sales staff,Working,Secondary / secondary special,1.0
242,-10450,Sales staff,Working,Secondary / secondary special,1.0
243,-10450,Sales staff,Working,Secondary / secondary special,1.0
244,-10450,Sales staff,Working,Secondary / secondary special,1.0
245,-10450,Sales staff,Working,Secondary / secondary special,1.0
246,-10450,Sales staff,Working,Secondary / secondary special,1.0
247,-10450,Sales staff,Working,Secondary / secondary special,1.0
248,-10450,Sales staff,Working,Secondary / secondary special,1.0
249,-10450,Sales staff,Working,Secondary / secondary special,1.0
250,-10264,High skill tech staff,Commercial associate,Incomplete higher,1.0
251,-10264,High skill tech staff,Commercial associate,Incomplete higher,1.0
252,-10264,High skill tech staff,Commercial associate,Incomplete higher,1.0
253,-17726,Core staff,State servant,Higher education,1.0
254,-17726,Core staff,State servant,Higher education,1.0
255,-14122,Drivers,Working,Secondary / secondary special,1.0
256,-10064,Laborers,Working,Higher education,1.0
257,-10064,Laborers,Working,Higher education,1.0
258,-10064,Laborers,Working,Higher education,1.0
259,-20531,Drivers,Working,Secondary / secondary special,1.0
260,-20531,Drivers,Working,Secondary / secondary special,1.0
261,-20531,Drivers,Working,Secondary / secondary special,1.0
262,-20531,Drivers,Working,Secondary / secondary special,1.0
263,-14730,Laborers,Commercial associate,Higher education,1.0
264,-14730,Laborers,Commercial associate,Higher education,1.0
265,-14730,Laborers,Commercial associate,Higher education,1.0
266,-14730,Laborers,Commercial associate,Higher education,1.0
267,-12628,Drivers,Working,Secondary / secondary special,1.0
268,-12197,Managers,Working,Higher education,1.0
269,-12197,Managers,Working,Higher education,1.0
270,-12197,Managers,Working,Higher education,1.0
271,-12197,Managers,Working,Higher education,1.0
272,-13679,Accountants,Commercial associate,Secondary / secondary special,1.0
273,-13679,Accountants,Commercial associate,Secondary / secondary special,1.0
274,-13679,Accountants,Commercial associate,Secondary / secondary special,1.0
275,-13271,Managers,Working,Higher education,1.0
276,-13271,Managers,Working,Higher education,1.0
277,-12859,Drivers,Working,Secondary / secondary special,1.0
278,-12859,Drivers,Working,Secondary / secondary special,1.0
279,-12859,Drivers,Working,Secondary / secondary special,1.0
280,-12859,Drivers,Working,Secondary / secondary special,1.0
281,-12859,Drivers,Working,Secondary / secondary special,1.0
282,-15321,Security staff,Commercial associate,Secondary / secondary special,1.0
283,-15321,Security staff,Commercial associate,Secondary / secondary special,1.0
284,-8842,High skill tech staff,Commercial associate,Higher education,1.0
285,-15737,"",Commercial associate,Higher education,0.0
286,-15737,"",Commercial associate,Higher education,0.0
287,-15737,"",Commercial associate,Higher education,0.0
288,-15737,"",Commercial associate,Higher education,0.0
289,-15737,"",Commercial associate,Higher education,0.0
290,-15737,"",Commercial associate,Higher education,0.0
291,-15737,"",Commercial associate,Higher education,0.0
292,-15737,"",Commercial associate,Higher education,0.0
293,-15737,"",Commercial associate,Higher education,0.0
294,-15737,"",Commercial associate,Higher education,0.0
295,-15737,"",Commercial associate,Higher education,0.0
296,-15737,"",Commercial associate,Higher education,0.0
297,-15737,"",Commercial associate,Higher education,0.0
298,-15737,"",Commercial associate,Higher education,0.0
299,-15737,"",Commercial associate,Higher education,0.0
300,-21673,"",Pensioner,Secondary / secondary special,0.0
301,-21673,"",Pensioner,Secondary / secondary special,0.0
302,-21673,"",Pensioner,Secondary / secondary special,0.0
303,-21673,"",Pensioner,Secondary / secondary special,0.0
304,-21673,"",Pensioner,Secondary / secondary special,0.0
305,-21673,"",Pensioner,Secondary / secondary special,0.0
306,-21673,"",Pensioner,Secondary / secondary special,0.0
307,-21673,"",Pensioner,Secondary / secondary special,0.0
308,-9657,Managers,Working,Secondary / secondary special,1.0
309,-9657,Managers,Working,Secondary / secondary special,1.0
310,-18289,"",Pensioner,Secondary / secondary special,0.0
311,-18289,"",Pensioner,Secondary / secondary special,0.0
312,-15825,Managers,Working,Higher education,1.0
313,-15825,Managers,Working,Higher education,1.0
314,-15825,Managers,Working,Higher education,1.0
315,-15825,Managers,Working,Higher education,1.0
316,-15825,Managers,Working,Higher education,1.0
317,-15825,Managers,Working,Higher education,1.0
318,-15825,Managers,Working,Higher education,1.0
319,-19575,Sales staff,Working,Secondary / secondary special,1.0
320,-19575,Sales staff,Working,Secondary / secondary special,1.0
321,-19575,Sales staff,Working,Secondary / secondary special,1.0
322,-19575,Sales staff,Working,Secondary / secondary special,1.0
323,-19575,Sales staff,Working,Secondary / secondary special,1.0
324,-19575,Sales staff,Working,Secondary / secondary special,1.0
325,-19575,Sales staff,Working,Secondary / secondary special,1.0
326,-19575,Sales staff,Working,Secondary / secondary special,1.0
327,-19575,Sales staff,Working,Secondary / secondary special,1.0
328,-19575,Sales staff,Working,Secondary / secondary special,1.0
329,-19575,Sales staff,Working,Secondary / secondary special,1.0
330,-19575,Sales staff,Working,Secondary / secondary special,1.0
331,-12915,Sales staff,Working,Secondary / secondary special,1.0
332,-12915,Sales staff,Working,Secondary / secondary special,1.0
333,-12915,Sales staff,Working,Secondary / secondary special,1.0
334,-12915,Sales staff,Working,Secondary / secondary special,1.0
335,-12915,Sales staff,Working,Secondary / secondary special,1.0
336,-12915,Sales staff,Working,Secondary / secondary special,1.0
337,-22877,"",Pensioner,Secondary / secondary special,0.0
338,-18325,Laborers,Working,Incomplete higher,1.0
339,-18325,Laborers,Working,Incomplete higher,1.0
340,-18325,Laborers,Working,Incomplete higher,1.0
341,-18325,Laborers,Working,Incomplete higher,1.0
342,-18325,Laborers,Working,Incomplete higher,1.0
343,-18325,Laborers,Working,Incomplete higher,1.0
344,-18325,Laborers,Working,Incomplete higher,1.0
345,-18325,Laborers,Working,Incomplete higher,1.0
346,-17573,Managers,Working,Higher education,1.0
347,-17573,Managers,Working,Higher education,1.0
348,-17573,Managers,Working,Higher education,1.0
349,-17573,Managers,Working,Higher education,1.0
350,-17573,Managers,Working,Higher education,1.0
351,-17573,Managers,Working,Higher education,1.0
352,-17573,Managers,Working,Higher education,1.0
353,-17573,Managers,Working,Higher education,1.0
354,-20953,Accountants,State servant,Secondary / secondary special,0.0
355,-20953,Accountants,State servant,Secondary / secondary special,0.0
356,-20953,Accountants,State servant,Secondary / secondary special,0.0
357,-20953,Accountants,State servant,Secondary / secondary special,0.0
358,-20953,Accountants,State servant,Secondary / secondary special,0.0
359,-20953,Accountants,State servant,Secondary / secondary special,0.0
360,-20953,Accountants,State servant,Secondary / secondary special,0.0
361,-20953,Accountants,State servant,Secondary / secondary special,0.0
362,-20953,Accountants,State servant,Secondary / secondary special,0.0
363,-20953,Accountants,State servant,Secondary / secondary special,0.0
364,-20953,Accountants,State servant,Secondary / secondary special,0.0
365,-20953,Accountants,State servant,Secondary / secondary special,0.0
366,-20953,Accountants,State servant,Secondary / secondary special,0.0
367,-20953,Accountants,State servant,Secondary / secondary special,0.0
368,-20953,Accountants,State servant,Secondary / secondary special,0.0
369,-12333,Accountants,Working,Higher education,1.0
370,-12333,Accountants,Working,Higher education,1.0
371,-12333,Accountants,Working,Higher education,1.0
372,-12333,Accountants,Working,Higher education,1.0
373,-12333,Accountants,Working,Higher education,1.0
374,-12333,Accountants,Working,Higher education,1.0
375,-14667,Managers,Working,Secondary / secondary special,0.0
376,-14667,Managers,Working,Secondary / secondary special,0.0
377,-14667,Managers,Working,Secondary / secondary special,0.0
378,-14667,Managers,Working,Secondary / secondary special,0.0
379,-14667,Managers,Working,Secondary / secondary special,0.0
380,-14667,Managers,Working,Secondary / secondary special,0.0
381,-14667,Managers,Working,Secondary / secondary special,0.0
382,-14667,Managers,Working,Secondary / secondary special,0.0
383,-14667,Managers,Working,Secondary / secondary special,0.0
384,-14667,Managers,Working,Secondary / secondary special,0.0
385,-14667,Managers,Working,Secondary / secondary special,0.0
386,-14667,Managers,Working,Secondary / secondary special,0.0
387,-14667,Managers,Working,Secondary / secondary special,0.0
388,-14667,Managers,Working,Secondary / secondary special,0.0
389,-10611,Drivers,Working,Incomplete higher,1.0
390,-10611,Drivers,Working,Incomplete higher,1.0
391,-10611,Drivers,Working,Incomplete higher,1.0
392,-10611,Drivers,Working,Incomplete higher,1.0
393,-10611,Drivers,Working,Incomplete higher,1.0
394,-19082,Core staff,Working,Higher education,1.0
395,-19082,Core staff,Working,Higher education,1.0
396,-19082,Core staff,Working,Higher education,1.0
397,-14201,"",Commercial associate,Secondary / secondary special,0.0
398,-14201,"",Commercial associate,Secondary / secondary special,0.0
399,-14201,"",Commercial associate,Secondary / secondary special,0.0
400,-9957,Drivers,Working,Secondary / secondary special,1.0
401,-9957,Drivers,Working,Secondary / secondary special,1.0
402,-9957,Drivers,Working,Secondary / secondary special,1.0
403,-9957,Drivers,Working,Secondary / secondary special,1.0
404,-9957,Drivers,Working,Secondary / secondary special,1.0
405,-9957,Drivers,Working,Secondary / secondary special,1.0
406,-15970,Cleaning staff,Working,Secondary / secondary special,1.0
407,-15970,Cleaning staff,Working,Secondary / secondary special,1.0
408,-15970,Cleaning staff,Working,Secondary / secondary special,1.0
409,-14562,Core staff,State servant,Higher education,1.0
410,-14562,Core staff,State servant,Higher education,1.0
411,-14562,Core staff,State servant,Higher education,1.0
412,-14562,Core staff,State servant,Higher education,1.0
413,-14562,Core staff,State servant,Higher education,1.0
414,-21091,"",Pensioner,Secondary / secondary special,0.0
415,-10266,Managers,State servant,Higher education,1.0
416,-10266,Managers,State servant,Higher education,1.0
417,-10266,Managers,State servant,Higher education,1.0
418,-10266,Managers,State servant,Higher education,1.0
419,-10266,Managers,State servant,Higher education,1.0
420,-14781,Laborers,Commercial associate,Secondary / secondary special,1.0
421,-14781,Laborers,Commercial associate,Secondary / secondary special,1.0
422,-14781,Laborers,Commercial associate,Secondary / secondary special,1.0
423,-14781,Laborers,Commercial associate,Secondary / secondary special,1.0
424,-14781,Laborers,Commercial associate,Secondary / secondary special,1.0
425,-14781,Laborers,Commercial associate,Secondary / secondary special,1.0
426,-14781,Laborers,Commercial associate,Secondary / secondary special,1.0
427,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
428,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
429,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
430,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
431,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
432,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
433,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
434,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
435,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
436,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
437,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
438,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
439,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
440,-15140,Cleaning staff,Working,Secondary / secondary special,0.0
441,-21041,"",Pensioner,Secondary / secondary special,0.0
442,-21041,"",Pensioner,Secondary / secondary special,0.0
443,-16099,Laborers,Working,Secondary / secondary special,1.0
444,-16099,Laborers,Working,Secondary / secondary special,1.0
445,-16099,Laborers,Working,Secondary / secondary special,1.0
446,-16099,Laborers,Working,Secondary / secondary special,1.0
447,-16099,Laborers,Working,Secondary / secondary special,1.0
448,-22061,"",Pensioner,Secondary / secondary special,0.0
449,-22061,"",Pensioner,Secondary / secondary special,0.0
450,-22061,"",Pensioner,Secondary / secondary special,0.0
451,-22061,"",Pensioner,Secondary / secondary special,0.0
452,-20140,"",Pensioner,Secondary / secondary special,0.0
453,-20140,"",Pensioner,Secondary / secondary special,0.0
454,-20140,"",Pensioner,Secondary / secondary special,0.0
455,-20140,"",Pensioner,Secondary / secondary special,0.0
456,-20140,"",Pensioner,Secondary / secondary special,0.0
457,-20140,"",Pensioner,Secondary / secondary special,0.0
458,-20140,"",Pensioner,Secondary / secondary special,0.0
459,-20140,"",Pensioner,Secondary / secondary special,0.0
460,-20140,"",Pensioner,Secondary / secondary special,0.0
461,-20140,"",Pensioner,Secondary / secondary special,0.0
462,-20140,"",Pensioner,Secondary / secondary special,0.0
463,-20140,"",Pensioner,Secondary / secondary special,0.0
464,-20140,"",Pensioner,Secondary / secondary special,0.0
465,-20140,"",Pensioner,Secondary / secondary special,0.0
466,-20991,Laborers,Working,Higher education,1.0
467,-20991,Laborers,Working,Higher education,1.0
468,-20991,Laborers,Working,Higher education,1.0
469,-20991,Laborers,Working,Higher education,1.0
470,-20991,Laborers,Working,Higher education,1.0
471,-20991,Laborers,Working,Higher education,1.0
472,-20991,Laborers,Working,Higher education,1.0
473,-20991,Laborers,Working,Higher education,1.0
474,-16203,Managers,Working,Higher education,1.0
475,-16203,Managers,Working,Higher education,1.0
476,-16203,Managers,Working,Higher education,1.0
477,-16203,Managers,Working,Higher education,1.0
478,-18674,Security staff,Working,Secondary / secondary special,1.0
479,-18674,Security staff,Working,Secondary / secondary special,1.0
480,-10750,High skill tech staff,Working,Secondary / secondary special,0.0
481,-10750,High skill tech staff,Working,Secondary / secondary special,0.0
482,-10750,High skill tech staff,Working,Secondary / secondary special,0.0
483,-10750,High skill tech staff,Working,Secondary / secondary special,0.0
484,-10750,High skill tech staff,Working,Secondary / secondary special,0.0
485,-10750,High skill tech staff,Working,Secondary / secondary special,0.0
486,-10750,High skill tech staff,Working,Secondary / secondary special,0.0
487,-21155,Drivers,Commercial associate,Lower secondary,1.0
488,-21155,Drivers,Commercial associate,Lower secondary,1.0
489,-21155,Drivers,Commercial associate,Lower secondary,1.0
490,-21155,Drivers,Commercial associate,Lower secondary,1.0
491,-19692,Laborers,Commercial associate,Secondary / secondary special,1.0
492,-19692,Laborers,Commercial associate,Secondary / secondary special,1.0
493,-19063,Managers,Working,Higher education,1.0
494,-19063,Managers,Working,Higher education,1.0
495,-14867,Drivers,Commercial associate,Higher education,1.0
496,-14867,Drivers,Commercial associate,Higher education,1.0
497,-14867,Drivers,Commercial associate,Higher education,1.0
498,-14867,Drivers,Commercial associate,Higher education,1.0
499,-14867,Drivers,Commercial associate,Higher education,1.0
500,-14867,Drivers,Commercial associate,Higher education,1.0
