id,Anonym_age,Anonym_race,Anonym_sex,Anonym_workclass,Anonym_income,prediction
158,[69-72],Person,Adult,Employee,<=50K,0.0
159,29,Person,Adult,Employee,<=50K,0.0
160,42,Person,Adult,Employee,<=50K,0.0
161,[68-69],Person,Adult,Employee,<=50K,0.0
162,[25-26],Person,Adult,Employee,<=50K,0.0
163,44,Person,Adult,Employee,<=50K,0.0
164,28,Person,Adult,Employee,<=50K,0.0
165,45,Person,Adult,Employee,>50K,0.0
166,36,Person,Adult,Employee,<=50K,0.0
167,[38-39],Person,Adult,Employee,<=50K,0.0
168,46,Person,Adult,Employee,<=50K,0.0
169,18,Person,Adult,Employee,<=50K,0.0
170,[65-66],Person,Adult,Employee,<=50K,0.0
171,27,Person,Adult,Employee,<=50K,0.0
172,28,Person,Adult,Employee,<=50K,0.0
173,51,Person,Adult,Employee,>50K,0.0
174,27,Person,Adult,Employee,<=50K,0.0
175,[28-29],Person,Adult,Employee,>50K,0.0
176,27,Person,Adult,Employee,<=50K,0.0
177,[20-21],Person,Adult,Employee,<=50K,0.0
178,34,Person,Adult,Employee,<=50K,0.0
179,18,Person,Adult,Employee,<=50K,0.0
180,[32-33],Person,Adult,Employee,<=50K,0.0
181,44,Person,Adult,Employee,>50K,0.0
182,43,Person,Adult,Employee,<=50K,0.0
183,30,Person,Adult,Employee,<=50K,0.0
184,40,Person,Adult,Employee,>50K,0.0
185,[37-38],Person,Adult,Employee,>50K,0.0
186,34,Person,Adult,Employee,<=50K,0.0
187,41,Person,Adult,Employee,<=50K,0.0
188,53,Person,Adult,Employee,<=50K,0.0
189,31,Person,Adult,Employee,<=50K,0.0
190,58,Person,Adult,Employee,>50K,0.0
191,38,Person,Adult,Employee,<=50K,0.0
192,24,Person,Adult,Employee,<=50K,0.0
193,41,Person,Adult,Employee,<=50K,0.0
194,47,Person,Adult,Employee,<=50K,0.0
195,41,Person,Adult,Employee,<=50K,0.0
196,23,Person,Adult,Employee,<=50K,0.0
197,36,Person,Adult,Employee,<=50K,0.0
198,40,Person,Adult,Employee,>50K,0.0
199,35,Person,Adult,Employee,>50K,0.0
200,24,Person,Adult,Employee,<=50K,0.0
201,26,Person,Adult,Employee,<=50K,0.0
202,[19-20],Person,Adult,Employee,<=50K,0.0
203,[51-52],Person,Adult,Employee,>50K,0.0
204,42,Person,Adult,Employee,<=50K,0.0
205,37,Person,Adult,Employee,<=50K,0.0
206,18,Person,Adult,Employee,<=50K,0.0
207,36,Person,Adult,Employee,>50K,0.0
208,35,Person,Adult,Employee,<=50K,0.0
209,[58-59],Person,Adult,Employee,>50K,0.0
210,17,Person,Adult,Employee,<=50K,0.0
211,44,Person,Adult,Employee,<=50K,0.0
212,37,Person,Adult,Employee,>50K,0.0
213,[34-35],Person,Adult,Employee,<=50K,0.0
214,60,Person,Adult,Employee,<=50K,0.0
215,54,Person,Adult,Employee,>50K,0.0
216,[37-38],Person,Adult,Employee,>50K,0.0
217,50,Person,Adult,Employee,<=50K,0.0
218,38,Person,Adult,Employee,<=50K,0.0
219,[45-46],Person,Adult,Employee,<=50K,0.0
220,25,Person,Adult,Employee,<=50K,0.0
221,31,Person,Adult,Employee,<=50K,0.0
222,64,Person,Adult,Employee,<=50K,0.0
223,[78-90],Person,Adult,Employee,<=50K,0.0
224,54,Person,Adult,Employee,<=50K,0.0
225,53,Person,Adult,Employee,<=50K,0.0
226,[18-19],Person,Adult,Employee,<=50K,0.0
227,60,Person,Adult,Employee,<=50K,0.0
228,[65-66],Person,Adult,Employee,<=50K,0.0
229,[74-78],Person,Adult,Employee,<=50K,0.0
230,[64-65],Person,Adult,Employee,<=50K,0.0
231,[35-36],Person,Adult,Employee,<=50K,0.0
232,41,Person,Adult,Employee,<=50K,0.0
233,25,Person,Adult,Employee,<=50K,0.0
234,[32-33],Person,Adult,Employee,<=50K,0.0
235,28,Person,Adult,Employee,>50K,0.0
236,59,Person,Adult,Employee,<=50K,0.0
237,40,Person,Adult,Employee,<=50K,0.0
238,41,Person,Adult,Employee,>50K,0.0
239,38,Person,Adult,Employee,>50K,0.0
240,23,Person,Adult,Employee,<=50K,0.0
241,40,Person,Adult,Employee,>50K,0.0
242,41,Person,Adult,Employee,<=50K,0.0
243,24,Person,Adult,Employee,<=50K,0.0
244,20,Person,Adult,Employee,<=50K,0.0
245,[37-38],Person,Adult,Employee,<=50K,0.0
246,56,Person,Adult,Employee,<=50K,0.0
247,58,Person,Adult,Employee,>50K,0.0
248,32,Person,Adult,Employee,<=50K,0.0
249,40,Person,Adult,Employee,>50K,0.0
250,45,Person,Adult,Employee,<=50K,0.0
251,41,Person,Adult,Employee,>50K,0.0
252,42,Person,Adult,Employee,<=50K,0.0
253,[58-59],Person,Adult,Employee,<=50K,0.0
254,[19-20],Person,Adult,Employee,<=50K,0.0
255,58,Person,Adult,Employee,<=50K,0.0
256,42,Person,Adult,Employee,>50K,0.0
257,20,Person,Adult,Employee,<=50K,0.0
258,32,Person,Adult,Employee,<=50K,0.0
259,[44-45],Person,Adult,Employee,<=50K,0.0
260,[49-50],Person,Adult,Employee,<=50K,0.0
261,36,Person,Adult,Employee,<=50K,0.0
262,45,Person,Adult,Employee,<=50K,0.0
263,17,Person,Adult,Employee,<=50K,0.0
264,[58-59],Person,Adult,Employee,<=50K,0.0
265,[26-27],Person,Adult,Employee,<=50K,0.0
266,[37-38],Person,Adult,Employee,>50K,0.0
267,[18-19],Person,Adult,Employee,<=50K,0.0
268,64,Person,Adult,Employee,>50K,0.0
269,[33-34],Person,Adult,Employee,<=50K,0.0
270,33,Person,Adult,Employee,>50K,0.0
271,[61-62],Person,Adult,Employee,>50K,0.0
272,17,Person,Adult,Employee,<=50K,0.0
273,50,Person,Adult,Employee,<=50K,0.0
274,27,Person,Adult,Employee,<=50K,0.0
275,30,Person,Adult,Employee,<=50K,0.0
276,[43-44],Person,Adult,Employee,<=50K,0.0
277,44,Person,Adult,Employee,>50K,0.0
278,[34-35],Person,Adult,Employee,<=50K,0.0
279,[25-26],Person,Adult,Employee,<=50K,0.0
280,24,Person,Adult,Employee,>50K,0.0
281,22,Person,Adult,Employee,<=50K,0.0
282,[41-42],Person,Adult,Employee,>50K,0.0
283,34,Person,Adult,Employee,<=50K,0.0
284,60,Person,Adult,Employee,<=50K,0.0
285,21,Person,Adult,Employee,<=50K,0.0
286,57,Person,Adult,Employee,>50K,0.0
287,41,Person,Adult,Employee,>50K,0.0
288,50,Person,Adult,Employee,<=50K,0.0
289,25,Person,Adult,Employee,<=50K,0.0
290,50,Person,Adult,Employee,<=50K,0.0
291,36,Person,Adult,Employee,<=50K,0.0
292,31,Person,Adult,Employee,<=50K,0.0
293,29,Person,Adult,Employee,<=50K,0.0
294,21,Person,Adult,Employee,<=50K,0.0
295,[27-28],Person,Adult,Employee,<=50K,0.0
296,[65-66],Person,Adult,Employee,<=50K,0.0
297,37,Person,Adult,Employee,<=50K,0.0
298,39,Person,Adult,Employee,<=50K,0.0
299,24,Person,Adult,Employee,<=50K,0.0
300,38,Person,Adult,Employee,<=50K,0.0
301,[48-49],Person,Adult,Employee,>50K,0.0
302,[20-21],Person,Adult,Employee,<=50K,0.0
303,31,Person,Adult,Employee,>50K,0.0
304,55,Person,Adult,Employee,>50K,0.0
305,24,Person,Adult,Employee,<=50K,0.0
306,43,Person,Adult,Employee,<=50K,0.0
307,[26-27],Person,Adult,Employee,<=50K,0.0
308,[46-47],Person,Adult,Employee,<=50K,0.0
309,[35-36],Person,Adult,Employee,>50K,0.0
310,41,Person,Adult,Employee,>50K,0.0
311,26,Person,Adult,Employee,<=50K,0.0
312,34,Person,Adult,Employee,>50K,0.0
313,[18-19],Person,Adult,Employee,<=50K,0.0
314,36,Person,Adult,Employee,>50K,0.0
315,22,Person,Adult,Employee,<=50K,0.0
316,[23-24],Person,Adult,Employee,<=50K,0.0
317,[74-78],Person,Adult,Employee,<=50K,0.0
318,22,Person,Adult,Employee,<=50K,0.0
319,29,Person,Adult,Employee,<=50K,0.0
320,62,Person,Adult,Employee,<=50K,0.0
321,39,Person,Adult,Employee,<=50K,0.0
322,43,Person,Adult,Employee,<=50K,0.0
323,[35-36],Person,Adult,Employee,<=50K,0.0
324,29,Person,Adult,Employee,<=50K,0.0
325,[74-78],Person,Adult,Employee,<=50K,0.0
326,[62-63],Person,Adult,Employee,<=50K,0.0
327,23,Person,Adult,Employee,<=50K,0.0
328,43,Person,Adult,Employee,>50K,0.0
329,58,Person,Adult,Employee,<=50K,0.0
330,[65-66],Person,Adult,Employee,<=50K,0.0
331,41,Person,Adult,Employee,<=50K,0.0
332,26,Person,Adult,Employee,<=50K,0.0
333,[47-48],Person,Adult,Employee,<=50K,0.0
334,[54-55],Person,Adult,Employee,<=50K,0.0
335,53,Person,Adult,Employee,<=50K,0.0
336,17,Person,Adult,Employee,<=50K,0.0
337,30,Person,Adult,Employee,<=50K,0.0
338,49,Person,Adult,Employee,<=50K,0.0
339,[19-20],Person,Adult,Employee,<=50K,0.0
340,45,Person,Adult,Employee,<=50K,0.0
341,26,Person,Adult,Employee,<=50K,0.0
342,38,Person,Adult,Employee,>50K,0.0
343,36,Person,Adult,Employee,>50K,0.0
344,33,Person,Adult,Employee,<=50K,0.0
345,22,Person,Adult,Employee,<=50K,0.0
346,43,Person,Adult,Employee,<=50K,0.0
347,[66-68],Person,Adult,Employee,<=50K,0.0
348,[29-30],Person,Adult,Employee,<=50K,0.0
349,[56-58],Person,Adult,Employee,<=50K,0.0
350,31,Person,Adult,Employee,<=50K,0.0
351,33,Person,Adult,Employee,>50K,0.0
352,[26-27],Person,Adult,Employee,<=50K,0.0
353,[32-33],Person,Adult,Employee,>50K,0.0
354,[45-46],Person,Adult,Employee,<=50K,0.0
355,59,Person,Adult,Employee,>50K,0.0
356,38,Person,Adult,Employee,>50K,0.0
357,[64-65],Person,Adult,Employee,<=50K,0.0
358,40,Person,Adult,Employee,>50K,0.0
359,42,Person,Adult,Employee,<=50K,0.0
360,26,Person,Adult,Employee,<=50K,0.0
361,36,Person,Adult,Employee,<=50K,0.0
362,62,Person,Adult,Employee,>50K,0.0
363,43,Person,Adult,Employee,<=50K,0.0
364,43,Person,Adult,Employee,>50K,0.0
365,22,Person,Adult,Employee,<=50K,0.0
366,[28-29],Person,Adult,Employee,<=50K,0.0
367,[56-58],Person,Adult,Employee,<=50K,0.0
368,[21-22],Person,Adult,Employee,<=50K,0.0
369,[56-58],Person,Adult,Employee,>50K,0.0
370,39,Person,Adult,Employee,<=50K,0.0
371,[26-27],Person,Adult,Employee,<=50K,0.0
372,17,Person,Adult,Employee,<=50K,0.0
373,40,Person,Adult,Employee,>50K,0.0
374,45,Person,Adult,Employee,<=50K,0.0
375,44,Person,Adult,Employee,<=50K,0.0
376,20,Person,Adult,Employee,<=50K,0.0
377,33,Person,Adult,Employee,<=50K,0.0
378,[22-23],Person,Adult,Employee,<=50K,0.0
379,46,Person,Adult,Employee,<=50K,0.0
380,38,Person,Adult,Employee,<=50K,0.0
381,[54-55],Person,Adult,Employee,<=50K,0.0
382,46,Person,Adult,Employee,<=50K,0.0
383,[25-26],Person,Adult,Employee,<=50K,0.0
384,46,Person,Adult,Employee,<=50K,0.0
385,36,Person,Adult,Employee,<=50K,0.0
386,23,Person,Adult,Employee,<=50K,0.0
387,29,Person,Adult,Employee,<=50K,0.0
388,[43-44],Person,Adult,Employee,>50K,0.0
389,19,Person,Adult,Employee,<=50K,0.0
390,19,Person,Adult,Employee,<=50K,0.0
391,35,Person,Adult,Employee,>50K,0.0
392,27,Person,Adult,Employee,<=50K,0.0
393,46,Person,Adult,Employee,<=50K,0.0
394,34,Person,Adult,Employee,>50K,0.0
395,34,Person,Adult,Employee,<=50K,0.0
396,44,Person,Adult,Employee,<=50K,0.0
397,45,Person,Adult,Employee,<=50K,0.0
398,20,Person,Adult,Employee,<=50K,0.0
399,25,Person,Adult,Employee,>50K,0.0
400,52,Person,Adult,Employee,>50K,0.0
401,20,Person,Adult,Employee,<=50K,0.0
402,28,Person,Adult,Employee,<=50K,0.0
403,50,Person,Adult,Employee,>50K,0.0
404,34,Person,Adult,Employee,<=50K,0.0
405,28,Person,Adult,Employee,<=50K,0.0
406,41,Person,Adult,Employee,>50K,0.0
407,28,Person,Adult,Employee,<=50K,0.0
408,46,Person,Adult,Employee,<=50K,0.0
409,28,Person,Adult,Employee,>50K,0.0
410,32,Person,Adult,Employee,<=50K,0.0
411,41,Person,Adult,Employee,<=50K,0.0
412,24,Person,Adult,Employee,<=50K,0.0
413,33,Person,Adult,Employee,<=50K,0.0
414,46,Person,Adult,Employee,>50K,0.0
415,31,Person,Adult,Employee,<=50K,0.0
416,35,Person,Adult,Employee,>50K,0.0
417,[52-53],Person,Adult,Employee,<=50K,0.0
418,30,Person,Adult,Employee,<=50K,0.0
419,34,Person,Adult,Employee,<=50K,0.0
420,34,Person,Adult,Employee,<=50K,0.0
421,20,Person,Adult,Employee,<=50K,0.0
422,17,Person,Adult,Employee,<=50K,0.0
423,32,Person,Adult,Employee,>50K,0.0
424,29,Person,Adult,Employee,<=50K,0.0
425,33,Person,Adult,Employee,<=50K,0.0
426,[25-26],Person,Adult,Employee,<=50K,0.0
427,36,Person,Adult,Employee,<=50K,0.0
428,[23-24],Person,Adult,Employee,<=50K,0.0
429,[62-63],Person,Adult,Employee,>50K,0.0
430,47,Person,Adult,Employee,<=50K,0.0
431,[78-90],Person,Adult,Employee,<=50K,0.0
432,17,Person,Adult,Employee,<=50K,0.0
433,40,Person,Adult,Employee,<=50K,0.0
434,30,Person,Adult,Employee,>50K,0.0
435,27,Person,Adult,Employee,<=50K,0.0
436,33,Person,Adult,Employee,>50K,0.0
437,34,Person,Adult,Employee,<=50K,0.0
438,34,Person,Adult,Employee,<=50K,0.0
439,23,Person,Adult,Employee,<=50K,0.0
440,[41-42],Person,Adult,Employee,<=50K,0.0
441,29,Person,Adult,Employee,<=50K,0.0
442,45,Person,Adult,Employee,<=50K,0.0
443,24,Person,Adult,Employee,<=50K,0.0
444,44,Person,Adult,Employee,>50K,0.0
445,27,Person,Adult,Employee,<=50K,0.0
446,20,Person,Adult,Employee,<=50K,0.0
447,44,Person,Adult,Employee,<=50K,0.0
448,[51-52],Person,Adult,Employee,<=50K,0.0
449,20,Person,Adult,Employee,<=50K,0.0
450,17,Person,Adult,Employee,<=50K,0.0
451,[18-19],Person,Adult,Employee,<=50K,0.0
452,45,Person,Adult,Employee,>50K,0.0
453,[59-60],Person,Adult,Employee,>50K,0.0
454,42,Person,Adult,Employee,>50K,0.0
455,[43-44],Person,Adult,Employee,>50K,0.0
456,40,Person,Adult,Employee,>50K,0.0
457,30,Person,Adult,Employee,<=50K,0.0
458,38,Person,Adult,Employee,<=50K,0.0
459,23,Person,Adult,Employee,<=50K,0.0
460,32,Person,Adult,Employee,<=50K,0.0
461,44,Person,Adult,Employee,<=50K,0.0
462,54,Person,Adult,Employee,<=50K,0.0
463,32,Person,Adult,Employee,<=50K,0.0
464,50,Person,Adult,Employee,<=50K,0.0
465,24,Person,Adult,Employee,<=50K,0.0
466,[36-37],Person,Adult,Employee,<=50K,0.0
467,[52-53],Person,Adult,Employee,<=50K,0.0
468,38,Person,Adult,Employee,<=50K,0.0
469,49,Person,Adult,Employee,>50K,0.0
470,30,Person,Adult,Employee,>50K,0.0
471,60,Person,Adult,Employee,>50K,0.0
472,22,Person,Adult,Employee,<=50K,0.0
473,35,Person,Adult,Employee,<=50K,0.0
474,[29-30],Person,Adult,Employee,<=50K,0.0
475,[66-68],Person,Adult,Employee,<=50K,0.0
476,46,Person,Adult,Employee,<=50K,0.0
477,17,Person,Adult,Employee,<=50K,0.0
478,[21-22],Person,Adult,Employee,<=50K,0.0
479,27,Person,Adult,Employee,<=50K,0.0
480,[22-23],Person,Adult,Employee,<=50K,0.0
481,33,Person,Adult,Employee,<=50K,0.0
482,43,Person,Adult,Employee,<=50K,0.0
483,28,Person,Adult,Employee,<=50K,0.0
484,41,Person,Adult,Employee,<=50K,0.0
485,52,Person,Adult,Employee,<=50K,0.0
486,[25-26],Person,Adult,Employee,<=50K,0.0
487,[62-63],Person,Adult,Employee,<=50K,0.0
488,59,Person,Adult,Employee,<=50K,0.0
489,45,Person,Adult,Employee,<=50K,0.0
490,38,Person,Adult,Employee,>50K,0.0
491,[40-41],Person,Adult,Employee,<=50K,0.0
492,46,Person,Adult,Employee,<=50K,0.0
493,[35-36],Person,Adult,Employee,<=50K,0.0
494,34,Person,Adult,Employee,<=50K,0.0
495,33,Person,Adult,Employee,<=50K,0.0
496,41,Person,Adult,Employee,<=50K,0.0
497,20,Person,Adult,Employee,<=50K,0.0
498,23,Person,Adult,Employee,<=50K,0.0
499,26,Person,Adult,Employee,<=50K,0.0
500,[72-74],Person,Adult,Employee,<=50K,0.0
501,23,Person,Adult,Employee,<=50K,0.0
502,62,Person,Adult,Employee,<=50K,0.0
503,52,Person,Adult,Employee,<=50K,0.0
504,58,Person,Adult,Employee,<=50K,0.0
505,25,Person,Adult,Employee,<=50K,0.0
506,24,Person,Adult,Employee,<=50K,0.0
507,[19-20],Person,Adult,Employee,<=50K,0.0
508,[42-43],Person,Adult,Employee,<=50K,0.0
509,[46-47],Person,Adult,Employee,<=50K,0.0
510,39,Person,Adult,Employee,<=50K,0.0
511,49,Person,Adult,Employee,<=50K,0.0
512,53,Person,Adult,Employee,<=50K,0.0
513,[32-33],Person,Adult,Employee,<=50K,0.0
514,34,Person,Adult,Employee,>50K,0.0
515,28,Person,Adult,Employee,<=50K,0.0
516,[56-58],Person,Adult,Employee,<=50K,0.0
517,[25-26],Person,Adult,Employee,<=50K,0.0
518,20,Person,Adult,Employee,<=50K,0.0
519,21,Person,Adult,Employee,<=50K,0.0
520,34,Person,Adult,Employee,>50K,0.0
521,[38-39],Person,Adult,Employee,>50K,0.0
522,50,Person,Adult,Employee,>50K,0.0
523,24,Person,Adult,Employee,<=50K,0.0
524,37,Person,Adult,Employee,>50K,0.0
525,44,Person,Adult,Employee,>50K,0.0
526,28,Person,Adult,Employee,<=50K,0.0
527,[42-43],Person,Adult,Employee,>50K,0.0
528,[74-78],Person,Adult,Employee,<=50K,0.0
529,[37-38],Person,Adult,Employee,<=50K,0.0
530,44,Person,Adult,Employee,<=50K,0.0
531,44,Person,Adult,Employee,<=50K,0.0
532,26,Person,Adult,Employee,<=50K,0.0
533,36,Person,Adult,Employee,<=50K,0.0
534,41,Person,Adult,Employee,>50K,0.0
535,[66-68],Person,Adult,Employee,>50K,0.0
536,39,Person,Adult,Employee,<=50K,0.0
537,57,Person,Adult,Employee,<=50K,0.0
538,29,Person,Adult,Employee,<=50K,0.0
539,31,Person,Adult,Employee,<=50K,0.0
540,34,Person,Adult,Employee,<=50K,0.0
541,44,Person,Adult,Employee,<=50K,0.0
542,29,Person,Adult,Employee,<=50K,0.0
543,30,Person,Adult,Employee,<=50K,0.0
544,27,Person,Adult,Employee,<=50K,0.0
545,27,Person,Adult,Employee,<=50K,0.0
546,32,Person,Adult,Employee,<=50K,0.0
547,[56-58],Person,Adult,Employee,<=50K,0.0
548,35,Person,Adult,Employee,<=50K,0.0
549,21,Person,Adult,Employee,<=50K,0.0
550,[27-28],Person,Adult,Employee,<=50K,0.0
551,46,Person,Adult,Employee,<=50K,0.0
552,36,Person,Adult,Employee,<=50K,0.0
553,[72-74],Person,Adult,Employee,<=50K,0.0
554,35,Person,Adult,Employee,<=50K,0.0
555,33,Person,Adult,Employee,>50K,0.0
556,[68-69],Person,Adult,Employee,<=50K,0.0
557,35,Person,Adult,Employee,<=50K,0.0
558,31,Person,Adult,Employee,<=50K,0.0
559,34,Person,Adult,Employee,<=50K,0.0
560,[30-31],Person,Adult,Employee,<=50K,0.0
561,28,Person,Adult,Employee,<=50K,0.0
562,54,Person,Adult,Employee,>50K,0.0
563,47,Person,Adult,Employee,>50K,0.0
564,24,Person,Adult,Employee,<=50K,0.0
565,52,Person,Adult,Employee,>50K,0.0
566,20,Person,Adult,Employee,<=50K,0.0
