id,age,race,sex,workclass,income,prediction
130,39,White,Male,Private,<=50K,1
131,28,White,Female,Private,<=50K,1
132,24,White,Female,Private,<=50K,0
133,38,White,Male,Self-emp-not-inc,<=50K,1
134,37,White,Male,Private,<=50K,0
135,46,Black,Female,Private,<=50K,0
136,38,White,Male,Federal-gov,>50K,1
137,43,White,Male,Self-emp-not-inc,<=50K,1
138,27,White,Female,Private,<=50K,0
139,20,White,Male,Private,<=50K,0
140,49,Asian-Pac-Islander,Male,Private,>50K,1
141,61,White,Male,Self-emp-inc,<=50K,0
142,27,White,Female,Private,<=50K,0
143,19,White,Male,Private,<=50K,1
144,45,White,Female,Private,>50K,0
145,70,White,Male,Private,<=50K,1
146,31,Black,Female,Private,<=50K,1
147,22,White,Male,Private,<=50K,0
148,36,White,Female,Private,<=50K,0
149,64,White,Male,Private,<=50K,1
150,43,White,Female,?,<=50K,1
151,47,White,Female,Local-gov,<=50K,1
152,34,White,Female,Private,<=50K,0
153,33,Asian-Pac-Islander,Female,Private,<=50K,0
154,21,White,Male,Private,<=50K,1
155,52,White,Male,?,>50K,0
156,48,White,Male,Private,<=50K,1
157,23,White,Male,Private,<=50K,1
158,71,Black,Male,Self-emp-not-inc,<=50K,0
159,29,White,Male,Private,<=50K,0
160,42,Black,Male,Private,<=50K,1
161,68,White,Female,?,<=50K,1
162,25,White,Female,Private,<=50K,1
163,44,Asian-Pac-Islander,Female,Self-emp-inc,<=50K,0
164,28,Asian-Pac-Islander,Female,Private,<=50K,0
165,45,White,Male,Self-emp-not-inc,>50K,1
166,36,White,Female,Private,<=50K,0
167,39,White,Male,Federal-gov,<=50K,1
168,46,White,Male,State-gov,<=50K,1
169,18,White,Male,Private,<=50K,0
170,66,White,Female,Local-gov,<=50K,0
171,27,White,Male,Private,<=50K,1
172,28,White,Male,State-gov,<=50K,1
173,51,White,Male,Private,>50K,1
174,27,White,Male,Private,<=50K,0
175,28,White,Male,State-gov,>50K,0
176,27,White,Female,Private,<=50K,1
177,21,Black,Male,Private,<=50K,0
178,34,Black,Male,Private,<=50K,1
179,18,White,Male,Private,<=50K,1
180,33,White,Male,Private,<=50K,1
181,44,Black,Male,Local-gov,>50K,0
182,43,White,Female,Private,<=50K,0
183,30,Black,Male,Private,<=50K,1
184,40,White,Male,Private,>50K,1
185,37,White,Male,Federal-gov,>50K,0
186,34,Black,Male,Private,<=50K,0
187,41,White,Female,Self-emp-not-inc,<=50K,1
188,53,White,Female,?,<=50K,0
189,31,White,Female,Private,<=50K,1
190,58,White,Male,State-gov,>50K,1
191,38,Black,Female,Private,<=50K,1
192,24,White,Male,Private,<=50K,0
193,41,Black,Male,Local-gov,<=50K,0
194,47,White,Male,Private,<=50K,1
195,41,White,Male,Federal-gov,<=50K,1
196,23,White,Male,Private,<=50K,0
197,36,White,Male,Private,<=50K,0
198,40,White,Female,Federal-gov,>50K,1
199,35,White,Male,Private,>50K,0
200,24,White,Male,Self-emp-not-inc,<=50K,1
201,26,White,Female,Private,<=50K,0
202,19,White,Male,?,<=50K,0
203,51,White,Male,Private,>50K,1
204,42,White,Female,Local-gov,<=50K,1
205,37,White,Female,State-gov,<=50K,0
206,18,White,Female,Private,<=50K,0
207,36,Black,Male,Private,>50K,1
208,35,White,Male,Private,<=50K,1
209,58,White,Female,Self-emp-inc,>50K,0
210,17,White,Female,Private,<=50K,1
211,44,Black,Male,Local-gov,<=50K,1
212,37,White,Male,Private,>50K,0
213,35,Amer-Indian-Eskimo,Female,Private,<=50K,0
214,60,Asian-Pac-Islander,Male,Private,<=50K,1
215,54,White,Male,Self-emp-inc,>50K,1
216,37,Black,Male,Private,>50K,0
217,50,White,Female,Private,<=50K,0
218,38,White,Male,Private,<=50K,1
219,45,White,Male,Private,<=50K,1
220,25,White,Male,Private,<=50K,1
221,31,White,Male,Private,<=50K,1
222,64,White,Male,?,<=50K,1
223,90,Black,Male,Private,<=50K,0
224,54,Black,Male,Private,<=50K,0
225,53,White,Female,Local-gov,<=50K,1
226,18,White,Female,Private,<=50K,1
227,60,Amer-Indian-Eskimo,Female,?,<=50K,0
228,66,White,Male,Self-emp-not-inc,<=50K,0
229,75,White,Female,Private,<=50K,1
230,65,White,Female,Private,<=50K,1
231,35,Black,Male,Private,<=50K,0
232,41,Black,Female,Private,<=50K,1
233,25,White,Male,Private,<=50K,0
234,33,Other,Female,Private,<=50K,1
235,28,White,Male,Private,>50K,1
236,59,White,Male,State-gov,<=50K,0
237,40,White,Female,State-gov,<=50K,0
238,41,White,Male,Private,>50K,1
239,38,White,Male,Local-gov,>50K,1
240,23,White,Male,Private,<=50K,1
241,40,White,Male,Private,>50K,1
242,41,White,Female,Self-emp-not-inc,<=50K,0
243,24,White,Male,State-gov,<=50K,1
244,20,White,Male,?,<=50K,0
245,38,White,Male,Private,<=50K,1
246,56,White,Male,Private,<=50K,1
247,58,White,Male,Private,>50K,1
248,32,White,Female,Private,<=50K,0
249,40,White,Male,Private,>50K,1
250,45,White,Male,Private,<=50K,0
251,41,White,Female,Private,>50K,1
252,42,Black,Female,Private,<=50K,1
253,59,Black,Female,Local-gov,<=50K,0
254,19,White,Male,Local-gov,<=50K,1
255,58,White,Male,Private,<=50K,0
256,42,Asian-Pac-Islander,Male,Self-emp-not-inc,>50K,0
257,20,White,Female,Private,<=50K,1
258,32,White,Female,Private,<=50K,1
259,45,White,Female,Private,<=50K,0
260,50,White,Male,Private,<=50K,1
261,36,White,Female,Private,<=50K,1
262,45,White,Male,Private,<=50K,0
263,17,White,Male,Private,<=50K,0
264,59,White,Male,Private,<=50K,1
265,26,White,Male,Private,<=50K,0
266,37,Asian-Pac-Islander,Male,Self-emp-inc,>50K,1
267,19,White,Male,?,<=50K,1
268,64,White,Male,Private,>50K,0
269,33,White,Female,Private,<=50K,0
270,33,White,Female,Private,>50K,0
271,61,White,Male,Private,>50K,1
272,17,White,Male,Private,<=50K,1
273,50,White,Male,Self-emp-not-inc,<=50K,0
274,27,White,Male,Local-gov,<=50K,0
275,30,White,Female,Private,<=50K,1
276,43,Black,Male,Private,<=50K,0
277,44,White,Male,Private,>50K,1
278,35,White,Female,Private,<=50K,1
279,25,White,Female,Private,<=50K,0
280,24,White,Female,Private,>50K,0
281,22,White,Female,Private,<=50K,0
282,42,White,Male,Local-gov,>50K,1
283,34,Black,Female,Private,<=50K,1
284,60,White,Female,Private,<=50K,0
285,21,White,Male,Private,<=50K,0
286,57,White,Male,Federal-gov,>50K,1
287,41,White,Male,Private,>50K,0
288,50,White,Male,Private,<=50K,1
289,25,White,Female,Private,<=50K,1
290,50,White,Male,Private,<=50K,1
291,36,White,Male,Private,<=50K,0
292,31,White,Female,Private,<=50K,0
293,29,White,Male,Local-gov,<=50K,1
294,21,White,Male,Private,<=50K,1
295,27,Black,Female,Private,<=50K,0
296,65,White,Male,Private,<=50K,0
297,37,White,Female,Self-emp-inc,<=50K,1
298,39,Asian-Pac-Islander,Female,?,<=50K,0
299,24,White,Male,Private,<=50K,1
300,38,White,Male,Private,<=50K,1
301,48,White,Male,Private,>50K,1
302,21,Asian-Pac-Islander,Female,Private,<=50K,0
303,31,White,Male,Private,>50K,0
304,55,White,Male,Private,>50K,1
305,24,Asian-Pac-Islander,Female,Private,<=50K,1
306,43,White,Female,Private,<=50K,0
307,26,White,Male,Private,<=50K,0
308,46,White,Female,Private,<=50K,1
309,35,White,Male,Private,>50K,1
310,41,White,Male,Self-emp-inc,>50K,0
311,26,White,Male,Private,<=50K,1
312,34,Asian-Pac-Islander,Male,Private,>50K,1
313,19,Black,Female,?,<=50K,0
314,36,Black,Female,Self-emp-not-inc,>50K,0
315,22,White,Male,Private,<=50K,1
316,24,White,Male,Private,<=50K,1
317,77,White,Male,Self-emp-not-inc,<=50K,0
318,22,White,Female,Private,<=50K,0
319,29,White,Female,Private,<=50K,1
320,62,White,Female,Private,<=50K,0
321,39,White,Male,Self-emp-not-inc,<=50K,0
322,43,White,Male,Private,<=50K,1
323,35,White,Male,Private,<=50K,1
324,29,White,Female,Private,<=50K,0
325,76,White,Male,Self-emp-not-inc,<=50K,0
326,63,White,Male,Self-emp-not-inc,<=50K,1
327,23,Black,Female,?,<=50K,1
328,43,White,Female,Private,>50K,0
329,58,White,Male,Self-emp-not-inc,<=50K,0
330,66,White,Male,Private,<=50K,0
331,41,Black,Male,Private,<=50K,1
332,26,White,Male,Private,<=50K,0
333,47,White,Male,Private,<=50K,1
334,55,White,Male,Local-gov,<=50K,1
335,53,White,Male,Private,<=50K,0
336,17,White,Male,Private,<=50K,0
337,30,White,Male,Private,<=50K,1
338,49,White,Male,Private,<=50K,1
339,19,Black,Male,Private,<=50K,0
340,45,Black,Male,Private,<=50K,0
341,26,White,Male,Private,<=50K,0
342,38,White,Male,Private,>50K,1
343,36,White,Male,State-gov,>50K,0
344,33,White,Male,Private,<=50K,1
345,22,Black,Female,State-gov,<=50K,1
346,43,White,Male,Self-emp-not-inc,<=50K,0
347,67,White,Male,?,<=50K,0
348,30,White,Female,?,<=50K,1
349,56,White,Male,Private,<=50K,1
350,31,White,Male,Private,<=50K,0
351,33,White,Male,Private,>50K,0
352,26,White,Male,Private,<=50K,1
353,33,White,Male,Private,>50K,0
354,46,White,Male,Local-gov,<=50K,1
355,59,White,Male,?,>50K,1
356,38,White,Male,Federal-gov,>50K,0
357,65,Other,Male,Private,<=50K,1
358,40,White,Male,Private,>50K,1
359,42,White,Female,Private,<=50K,1
360,26,White,Male,Self-emp-not-inc,<=50K,1
361,36,White,Female,Private,<=50K,0
362,62,White,Male,Private,>50K,0
363,43,White,Male,Private,<=50K,1
364,43,White,Male,Private,>50K,0
365,22,White,Male,Private,<=50K,1
366,28,White,Male,Private,<=50K,1
367,56,White,Male,Self-emp-not-inc,<=50K,0
368,22,White,Female,Private,<=50K,1
369,57,White,Female,Private,>50K,1
370,39,White,Female,Private,<=50K,1
371,26,White,Female,Federal-gov,<=50K,1
372,17,White,Male,Private,<=50K,0
373,40,White,Male,State-gov,>50K,0
374,45,Black,Male,Private,<=50K,1
375,44,Black,Male,Private,<=50K,0
376,20,White,Female,Local-gov,<=50K,1
377,33,White,Female,Private,<=50K,1
378,23,White,Male,Private,<=50K,0
379,46,White,Male,Self-emp-not-inc,<=50K,0
380,38,White,Male,Private,<=50K,1
381,54,White,Male,Private,<=50K,0
382,46,White,Female,Private,<=50K,0
383,25,White,Male,Private,<=50K,1
384,46,White,Female,Private,<=50K,1
385,36,White,Female,Local-gov,<=50K,0
386,23,White,Female,Private,<=50K,1
387,29,White,Male,Private,<=50K,0
388,44,White,Female,Private,>50K,0
389,19,White,Female,Private,<=50K,1
390,19,White,Female,Private,<=50K,0
391,35,White,Female,Private,>50K,1
392,27,White,Male,Private,<=50K,0
393,46,White,Male,Self-emp-not-inc,<=50K,0
394,34,White,Male,State-gov,>50K,1
395,34,White,Female,Private,<=50K,1
396,44,White,Male,Private,<=50K,0
397,45,White,Female,Private,<=50K,1
398,20,White,Female,?,<=50K,0
399,25,White,Male,Private,>50K,0
400,52,White,Male,Self-emp-inc,>50K,0
401,20,White,Male,Private,<=50K,1
402,28,White,Female,Private,<=50K,1
403,50,White,Male,State-gov,>50K,0
404,34,White,Female,Private,<=50K,0
405,28,Other,Male,Private,<=50K,1
406,41,White,Male,Private,>50K,1
407,28,White,Male,Private,<=50K,0
408,46,White,Male,Self-emp-not-inc,<=50K,0
409,28,White,Female,?,>50K,1
410,32,White,Male,Private,<=50K,0
411,41,Black,Female,Local-gov,<=50K,0
412,24,Black,Female,Private,<=50K,1
413,33,White,Female,Private,<=50K,1
414,46,White,Male,Private,>50K,0
415,31,White,Male,State-gov,<=50K,0
416,35,White,Male,Private,>50K,1
417,52,White,Male,Private,<=50K,1
418,30,White,Female,Private,<=50K,0
419,34,Black,Male,Local-gov,<=50K,0
420,34,White,Female,State-gov,<=50K,1
421,20,White,Male,Private,<=50K,0
422,17,White,Male,Private,<=50K,0
423,32,White,Female,State-gov,>50K,1
424,29,White,Male,Private,<=50K,1
425,33,White,Female,Private,<=50K,0
426,25,White,Male,Private,<=50K,0
427,36,White,Male,Federal-gov,<=50K,1
428,23,White,Male,Private,<=50K,1
429,63,White,Male,Self-emp-inc,>50K,0
430,47,White,Male,Local-gov,<=50K,1
431,80,White,Male,?,<=50K,1
432,17,White,Male,?,<=50K,1
433,40,White,Female,Self-emp-not-inc,<=50K,0
434,30,White,Female,Private,>50K,1
435,27,Asian-Pac-Islander,Male,Private,<=50K,1
436,33,White,Male,Private,>50K,0
437,34,Black,Male,Local-gov,<=50K,0
438,34,White,Female,Local-gov,<=50K,1
439,23,White,Male,Private,<=50K,1
440,42,White,Female,Local-gov,<=50K,1
441,29,White,Male,Private,<=50K,0
442,45,White,Female,Private,<=50K,1
443,24,White,Male,Federal-gov,<=50K,1
444,44,White,Male,Private,>50K,0
445,27,White,Male,Private,<=50K,1
446,20,White,Male,Private,<=50K,1
447,44,Black,Female,Private,<=50K,0
448,51,Amer-Indian-Eskimo,Male,Private,<=50K,0
449,20,White,Male,Private,<=50K,1
450,17,White,Female,?,<=50K,0
451,19,Black,Female,Private,<=50K,1
452,45,White,Male,Self-emp-inc,>50K,1
453,60,White,Male,Private,>50K,1
454,42,Black,Male,Private,>50K,0
455,44,White,Female,Self-emp-not-inc,>50K,0
456,40,Asian-Pac-Islander,Male,Private,>50K,1
457,30,White,Female,Private,<=50K,1
458,38,Black,Male,Private,<=50K,0
459,23,White,Male,Private,<=50K,0
460,32,White,Male,?,<=50K,0
461,44,White,Male,Private,<=50K,0
462,54,Black,Male,Local-gov,<=50K,1
463,32,White,Male,Private,<=50K,1
464,50,White,Male,Private,<=50K,1
465,24,White,Female,Private,<=50K,1
466,37,White,Female,Private,<=50K,0
467,52,White,Male,Private,<=50K,1
468,38,White,Male,Private,<=50K,1
469,49,White,Male,Private,>50K,0
470,30,White,Female,Private,>50K,0
471,60,White,Male,Private,>50K,1
472,22,White,Male,?,<=50K,1
473,35,White,Male,Private,<=50K,0
474,30,White,Male,Private,<=50K,1
475,67,White,Female,Private,<=50K,0
476,46,White,Female,Private,<=50K,0
477,17,White,Male,Private,<=50K,1
478,22,White,Male,Private,<=50K,1
479,27,White,Male,Private,<=50K,0
480,23,White,Female,Private,<=50K,0
481,33,White,Male,Private,<=50K,0
482,43,White,Male,Self-emp-not-inc,<=50K,1
483,28,White,Male,State-gov,<=50K,1
484,41,White,Female,Private,<=50K,0
485,52,Black,Male,?,<=50K,1
486,25,Black,Female,Private,<=50K,0
487,63,White,Male,?,<=50K,0
488,59,White,Male,Local-gov,<=50K,1
489,45,White,Female,Local-gov,<=50K,1
490,38,White,Male,Private,>50K,1
491,40,White,Female,Private,<=50K,0
492,46,White,Male,Federal-gov,<=50K,0
493,35,White,Female,Private,<=50K,1
494,34,White,Female,Private,<=50K,1
495,33,White,Male,Private,<=50K,0
496,41,White,Female,Private,<=50K,1
497,20,White,Male,Private,<=50K,0
498,23,White,Male,Private,<=50K,0
499,26,White,Female,Private,<=50K,1
500,72,White,Male,?,<=50K,0
501,23,White,Male,Local-gov,<=50K,0
502,62,White,Male,Local-gov,<=50K,1
503,52,White,Male,Private,<=50K,1
504,58,White,Female,Private,<=50K,0
505,25,White,Female,Private,<=50K,0
506,24,Black,Male,Private,<=50K,1
507,19,White,Male,Private,<=50K,0
508,43,White,Male,Private,<=50K,0
509,47,Black,Female,Local-gov,<=50K,0
510,39,White,Female,Private,<=50K,1
511,49,White,Male,Private,<=50K,0
512,53,Black,Female,?,<=50K,0
513,32,White,Male,Private,<=50K,1
514,34,White,Male,Private,>50K,1
515,28,White,Male,Private,<=50K,0
516,57,White,Female,?,<=50K,0
517,25,Amer-Indian-Eskimo,Female,Private,<=50K,1
518,20,White,Male,?,<=50K,1
519,21,White,Female,?,<=50K,0
520,34,White,Male,Private,>50K,1
521,38,White,Male,Self-emp-inc,>50K,1
522,50,White,Male,Private,>50K,0
523,24,Black,Male,Local-gov,<=50K,0
524,37,White,Male,Local-gov,>50K,1
525,44,White,Male,Private,>50K,1
526,28,White,Female,Private,<=50K,0
527,42,White,Male,Private,>50K,0
528,74,White,Female,Private,<=50K,1
529,38,White,Male,Self-emp-not-inc,<=50K,1
530,44,White,Male,Self-emp-not-inc,<=50K,0
531,44,Other,Female,Private,<=50K,1
532,26,White,Male,Private,<=50K,1
533,36,Black,Male,Private,<=50K,0
534,41,White,Female,Private,>50K,0
535,67,White,Male,Private,>50K,1
536,39,White,Male,Local-gov,<=50K,1
537,57,Black,Female,Private,<=50K,0
538,29,White,Male,Private,<=50K,0
539,31,White,Female,Self-emp-inc,<=50K,1
540,34,Black,Female,?,<=50K,0
541,44,White,Male,Private,<=50K,0
542,29,White,Male,Private,<=50K,1
543,30,White,Female,Private,<=50K,1
544,27,White,Male,Private,<=50K,0
545,27,White,Male,Private,<=50K,0
546,32,White,Female,Private,<=50K,1
547,58,White,Female,Private,<=50K,1
548,35,White,Male,Local-gov,<=50K,0
549,21,White,Male,Private,<=50K,0
550,28,White,Male,Private,<=50K,0
551,46,White,Male,Self-emp-not-inc,<=50K,1
552,36,White,Female,Self-emp-not-inc,<=50K,0
553,72,White,Female,Private,<=50K,0
554,35,Black,Female,Private,<=50K,1
555,33,Black,Female,Federal-gov,>50K,1
556,69,White,Female,Private,<=50K,0
557,35,White,Male,Private,<=50K,1
558,31,White,Female,Private,<=50K,1
559,34,White,Female,Private,<=50K,0
560,30,White,Male,Private,<=50K,1
561,28,White,Male,Private,<=50K,0
562,54,White,Male,Private,>50K,1
563,47,White,Male,Private,>50K,0
564,24,Black,Female,Private,<=50K,1
565,52,White,Male,Self-emp-not-inc,>50K,1
566,20,Amer-Indian-Eskimo,Male,Private,<=50K,1
567,43,White,Male,Self-emp-inc,<=50K,0
568,45,White,Female,Private,<=50K,1
569,29,White,Male,Self-emp-not-inc,<=50K,1
570,47,White,Male,Private,<=50K,1
571,24,White,Male,Private,<=50K,1
572,51,White,Male,Private,<=50K,0
573,17,White,Male,Private,<=50K,1
574,37,White,Male,Private,>50K,0
575,27,White,Female,Private,<=50K,1
576,29,White,Male,Private,>50K,1
577,18,White,Male,?,<=50K,1
578,36,White,Female,Self-emp-not-inc,<=50K,0
579,58,White,Female,Local-gov,<=50K,1
580,26,White,Male,Self-emp-not-inc,<=50K,0
581,65,White,Male,?,>50K,1
582,57,White,Male,Private,>50K,1
583,59,White,Male,Private,<=50K,0
584,27,White,Male,Private,<=50K,1
585,31,White,Male,Self-emp-not-inc,<=50K,0
586,21,White,Female,Private,<=50K,1
587,29,White,Male,Private,<=50K,1
588,18,White,Male,Private,<=50K,0
589,52,White,Male,Private,>50K,0
590,57,White,Male,Self-emp-inc,<=50K,1
591,42,White,Male,?,<=50K,1
592,55,Asian-Pac-Islander,Female,?,<=50K,0
593,60,White,Male,Private,>50K,0
594,31,White,Male,Private,>50K,1
595,23,White,Female,Private,<=50K,0
596,27,White,Male,Private,<=50K,1
597,23,Amer-Indian-Eskimo,Female,?,<=50K,1
598,42,White,Male,Self-emp-not-inc,>50K,0
599,25,White,Male,Private,<=50K,0
600,49,White,Female,Private,<=50K,1
601,32,White,Male,Private,<=50K,0
602,19,White,Male,Private,<=50K,0
603,60,White,Female,Private,<=50K,1
604,42,White,Male,Local-gov,<=50K,0
605,35,White,Male,Self-emp-not-inc,<=50K,0
606,48,Black,Female,Private,<=50K,0
607,51,White,Male,Private,>50K,1
608,29,Amer-Indian-Eskimo,Male,Private,<=50K,0
609,36,Black,Male,Local-gov,<=50K,0
610,17,White,Female,Private,<=50K,1
611,52,White,Female,Private,<=50K,1
612,24,White,Male,Private,<=50K,0
613,24,White,Male,Private,<=50K,0
614,26,White,Male,Local-gov,<=50K,1
615,27,White,Female,Private,<=50K,1
616,39,White,Male,Private,<=50K,0
617,30,Black,Male,Private,<=50K,0
618,50,White,Male,Self-emp-not-inc,<=50K,1
619,52,White,Male,Self-emp-inc,<=50K,0
620,46,White,Male,Private,>50K,0
621,23,White,Female,Private,<=50K,1
622,45,Black,Female,Private,<=50K,1
623,65,Black,Female,Private,<=50K,0
624,29,White,Male,Private,<=50K,0
625,47,White,Male,Private,<=50K,1
626,30,Black,Male,Private,<=50K,1
627,34,White,Male,Private,>50K,0
628,38,White,Male,Self-emp-not-inc,<=50K,0
629,33,White,Male,Private,>50K,1
630,49,White,Male,Private,>50K,1
631,47,Black,Female,Self-emp-not-inc,<=50K,0
632,49,Black,Female,Local-gov,<=50K,1
633,43,White,Male,Private,>50K,1
634,30,Black,Female,Private,>50K,0
635,58,White,Male,Self-emp-not-inc,<=50K,0
636,19,White,Female,Private,<=50K,1
637,21,White,Male,Private,<=50K,1
638,33,White,Male,Private,>50K,0
639,47,White,Male,Self-emp-inc,<=50K,0
640,52,White,Male,Self-emp-not-inc,>50K,1
641,26,White,Male,Private,<=50K,1
642,60,White,Male,Private,<=50K,0
643,21,White,Male,Private,<=50K,1
644,36,White,Male,Private,>50K,1
645,31,White,Male,Private,<=50K,1
646,50,White,Male,Self-emp-inc,>50K,0
647,31,White,Female,Local-gov,<=50K,1
648,71,White,Male,Private,<=50K,1
649,58,White,Male,?,<=50K,0
650,30,White,Male,State-gov,>50K,0
651,20,White,Male,Private,<=50K,1
652,24,White,Male,Private,<=50K,1
653,35,Asian-Pac-Islander,Male,Private,>50K,0
654,38,White,Female,State-gov,<=50K,1
655,27,White,Female,Private,<=50K,1
656,29,Asian-Pac-Islander,Female,State-gov,<=50K,1
657,70,White,Female,?,<=50K,0
658,34,White,Male,Private,<=50K,1
659,44,White,Male,Private,<=50K,1
660,43,White,Male,Private,>50K,1
661,44,Black,Male,Self-emp-not-inc,>50K,0
662,35,White,Male,Private,<=50K,1
663,27,White,Male,Private,<=50K,1
664,43,White,Male,Local-gov,<=50K,0
665,20,White,Female,Private,<=50K,0
666,42,White,Female,Private,>50K,1
667,27,White,Male,State-gov,<=50K,1
668,42,Black,Male,Private,>50K,0
669,20,Asian-Pac-Islander,Female,?,<=50K,1
670,24,White,Male,Private,<=50K,0
671,48,White,Male,Federal-gov,<=50K,1
672,17,White,Female,?,<=50K,1
673,17,White,Male,Self-emp-not-inc,<=50K,1
674,33,White,Male,Private,>50K,0
675,50,White,Male,Self-emp-inc,>50K,0
676,22,White,Female,Private,<=50K,1
677,17,White,Male,Private,<=50K,1
678,32,White,Male,Private,<=50K,0
679,31,White,Male,Private,<=50K,0
680,58,White,Male,Self-emp-not-inc,<=50K,0
