id,age,race,sex,workclass,income,max_age,min_age,Cluster
876,41,White,Male,Private,>50K,41,41,Cluster 1318
3145,40,White,Male,Private,>50K,40,40,Cluster 1388
2478,32,White,Male,Private,<=50K,32,32,Cluster 1397
3218,59,White,Male,Private,>50K,60,59,Cluster 1421
4681,39,White,Male,Private,>50K,39,39,Cluster 1566
943,38,White,Male,Self-emp-inc,>50K,38,38,Cluster 1604
1368,53,Black,Female,Federal-gov,<=50K,53,53,Cluster 61
3457,22,White,Female,?,<=50K,22,22,Cluster 69
1026,56,White,Male,Private,<=50K,56,56,Cluster 94
4467,51,White,Female,Private,>50K,51,51,Cluster 215
2450,25,White,Female,Private,<=50K,25,25,Cluster 222
3756,28,Black,Male,Local-gov,<=50K,28,28,Cluster 239
339,19,Black,Male,Private,<=50K,19,19,Cluster 314
784,41,White,Male,Self-emp-not-inc,<=50K,41,41,Cluster 428
3702,23,White,Male,Private,<=50K,23,23,Cluster 528
2368,34,White,Female,Self-emp-inc,>50K,34,34,Cluster 538
1549,41,White,Male,Private,>50K,41,41,Cluster 557
4806,51,White,Female,Federal-gov,>50K,51,51,Cluster 585
2831,63,White,Male,Local-gov,<=50K,63,63,Cluster 626
3889,46,White,Male,Self-emp-not-inc,<=50K,46,46,Cluster 696
1161,44,White,Male,Private,<=50K,44,44,Cluster 769
2099,52,White,Male,Private,>50K,52,52,Cluster 843
2121,42,White,Female,Private,<=50K,42,42,Cluster 866
3809,51,White,Male,Local-gov,<=50K,51,51,Cluster 875
2199,50,White,Female,Private,>50K,50,50,Cluster 950
4291,49,White,Male,Self-emp-not-inc,<=50K,49,49,Cluster 1015
4219,24,White,Male,Private,<=50K,24,24,Cluster 1043
4131,24,White,Male,Private,<=50K,24,24,Cluster 1222
2606,31,Other,Male,Private,<=50K,31,31,Cluster 1368
2649,32,White,Female,Private,<=50K,32,32,Cluster 1371
3593,39,White,Female,?,<=50K,39,39,Cluster 1411
4776,36,White,Male,Self-emp-not-inc,<=50K,36,36,Cluster 1531
4488,20,White,Male,Private,<=50K,20,20,Cluster 1541
2522,54,White,Female,?,<=50K,54,54,Cluster 128
4463,28,Other,Male,Private,<=50K,28,28,Cluster 217
2349,62,White,Male,Self-emp-not-inc,>50K,62,62,Cluster 259
1984,36,White,Male,Private,>50K,36,36,Cluster 317
2017,34,White,Male,Private,<=50K,34,34,Cluster 326
1467,35,White,Male,Private,<=50K,35,35,Cluster 367
2040,36,White,Male,Private,>50K,36,36,Cluster 375
2476,23,White,Female,Private,<=50K,23,23,Cluster 434
3552,24,Black,Male,Private,<=50K,24,24,Cluster 440
4455,21,White,Male,Private,<=50K,21,21,Cluster 473
4194,21,White,Male,Private,<=50K,21,21,Cluster 878
4129,23,White,Female,Private,<=50K,23,23,Cluster 980
323,35,White,Male,Private,<=50K,35,35,Cluster 1023
2631,42,White,Male,Federal-gov,<=50K,42,42,Cluster 1268
387,29,White,Male,Private,<=50K,29,29,Cluster 1274
4631,30,White,Male,Private,<=50K,30,30,Cluster 1319
4881,37,White,Male,Private,>50K,37,37,Cluster 1500
3072,35,White,Male,Private,>50K,35,35,Cluster 1666
4721,79,White,Female,Self-emp-not-inc,<=50K,79,79,Cluster 13
313,19,Black,Female,?,<=50K,19,19,Cluster 74
2731,54,Black,Female,Private,<=50K,54,54,Cluster 114
681,29,White,Male,Local-gov,<=50K,29,29,Cluster 263
1629,45,White,Female,Private,<=50K,45,45,Cluster 274
2438,39,Black,Male,State-gov,<=50K,39,39,Cluster 302
1642,42,White,Male,Private,>50K,42,42,Cluster 357
4616,20,Black,Male,Private,<=50K,20,20,Cluster 400
2602,56,Amer-Indian-Eskimo,Male,Federal-gov,<=50K,56,56,Cluster 601
4668,17,White,Male,Private,<=50K,17,17,Cluster 641
1157,46,White,Male,Private,>50K,46,46,Cluster 691
2103,30,White,Female,Private,<=50K,30,30,Cluster 724
3309,43,Black,Male,Private,<=50K,43,43,Cluster 809
4596,42,Black,Male,Private,>50K,42,42,Cluster 852
2571,54,White,Male,?,>50K,54,54,Cluster 1017
4424,35,Black,Male,Private,<=50K,35,35,Cluster 1023
3802,30,White,Male,Private,<=50K,30,30,Cluster 1323
21,40,White,Male,Private,>50K,40,40,Cluster 1383
2326,39,White,Male,Private,>50K,39,39,Cluster 1411
833,26,White,Male,Private,<=50K,26,26,Cluster 1559
4912,23,White,Female,Private,<=50K,23,23,Cluster 179
835,72,White,Female,?,<=50K,72,70,Cluster 448
2847,48,White,Male,Private,<=50K,48,48,Cluster 468
798,25,Black,Male,Private,<=50K,25,25,Cluster 597
2445,19,White,Male,Private,<=50K,19,19,Cluster 746
2235,33,White,Male,Private,<=50K,33,33,Cluster 981
754,23,White,Male,Private,<=50K,23,23,Cluster 1004
1343,47,White,Male,Private,<=50K,47,47,Cluster 1103
4552,25,White,Male,State-gov,<=50K,25,25,Cluster 1111
33,45,White,Male,Private,<=50K,45,45,Cluster 1312
3790,33,White,Male,Private,>50K,33,33,Cluster 1427
212,37,White,Male,Private,>50K,37,37,Cluster 1502
4088,36,White,Male,Private,>50K,36,36,Cluster 1530
1791,30,White,Male,Federal-gov,<=50K,30,30,Cluster 1563
1943,24,Black,Female,Local-gov,<=50K,24,24,Cluster 38
2344,21,Black,Female,Private,<=50K,21,21,Cluster 103
2595,67,White,Male,?,<=50K,67,67,Cluster 107
3679,40,White,Male,Private,<=50K,40,40,Cluster 395
3700,58,White,Male,Private,<=50K,58,58,Cluster 506
2171,38,White,Male,Private,<=50K,38,38,Cluster 537
760,37,Black,Male,Private,<=50K,37,37,Cluster 578
1541,26,White,Female,State-gov,<=50K,26,26,Cluster 579
1081,43,White,Female,Private,<=50K,43,43,Cluster 603
547,58,White,Female,Private,<=50K,58,58,Cluster 671
4365,29,White,Female,Private,<=50K,29,29,Cluster 725
1116,60,White,Male,Self-emp-inc,>50K,60,60,Cluster 764
2792,55,White,Female,Private,<=50K,55,55,Cluster 773
4072,41,White,Female,Local-gov,<=50K,41,41,Cluster 834
4500,21,White,Male,?,<=50K,21,21,Cluster 908
4511,46,White,Female,Private,<=50K,46,46,Cluster 1137
4252,43,White,Female,Private,<=50K,43,43,Cluster 1235
4926,28,White,Male,?,<=50K,28,28,Cluster 1243
4371,29,White,Male,Private,<=50K,29,29,Cluster 1264
3728,30,White,Female,Private,>50K,30,30,Cluster 1308
137,43,White,Male,Self-emp-not-inc,<=50K,43,43,Cluster 1338
4443,38,White,Female,Private,<=50K,38,38,Cluster 1456
3498,35,White,Male,Self-emp-not-inc,>50K,35,35,Cluster 1495
3420,39,White,Male,Private,<=50K,39,39,Cluster 1567
965,28,White,Male,Private,<=50K,28,28,Cluster 1581
1866,60,Black,Female,?,<=50K,60,60,Cluster 70
2773,20,White,Male,Private,<=50K,20,20,Cluster 81
4317,65,White,Female,Self-emp-not-inc,<=50K,65,65,Cluster 116
512,53,Black,Female,?,<=50K,53,53,Cluster 133
4489,25,White,Female,Private,<=50K,25,25,Cluster 137
1641,52,Black,Female,Private,<=50K,52,52,Cluster 150
4836,28,Black,Female,?,<=50K,28,28,Cluster 251
2127,20,Asian-Pac-Islander,Female,?,<=50K,20,20,Cluster 418
542,29,White,Male,Private,<=50K,29,29,Cluster 458
3612,45,White,Female,Self-emp-inc,<=50K,45,45,Cluster 510
1391,27,White,Female,Private,<=50K,27,27,Cluster 602
4343,18,White,Female,Private,<=50K,19,18,Cluster 718
453,60,White,Male,Private,>50K,60,60,Cluster 761
3793,53,White,Male,Federal-gov,<=50K,53,53,Cluster 803
4708,27,White,Male,Self-emp-not-inc,<=50K,27,27,Cluster 1173
2936,50,White,Male,Local-gov,<=50K,50,50,Cluster 1184
1454,49,White,Male,Self-emp-inc,>50K,49,49,Cluster 1212
4655,33,White,Male,Private,>50K,33,33,Cluster 1413
4294,33,White,Male,Private,<=50K,33,33,Cluster 1544
1280,42,White,Male,Private,<=50K,42,42,Cluster 1576
1543,39,White,Male,Local-gov,<=50K,39,39,Cluster 1629
2964,37,White,Male,Self-emp-not-inc,<=50K,37,37,Cluster 1633
2703,56,White,Male,Federal-gov,<=50K,56,56,Cluster 91
667,27,White,Male,State-gov,<=50K,27,27,Cluster 172
860,49,White,Female,Private,>50K,49,49,Cluster 213
2564,54,White,Female,Federal-gov,<=50K,54,54,Cluster 226
1630,36,Black,Female,?,<=50K,36,36,Cluster 370
1414,53,White,Male,Private,>50K,53,53,Cluster 407
4182,63,White,Female,Private,<=50K,63,63,Cluster 438
2185,63,White,Male,Self-emp-inc,>50K,63,63,Cluster 438
1964,49,White,Male,Private,>50K,49,49,Cluster 461
2850,21,White,Female,Private,<=50K,21,21,Cluster 471
3315,47,Black,Male,Private,<=50K,47,47,Cluster 598
2533,18,White,Male,Local-gov,<=50K,18,18,Cluster 685
1840,45,Asian-Pac-Islander,Male,Private,<=50K,45,45,Cluster 749
654,38,White,Female,State-gov,<=50K,38,38,Cluster 899
745,17,White,Male,Private,<=50K,17,17,Cluster 953
1048,23,White,Male,Private,<=50K,23,23,Cluster 1008
3152,24,White,Male,State-gov,<=50K,24,24,Cluster 1038
2901,47,White,Male,Private,>50K,47,47,Cluster 1104
4005,44,White,Female,Private,>50K,44,44,Cluster 1214
1440,47,White,Male,Private,>50K,47,47,Cluster 1259
1942,56,White,Male,Private,<=50K,56,56,Cluster 1285
354,46,White,Male,Local-gov,<=50K,46,46,Cluster 1296
679,31,White,Male,Private,<=50K,31,31,Cluster 1346
2679,31,White,Female,Private,<=50K,31,31,Cluster 1370
4947,24,White,Male,Private,<=50K,24,24,Cluster 38
983,23,Black,Female,?,<=50K,23,23,Cluster 180
1702,18,White,Female,Private,<=50K,18,18,Cluster 268
2359,67,White,Male,?,<=50K,67,67,Cluster 415
1339,71,White,Female,Private,<=50K,72,70,Cluster 448
2290,42,White,Male,Self-emp-not-inc,<=50K,42,42,Cluster 550
952,43,White,Male,Private,>50K,43,43,Cluster 604
4397,17,White,Female,Private,<=50K,17,17,Cluster 649
2202,28,White,Male,Federal-gov,<=50K,28,28,Cluster 674
2100,61,White,Male,Self-emp-not-inc,<=50K,61,61,Cluster 697
4275,30,White,Female,Local-gov,<=50K,30,30,Cluster 724
3034,40,White,Male,?,<=50K,40,40,Cluster 880
2801,47,White,Male,Private,>50K,47,47,Cluster 1100
744,26,White,Male,Private,<=50K,26,26,Cluster 1160
3364,36,White,Male,Private,<=50K,36,36,Cluster 1540
3379,38,White,Male,Self-emp-not-inc,<=50K,38,38,Cluster 1591
2470,39,Black,Female,Self-emp-not-inc,>50K,39,39,Cluster 51
1293,39,White,Male,Private,<=50K,39,39,Cluster 55
1695,44,White,Male,Private,<=50K,44,44,Cluster 106
2638,33,White,Female,Private,>50K,33,33,Cluster 184
2870,28,Black,Male,Private,<=50K,28,28,Cluster 189
2611,18,Amer-Indian-Eskimo,Female,Private,<=50K,18,18,Cluster 196
3497,18,Black,Male,Private,<=50K,18,18,Cluster 207
140,49,Asian-Pac-Islander,Male,Private,>50K,49,49,Cluster 231
4430,64,White,Male,Private,<=50K,64,64,Cluster 328
4685,20,White,Female,Private,<=50K,20,20,Cluster 418
3938,39,White,Female,Private,<=50K,39,39,Cluster 504
2791,64,White,Female,Private,<=50K,64,64,Cluster 554
3662,57,White,Female,Private,<=50K,57,57,Cluster 588
1337,39,White,Male,Private,<=50K,39,39,Cluster 679
2252,45,White,Female,State-gov,<=50K,45,45,Cluster 723
353,33,White,Male,Private,>50K,33,33,Cluster 753
703,21,White,Male,Private,<=50K,21,21,Cluster 796
4608,20,White,Female,?,<=50K,20,20,Cluster 838
4648,33,Black,Male,Private,<=50K,33,33,Cluster 984
4610,37,White,Female,Local-gov,<=50K,37,37,Cluster 1021
1585,48,White,Male,Self-emp-not-inc,<=50K,48,48,Cluster 1056
4634,47,White,Female,Private,<=50K,47,47,Cluster 1099
1151,25,White,Male,Private,<=50K,25,25,Cluster 1120
2097,26,Asian-Pac-Islander,Male,Private,<=50K,26,26,Cluster 1149
2711,50,White,Male,Private,>50K,50,50,Cluster 1202
1252,48,White,Male,Self-emp-not-inc,<=50K,48,48,Cluster 1228
2780,40,White,Male,Private,<=50K,40,40,Cluster 1344
767,31,White,Male,State-gov,<=50K,31,31,Cluster 1367
3206,31,White,Male,Private,<=50K,31,31,Cluster 1420
1289,37,White,Male,Private,<=50K,37,37,Cluster 1506
3058,69,White,Male,Local-gov,<=50K,69,69,Cluster 75
3221,47,White,Male,Self-emp-inc,>50K,47,47,Cluster 236
4084,59,White,Female,Self-emp-not-inc,<=50K,59,59,Cluster 307
1428,39,Black,Female,Private,<=50K,39,39,Cluster 409
4730,69,White,Female,?,<=50K,69,69,Cluster 494
506,24,Black,Male,Private,<=50K,24,24,Cluster 577
2360,20,White,Male,?,<=50K,20,20,Cluster 833
3255,49,White,Male,Self-emp-not-inc,>50K,49,49,Cluster 971
4781,49,White,Male,Private,>50K,49,49,Cluster 1012
3007,37,White,Female,Private,<=50K,37,37,Cluster 1021
780,54,White,Male,Private,<=50K,54,54,Cluster 1028
3,38,White,Male,Private,<=50K,38,38,Cluster 1049
1420,47,White,Female,Private,<=50K,47,47,Cluster 1107
711,28,White,Male,Private,<=50K,28,28,Cluster 1215
2560,43,White,Female,Private,<=50K,43,43,Cluster 1252
434,30,White,Female,Private,>50K,30,30,Cluster 1302
2173,41,White,Male,Private,<=50K,41,41,Cluster 1317
4133,40,White,Male,Self-emp-inc,<=50K,40,40,Cluster 1356
2200,44,White,Male,Private,<=50K,44,44,Cluster 1358
885,33,White,Female,Private,<=50K,33,33,Cluster 1413
3908,28,White,Male,Private,<=50K,28,28,Cluster 1581
1812,35,White,Male,Private,>50K,35,35,Cluster 1610
1284,21,Black,Male,Private,<=50K,21,21,Cluster 473
94,30,Asian-Pac-Islander,Female,Private,<=50K,30,30,Cluster 493
4672,46,White,Male,Private,<=50K,46,46,Cluster 706
2052,53,White,Male,Private,>50K,53,53,Cluster 803
3484,41,White,Male,Private,<=50K,41,41,Cluster 834
2972,36,White,Male,Private,>50K,36,36,Cluster 1031
3419,46,White,Male,State-gov,>50K,46,46,Cluster 1117
4719,46,Other,Female,Private,<=50K,46,46,Cluster 1135
904,27,Amer-Indian-Eskimo,Male,?,<=50K,27,27,Cluster 1172
114,28,White,Female,Private,<=50K,28,28,Cluster 1217
1046,28,White,Male,Private,<=50K,28,28,Cluster 1231
1621,48,White,Male,Self-emp-not-inc,>50K,48,48,Cluster 1232
4791,40,White,Male,Self-emp-not-inc,<=50K,40,40,Cluster 1361
358,40,White,Male,Private,>50K,40,40,Cluster 1384
2446,31,Amer-Indian-Eskimo,Male,Private,<=50K,31,31,Cluster 1425
482,43,White,Male,Self-emp-not-inc,<=50K,43,43,Cluster 1443
3807,32,White,Male,Federal-gov,>50K,32,32,Cluster 1590
1693,19,White,Male,Private,<=50K,19,19,Cluster 37
2376,20,Black,Female,Private,<=50K,20,20,Cluster 85
2457,60,White,Male,Self-emp-not-inc,<=50K,60,60,Cluster 235
4056,50,Asian-Pac-Islander,Male,Self-emp-inc,>50K,50,50,Cluster 362
3607,73,White,Male,Private,<=50K,73,73,Cluster 412
4845,25,White,Male,Private,<=50K,25,25,Cluster 453
3011,44,White,Female,Self-emp-inc,<=50K,44,44,Cluster 524
4968,44,White,Female,Self-emp-not-inc,>50K,44,44,Cluster 525
802,24,Black,Male,Private,<=50K,24,24,Cluster 548
3031,60,White,Female,Private,<=50K,60,60,Cluster 625
71,19,White,Male,Private,<=50K,19,19,Cluster 733
4930,44,White,Male,Self-emp-not-inc,<=50K,44,44,Cluster 769
3858,51,White,Female,Private,<=50K,51,51,Cluster 906
4942,33,White,Male,Self-emp-inc,>50K,33,33,Cluster 984
1268,50,White,Male,Self-emp-not-inc,<=50K,50,50,Cluster 1026
3800,28,White,Male,Private,<=50K,28,28,Cluster 1152
570,47,White,Male,Private,<=50K,47,47,Cluster 1237
4389,29,White,Male,Private,<=50K,29,29,Cluster 1247
3729,30,White,Male,Private,<=50K,30,30,Cluster 1331
1785,31,White,Male,Private,<=50K,31,31,Cluster 1369
3945,43,White,Male,Private,<=50K,43,43,Cluster 1441
3767,37,White,Male,Local-gov,<=50K,37,37,Cluster 1510
3730,28,Amer-Indian-Eskimo,Female,Local-gov,<=50K,28,28,Cluster 189
3447,33,White,Male,Private,<=50K,33,33,Cluster 318
485,52,Black,Male,?,<=50K,52,52,Cluster 431
3349,30,White,Male,Private,<=50K,30,30,Cluster 476
2169,32,White,Male,Self-emp-not-inc,<=50K,32,32,Cluster 518
2098,56,White,Female,Local-gov,<=50K,56,56,Cluster 519
532,26,White,Male,Private,<=50K,26,26,Cluster 579
868,17,White,Male,Private,<=50K,17,17,Cluster 624
214,60,Asian-Pac-Islander,Male,Private,<=50K,60,60,Cluster 634
488,59,White,Male,Local-gov,<=50K,59,59,Cluster 644
4628,58,White,Male,?,<=50K,58,58,Cluster 671
1858,18,White,Female,Private,<=50K,18,18,Cluster 703
3222,53,White,Male,Local-gov,<=50K,53,53,Cluster 812
4390,32,White,Male,Self-emp-inc,>50K,32,32,Cluster 869
4496,50,White,Male,State-gov,>50K,50,50,Cluster 950
3852,22,White,Male,?,<=50K,22,22,Cluster 954
399,25,White,Male,Private,>50K,25,25,Cluster 1085
4992,29,White,Male,Private,<=50K,29,29,Cluster 1277
2727,30,White,Male,Federal-gov,>50K,30,30,Cluster 1294
3216,32,White,Male,Private,<=50K,32,32,Cluster 1378
678,32,White,Male,Private,<=50K,32,32,Cluster 1401
2158,33,White,Male,Self-emp-inc,>50K,33,33,Cluster 1440
720,34,White,Male,Private,>50K,34,34,Cluster 1461
3405,41,White,Male,Private,<=50K,41,41,Cluster 1553
1163,33,White,Male,Private,>50K,33,33,Cluster 1622
971,34,White,Male,Private,>50K,35,34,Cluster 1641
2110,66,White,Male,Private,>50K,66,66,Cluster 15
3672,75,White,Male,Self-emp-not-inc,<=50K,75,75,Cluster 17
2760,48,White,Male,Private,>50K,48,48,Cluster 68
2888,19,White,Female,Federal-gov,<=50K,19,19,Cluster 79
3008,49,White,Male,Private,<=50K,49,49,Cluster 188
1634,27,White,Male,Private,<=50K,27,27,Cluster 195
4228,51,Black,Male,Local-gov,<=50K,51,51,Cluster 215
2689,42,White,Male,Private,<=50K,42,42,Cluster 216
103,47,White,Female,Self-emp-not-inc,<=50K,47,47,Cluster 256
4598,55,White,Male,Private,>50K,55,55,Cluster 337
2402,20,Amer-Indian-Eskimo,Male,Private,<=50K,20,20,Cluster 356
113,56,White,Male,Self-emp-not-inc,>50K,56,56,Cluster 521
1439,41,White,Female,Self-emp-not-inc,<=50K,41,41,Cluster 559
2348,18,White,Male,Private,<=50K,18,18,Cluster 685
951,44,White,Female,State-gov,>50K,44,44,Cluster 763
1275,20,White,Female,Private,<=50K,20,20,Cluster 797
4164,22,White,Male,State-gov,<=50K,22,22,Cluster 862
3716,21,Asian-Pac-Islander,Male,Private,<=50K,21,21,Cluster 874
1170,40,White,Male,Private,<=50K,40,40,Cluster 876
2860,40,White,Male,Self-emp-not-inc,>50K,40,40,Cluster 936
4185,22,White,Male,Private,<=50K,22,22,Cluster 948
2547,24,White,Male,Private,>50K,24,24,Cluster 1040
2566,24,White,Male,Private,<=50K,24,24,Cluster 1041
357,65,Other,Male,Private,<=50K,66,65,Cluster 1279
3689,30,White,Male,Private,<=50K,30,30,Cluster 1291
2620,40,White,Male,Self-emp-inc,<=50K,40,40,Cluster 1365
3915,32,White,Male,Private,<=50K,32,32,Cluster 1386
1156,34,White,Male,Private,<=50K,34,34,Cluster 1455
869,39,White,Male,Private,>50K,39,39,Cluster 1620
1230,75,White,Male,Self-emp-not-inc,<=50K,75,75,Cluster 58
1224,55,White,Female,Private,<=50K,55,55,Cluster 111
1205,33,Black,Male,Private,<=50K,33,33,Cluster 120
385,36,White,Female,Local-gov,<=50K,36,36,Cluster 317
567,43,White,Male,Self-emp-inc,<=50K,43,43,Cluster 325
2492,76,White,Male,?,<=50K,76,76,Cluster 351
389,19,White,Female,Private,<=50K,19,19,Cluster 414
578,36,White,Female,Self-emp-not-inc,<=50K,36,36,Cluster 565
297,37,White,Female,Self-emp-inc,<=50K,37,37,Cluster 578
432,17,White,Male,?,<=50K,17,17,Cluster 641
1453,17,White,Male,?,<=50K,17,17,Cluster 648
4251,28,White,Male,Federal-gov,<=50K,28,28,Cluster 677
3462,55,White,Female,Private,<=50K,55,55,Cluster 766
507,19,White,Male,Private,<=50K,19,19,Cluster 774
3053,30,White,Male,Private,>50K,30,30,Cluster 780
3816,20,White,Female,Private,<=50K,20,20,Cluster 797
2730,21,White,Male,Private,<=50K,21,21,Cluster 896
2982,22,White,Male,Private,<=50K,22,22,Cluster 947
4927,29,White,Female,Private,<=50K,29,29,Cluster 1267
4404,31,Asian-Pac-Islander,Male,Private,<=50K,31,31,Cluster 1343
2184,35,White,Male,Self-emp-not-inc,<=50K,35,35,Cluster 1498
361,36,White,Female,Private,<=50K,36,36,Cluster 1526
344,33,White,Male,Private,<=50K,33,33,Cluster 1542
3236,36,White,Male,Self-emp-not-inc,<=50K,36,36,Cluster 1611
1506,32,White,Male,Private,<=50K,32,32,Cluster 1616
1520,17,Black,Male,Local-gov,<=50K,17,17,Cluster 48
2436,44,Black,Female,Local-gov,<=50K,44,44,Cluster 109
1028,45,White,Male,Private,>50K,45,45,Cluster 271
4096,31,White,Male,Private,<=50K,31,31,Cluster 313
1101,68,White,Male,?,<=50K,68,68,Cluster 368
3832,48,White,Male,Private,>50K,48,48,Cluster 469
