id,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AMT_INCOME_TOTAL,Cluster
5696,-16381,-185,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,103500,Cluster 1
5950,-21512,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,148500,Cluster 1
5978,-20013,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,135000,Cluster 1
6048,-16743,-8066,Medicine staff,F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 1
6505,-19923,-3229,Sales staff,F,Working,Secondary / secondary special,Married,Municipal apartment,247500,Cluster 1
6831,-23734,-6067,Managers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,180000,Cluster 1
6911,-13935,-560,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 1
7303,-10565,-811,"",M,Working,Lower secondary,Married,Municipal apartment,225000,Cluster 1
7513,-12483,-4039,Managers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,360000,Cluster 1
7527,-10542,-2607,"",F,Working,Higher education,Married,House / apartment,337500,Cluster 1
7728,-11363,-721,High skill tech staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,180000,Cluster 1
8206,-9270,-1661,Laborers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,116653,Cluster 1
8896,-11977,-2699,Core staff,M,State servant,Secondary / secondary special,Married,House / apartment,247500,Cluster 1
8904,-11977,-2699,Core staff,M,State servant,Secondary / secondary special,Married,House / apartment,247500,Cluster 1
9193,-16034,-1022,Medicine staff,F,Working,Higher education,Civil marriage,House / apartment,90000,Cluster 1
9326,-17718,-4463,"",F,Working,Higher education,Married,House / apartment,292500,Cluster 1
9418,-18989,-171,Laborers,F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,67500,Cluster 1
9632,-9749,-635,Secretaries,F,State servant,Higher education,Married,House / apartment,135000,Cluster 1
9771,-24831,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,103500,Cluster 1
9916,-11568,-1267,Laborers,M,Working,Higher education,Married,House / apartment,225000,Cluster 1
9937,-13666,-2089,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 1
129,-15519,-3234,Laborers,F,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,297000,Cluster 1
165,-22319,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,112500,Cluster 1
648,-13590,-982,"",F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
898,-11813,-3266,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 1
938,-10276,-556,Drivers,M,Commercial associate,Secondary / secondary special,Separated,With parents,360000,Cluster 1
1001,-10710,-2351,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
1120,-16757,-3508,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
1345,-22867,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,216000,Cluster 1
1350,-22867,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,216000,Cluster 1
1404,-13758,-2535,Managers,F,Commercial associate,Higher education,Married,House / apartment,540000,Cluster 1
1718,-22014,-10236,Core staff,M,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
2171,-16896,-248,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 1
2208,-19972,-6610,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,225000,Cluster 1
2610,-17383,-4692,Medicine staff,F,Working,Higher education,Married,House / apartment,162000,Cluster 1
3381,-15202,-674,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
3804,-14438,-235,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,135000,Cluster 1
3853,-15350,-1331,Accountants,F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
3869,-15616,-1057,Cleaning staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,45000,Cluster 1
4650,-14315,-4142,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 1
4659,-20432,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,157500,Cluster 1
4744,-22042,365243,"",F,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,202500,Cluster 1
4810,-11495,-581,Security staff,M,Working,Secondary / secondary special,Single / not married,House / apartment,162000,Cluster 1
4836,-17347,-4234,High skill tech staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,202500,Cluster 1
5277,-23868,365243,"",F,Pensioner,Higher education,Married,House / apartment,225000,Cluster 1
5738,-11229,-3472,Core staff,F,Commercial associate,Higher education,Married,House / apartment,180000,Cluster 1
5831,-18871,-3928,Drivers,M,State servant,Secondary / secondary special,Married,House / apartment,270000,Cluster 1
5877,-14074,-4720,Core staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 1
5986,-20013,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,135000,Cluster 1
7312,-21602,365243,"",F,Pensioner,Lower secondary,Married,House / apartment,220500,Cluster 1
7696,-17438,-142,Sales staff,F,Working,Secondary / secondary special,Widow,House / apartment,225000,Cluster 1
7885,-22950,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
7910,-23180,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,157500,Cluster 1
8077,-17627,-4816,High skill tech staff,M,State servant,Higher education,Married,House / apartment,193500,Cluster 1
8466,-15973,-2026,Drivers,M,Working,Secondary / secondary special,Civil marriage,House / apartment,202500,Cluster 1
8609,-23019,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,135000,Cluster 1
8760,-15476,-2879,Laborers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,315000,Cluster 1
8905,-11977,-2699,Core staff,M,State servant,Secondary / secondary special,Married,House / apartment,247500,Cluster 1
9630,-9749,-635,Secretaries,F,State servant,Higher education,Married,House / apartment,135000,Cluster 1
9734,-17166,-2514,Cleaning staff,F,Working,Secondary / secondary special,Married,House / apartment,51750,Cluster 1
9794,-10869,-567,Core staff,F,State servant,Higher education,Married,House / apartment,337500,Cluster 1
62,-15761,-3173,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 1
136,-13642,-4846,High skill tech staff,F,Commercial associate,Higher education,Married,House / apartment,157500,Cluster 1
221,-18682,365243,"",F,Pensioner,Incomplete higher,Civil marriage,Rented apartment,255150,Cluster 1
368,-20953,-8684,Accountants,F,State servant,Secondary / secondary special,Married,House / apartment,292500,Cluster 1
528,-11042,-3174,Core staff,M,State servant,Higher education,Single / not married,House / apartment,279000,Cluster 1
758,-18650,-10936,"",F,State servant,Secondary / secondary special,Married,House / apartment,135000,Cluster 1
971,-19120,-3661,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 1
1010,-12690,-4451,Cooking staff,F,State servant,Secondary / secondary special,Married,House / apartment,90000,Cluster 1
1248,-17532,-8044,Medicine staff,F,State servant,Secondary / secondary special,Married,House / apartment,90000,Cluster 1
1959,-16558,-3235,Drivers,M,State servant,Secondary / secondary special,Married,With parents,99000,Cluster 1
2212,-13259,-213,Core staff,F,State servant,Incomplete higher,Married,With parents,67500,Cluster 1
5105,-21982,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,630000,Cluster 2
2625,-20359,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,157500,Cluster 2
2707,-22212,365243,"",F,Pensioner,Higher education,Married,House / apartment,67500,Cluster 2
2765,-20102,-1039,Laborers,M,Working,Secondary / secondary special,Single / not married,House / apartment,157500,Cluster 2
3019,-15100,-3500,Cooking staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,157500,Cluster 2
3030,-11664,-1466,Drivers,M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,157500,Cluster 2
3055,-21503,-1674,Core staff,M,Commercial associate,Higher education,Married,House / apartment,256500,Cluster 2
3070,-20693,-8036,Core staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,234000,Cluster 2
3231,-11984,-2043,Core staff,F,Commercial associate,Higher education,Single / not married,House / apartment,247500,Cluster 2
3282,-13263,-5269,Managers,M,Working,Higher education,Married,House / apartment,337500,Cluster 2
3612,-24311,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,76500,Cluster 2
3840,-20433,-2396,Drivers,M,Working,Secondary / secondary special,Separated,House / apartment,112500,Cluster 2
3943,-17004,-1117,Private service staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 2
4511,-16173,-2862,Managers,M,Working,Secondary / secondary special,Civil marriage,House / apartment,225000,Cluster 2
4646,-10980,-2893,Core staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,135000,Cluster 2
4828,-11270,-1889,Managers,F,Commercial associate,Higher education,Married,House / apartment,157500,Cluster 2
5000,-10414,-2742,Laborers,M,Working,Secondary / secondary special,Married,Rented apartment,135000,Cluster 2
5305,-19728,-277,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,72000,Cluster 2
5501,-16420,-703,Accountants,F,State servant,Higher education,Civil marriage,House / apartment,292500,Cluster 2
5637,-15376,-6851,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 2
5843,-11352,-671,Laborers,M,Working,Secondary / secondary special,Married,With parents,81000,Cluster 2
5869,-20483,-792,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,315000,Cluster 2
5948,-21512,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,148500,Cluster 2
5987,-20013,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,135000,Cluster 2
6849,-13151,-3725,Accountants,F,Working,Higher education,Separated,House / apartment,540000,Cluster 2
6899,-15123,-2873,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
7160,-19834,-477,Managers,M,Commercial associate,Incomplete higher,Married,House / apartment,360000,Cluster 2
7225,-11344,-3309,Core staff,M,Working,Secondary / secondary special,Single / not married,With parents,337500,Cluster 2
7265,-17834,-1330,Medicine staff,F,Working,Secondary / secondary special,Civil marriage,House / apartment,90000,Cluster 2
7299,-14574,-964,Medicine staff,F,State servant,Secondary / secondary special,Married,House / apartment,180000,Cluster 2
7739,-19063,-2213,Laborers,F,Working,Secondary / secondary special,Separated,House / apartment,193500,Cluster 2
7921,-23180,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,157500,Cluster 2
7987,-13166,-2991,Managers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
8095,-13049,-6399,Medicine staff,F,State servant,Secondary / secondary special,Married,House / apartment,252000,Cluster 2
8587,-12623,-657,Laborers,M,Working,Secondary / secondary special,Single / not married,House / apartment,90000,Cluster 2
8718,-10756,-2180,Managers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,202500,Cluster 2
9084,-14878,-6685,Managers,M,Working,Higher education,Married,House / apartment,292500,Cluster 2
9240,-16299,-1450,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,81000,Cluster 2
9361,-15934,-7142,Laborers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 2
9396,-20609,365243,"",F,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,180000,Cluster 2
9590,-9905,-3343,Laborers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,180000,Cluster 2
9676,-12847,-383,Private service staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,135000,Cluster 2
9747,-12073,-4554,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
9830,-18930,-3550,Managers,F,Commercial associate,Higher education,Married,House / apartment,396000,Cluster 2
9967,-22802,365243,"",F,Pensioner,Secondary / secondary special,Separated,House / apartment,135000,Cluster 2
419,-10266,-1652,Managers,M,State servant,Higher education,Married,With parents,337500,Cluster 2
449,-22061,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,112500,Cluster 2
472,-20991,-4727,Laborers,M,Working,Higher education,Married,House / apartment,267750,Cluster 2
725,-17367,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
922,-17932,-1470,Sales staff,F,Commercial associate,Secondary / secondary special,Separated,House / apartment,81000,Cluster 2
1263,-20145,-1043,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
1346,-22867,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,216000,Cluster 2
1380,-9800,-2109,Medicine staff,F,Working,Higher education,Separated,House / apartment,157500,Cluster 2
1556,-10145,-1682,Sales staff,F,Working,Higher education,Married,House / apartment,121500,Cluster 2
1807,-22395,365243,"",F,Pensioner,Higher education,Married,House / apartment,112500,Cluster 2
1983,-14184,-5295,Sales staff,M,Commercial associate,Higher education,Separated,House / apartment,697500,Cluster 2
2435,-11038,-2408,"",F,Working,Incomplete higher,Married,House / apartment,270000,Cluster 2
2552,-10406,-2774,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 2
2621,-11938,-2162,Accountants,F,Commercial associate,Secondary / secondary special,Married,House / apartment,157500,Cluster 2
2733,-11720,-1191,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,103500,Cluster 2
2794,-9952,-1613,"",M,Working,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 2
2912,-11719,-2866,"",F,Commercial associate,Higher education,Married,House / apartment,180000,Cluster 2
2913,-11719,-2866,"",F,Commercial associate,Higher education,Married,House / apartment,180000,Cluster 2
3100,-21899,365243,"",F,Pensioner,Higher education,Married,House / apartment,153000,Cluster 2
3135,-10614,-1797,Sales staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
3340,-9862,-2135,Laborers,M,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,157500,Cluster 2
3407,-10800,-3166,Sales staff,F,Commercial associate,Secondary / secondary special,Separated,House / apartment,202500,Cluster 2
3514,-16314,-882,Managers,M,Working,Secondary / secondary special,Separated,House / apartment,315000,Cluster 2
3616,-24311,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,76500,Cluster 2
3627,-23007,-11589,Cleaning staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,180000,Cluster 2
3799,-15790,-1939,Drivers,M,Commercial associate,Secondary / secondary special,Married,House / apartment,180000,Cluster 2
4055,-16023,-965,Drivers,M,Working,Higher education,Married,House / apartment,112500,Cluster 2
4849,-20024,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,216000,Cluster 2
4885,-17254,-246,Sales staff,F,Commercial associate,Higher education,Civil marriage,House / apartment,139500,Cluster 2
4950,-23886,365243,"",F,Pensioner,Higher education,Married,House / apartment,162000,Cluster 2
5579,-15556,-8767,"",F,Commercial associate,Secondary / secondary special,Separated,House / apartment,292500,Cluster 2
5717,-20415,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,247500,Cluster 2
5993,-20013,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,135000,Cluster 2
6067,-11731,-3776,"",F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 2
6095,-12318,-1128,"",M,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 2
6205,-24691,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,85500,Cluster 2
6278,-11722,-3653,Medicine staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,180000,Cluster 2
6527,-10887,-2558,"",F,Commercial associate,Secondary / secondary special,Married,House / apartment,144000,Cluster 2
6772,-23096,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,112500,Cluster 2
7378,-15653,-5500,Core staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,315000,Cluster 2
7465,-20479,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,427500,Cluster 2
7497,-13277,-1603,"",F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 2
7532,-10542,-2607,"",F,Working,Higher education,Married,House / apartment,337500,Cluster 2
7802,-13398,-3003,Core staff,M,Commercial associate,Higher education,Married,House / apartment,675000,Cluster 2
7896,-14834,-3813,Sales staff,M,Working,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
8040,-13346,-585,Laborers,F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,135000,Cluster 2
8406,-12281,-1508,"",F,Working,Higher education,Married,House / apartment,67500,Cluster 2
8730,-13024,-2118,Drivers,M,State servant,Higher education,Married,House / apartment,225000,Cluster 2
8749,-15236,-202,Medicine staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,225000,Cluster 2
8821,-10749,-2394,Laborers,F,Working,Higher education,Single / not married,House / apartment,135000,Cluster 2
9039,-14394,-5316,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,441000,Cluster 2
9329,-13868,-994,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,90000,Cluster 2
9653,-20862,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,135000,Cluster 2
9762,-16274,-7172,"",F,State servant,Higher education,Married,House / apartment,517500,Cluster 2
323,-19575,-2901,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 2
5108,-21982,365243,"",F,Pensioner,Secondary / secondary special,Single / not married,House / apartment,630000,Cluster 3
375,-14667,-798,Managers,F,Working,Secondary / secondary special,Married,House / apartment,225000,Cluster 3
425,-14781,-2443,Laborers,M,Commercial associate,Secondary / secondary special,Married,Municipal apartment,180000,Cluster 3
736,-19305,-3296,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,238500,Cluster 3
919,-13120,-5578,Medicine staff,F,State servant,Secondary / secondary special,Civil marriage,House / apartment,135000,Cluster 3
1100,-18474,-3021,Cleaning staff,F,Working,Secondary / secondary special,Married,House / apartment,90000,Cluster 3
1153,-21269,365243,"",F,Pensioner,Higher education,Widow,House / apartment,202500,Cluster 3
1215,-16797,-6583,Laborers,M,Working,Secondary / secondary special,Single / not married,House / apartment,247500,Cluster 3
1455,-22960,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,202500,Cluster 3
1471,-18756,-3904,Core staff,F,Student,Higher education,Married,House / apartment,171000,Cluster 3
1552,-15774,-2901,High skill tech staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,135000,Cluster 3
1558,-10145,-1682,Sales staff,F,Working,Higher education,Married,House / apartment,121500,Cluster 3
1827,-18173,-678,Core staff,M,Commercial associate,Secondary / secondary special,Married,House / apartment,450000,Cluster 3
2031,-19156,-4504,"",F,Working,Higher education,Married,House / apartment,292500,Cluster 3
2124,-18456,-6791,Managers,F,Working,Secondary / secondary special,Married,House / apartment,157500,Cluster 3
2225,-22100,-578,Managers,F,Working,Higher education,Married,House / apartment,247500,Cluster 3
2351,-19271,-4839,Core staff,F,Working,Higher education,Married,House / apartment,202500,Cluster 3
2563,-16978,-821,"",F,Commercial associate,Secondary / secondary special,Married,With parents,112500,Cluster 3
3120,-19187,-1218,Cooking staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 3
3411,-10800,-3166,Sales staff,F,Commercial associate,Secondary / secondary special,Separated,House / apartment,202500,Cluster 3
3802,-14438,-235,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,135000,Cluster 3
4649,-14315,-4142,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 3
4664,-18865,365243,"",F,Pensioner,Secondary / secondary special,Separated,House / apartment,157500,Cluster 3
5308,-12384,-2223,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,90000,Cluster 3
5701,-13219,-5542,Core staff,F,Working,Secondary / secondary special,Separated,House / apartment,173250,Cluster 3
6184,-15733,-6486,Core staff,F,Commercial associate,Higher education,Separated,House / apartment,675000,Cluster 3
6229,-22034,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,90000,Cluster 3
6382,-18147,-642,Sales staff,F,Commercial associate,Secondary / secondary special,Separated,House / apartment,387000,Cluster 3
6782,-13307,-1227,Laborers,M,Working,Higher education,Married,Co-op apartment,315000,Cluster 3
7209,-18230,-173,Medicine staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,135000,Cluster 3
7247,-14667,-1422,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,247500,Cluster 3
7250,-14667,-1422,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,247500,Cluster 3
7490,-19955,-6200,"",F,State servant,Higher education,Widow,House / apartment,247500,Cluster 3
8101,-13241,-2200,Sales staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,112500,Cluster 3
8381,-20371,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,67500,Cluster 3
8501,-15923,-961,Waiters/barmen staff,F,Working,Secondary / secondary special,Married,House / apartment,135000,Cluster 3
8598,-9778,-2910,Core staff,F,Commercial associate,Higher education,Married,House / apartment,135000,Cluster 3
8620,-21576,-1022,Drivers,M,Commercial associate,Higher education,Married,House / apartment,315000,Cluster 3
8917,-9187,-1268,Laborers,F,Working,Secondary / secondary special,Married,With parents,90000,Cluster 3
8967,-10650,-3702,Core staff,F,Working,Higher education,Married,With parents,112500,Cluster 3
9004,-13408,-444,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,351000,Cluster 3
9200,-16034,-1022,Medicine staff,F,Working,Higher education,Civil marriage,House / apartment,90000,Cluster 3
9242,-16299,-1450,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,81000,Cluster 3
9307,-15096,-994,Laborers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,99000,Cluster 3
9883,-10977,-202,Core staff,F,State servant,Higher education,Married,House / apartment,225000,Cluster 3
34,-11842,-2016,Managers,M,Commercial associate,Higher education,Married,House / apartment,405000,Cluster 3
292,-15737,-432,"",F,Commercial associate,Higher education,Separated,With parents,157500,Cluster 3
327,-19575,-2901,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 3
526,-11042,-3174,Core staff,M,State servant,Higher education,Single / not married,House / apartment,279000,Cluster 3
543,-13923,-2290,Drivers,M,Working,Incomplete higher,Married,House / apartment,234000,Cluster 3
741,-10049,-283,Drivers,M,Working,Incomplete higher,Married,House / apartment,144000,Cluster 3
916,-10435,-1713,Core staff,M,Working,Higher education,Married,With parents,166500,Cluster 3
1097,-18474,-3021,Cleaning staff,F,Working,Secondary / secondary special,Married,House / apartment,90000,Cluster 3
1727,-21350,365243,"",F,Pensioner,Incomplete higher,Married,House / apartment,67500,Cluster 3
1996,-17067,-243,Drivers,M,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 3
2240,-11007,-762,"",F,Working,Higher education,Married,House / apartment,121500,Cluster 3
2421,-21269,365243,"",F,Pensioner,Higher education,Married,House / apartment,360000,Cluster 3
2607,-11454,-1678,Cooking staff,F,Working,Secondary / secondary special,Married,House / apartment,67500,Cluster 3
2662,-13095,-217,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 3
2775,-9952,-1613,"",M,Working,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 3
2786,-9952,-1613,"",M,Working,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 3
2792,-9952,-1613,"",M,Working,Secondary / secondary special,Single / not married,House / apartment,112500,Cluster 3
3084,-11172,-3504,Laborers,M,Working,Incomplete higher,Married,House / apartment,270000,Cluster 3
3312,-20404,-1736,"",F,Working,Secondary / secondary special,Single / not married,Municipal apartment,157500,Cluster 3
3454,-8477,-947,Laborers,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,261000,Cluster 3
3509,-14100,-3623,Private service staff,F,Commercial associate,Higher education,Married,House / apartment,225000,Cluster 3
3572,-14096,-1344,Accountants,F,Commercial associate,Incomplete higher,Separated,House / apartment,202500,Cluster 3
3652,-8179,-1117,"",M,Working,Secondary / secondary special,Civil marriage,With parents,112500,Cluster 3
3659,-20950,365243,"",F,Pensioner,Secondary / secondary special,Widow,House / apartment,90000,Cluster 3
3670,-21177,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,247500,Cluster 3
3822,-11202,-1270,Core staff,F,Commercial associate,Higher education,Single / not married,House / apartment,225000,Cluster 3
4026,-15931,-4404,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,119250,Cluster 3
4039,-11472,-1026,Core staff,F,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 3
4150,-13803,-3249,Sales staff,F,Commercial associate,Incomplete higher,Married,House / apartment,180000,Cluster 3
4217,-17733,-5622,Laborers,F,Working,Secondary / secondary special,Married,House / apartment,180000,Cluster 3
