id,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,NAME_INCOME_TYPE,prediction
274,-13679,-4391,Accountants,Commercial associate,1.0
275,-13271,-555,Managers,Working,1.0
276,-13271,-555,Managers,Working,1.0
277,-12859,-4056,Drivers,Working,0.0
278,-12859,-4056,Drivers,Working,0.0
279,-12859,-4056,Drivers,Working,0.0
280,-12859,-4056,Drivers,Working,0.0
281,-12859,-4056,Drivers,Working,0.0
282,-15321,-2747,Security staff,Commercial associate,1.0
283,-15321,-2747,Security staff,Commercial associate,1.0
284,-8842,-312,High skill tech staff,Commercial associate,1.0
285,-15737,-432,"",Commercial associate,1.0
286,-15737,-432,"",Commercial associate,1.0
287,-15737,-432,"",Commercial associate,1.0
288,-15737,-432,"",Commercial associate,1.0
289,-15737,-432,"",Commercial associate,1.0
290,-15737,-432,"",Commercial associate,1.0
291,-15737,-432,"",Commercial associate,1.0
292,-15737,-432,"",Commercial associate,1.0
293,-15737,-432,"",Commercial associate,1.0
294,-15737,-432,"",Commercial associate,1.0
295,-15737,-432,"",Commercial associate,1.0
296,-15737,-432,"",Commercial associate,1.0
297,-15737,-432,"",Commercial associate,1.0
298,-15737,-432,"",Commercial associate,1.0
299,-15737,-432,"",Commercial associate,1.0
300,-21673,365243,"",Pensioner,0.0
301,-21673,365243,"",Pensioner,0.0
302,-21673,365243,"",Pensioner,0.0
303,-21673,365243,"",Pensioner,0.0
304,-21673,365243,"",Pensioner,0.0
305,-21673,365243,"",Pensioner,0.0
306,-21673,365243,"",Pensioner,0.0
307,-21673,365243,"",Pensioner,0.0
308,-9657,-1560,Managers,Working,0.0
309,-9657,-1560,Managers,Working,0.0
310,-18289,365243,"",Pensioner,0.0
311,-18289,365243,"",Pensioner,0.0
312,-15825,-3720,Managers,Working,1.0
313,-15825,-3720,Managers,Working,1.0
314,-15825,-3720,Managers,Working,1.0
315,-15825,-3720,Managers,Working,1.0
316,-15825,-3720,Managers,Working,1.0
317,-15825,-3720,Managers,Working,1.0
318,-15825,-3720,Managers,Working,1.0
319,-19575,-2901,Sales staff,Working,1.0
320,-19575,-2901,Sales staff,Working,1.0
321,-19575,-2901,Sales staff,Working,1.0
322,-19575,-2901,Sales staff,Working,1.0
323,-19575,-2901,Sales staff,Working,1.0
324,-19575,-2901,Sales staff,Working,1.0
325,-19575,-2901,Sales staff,Working,1.0
326,-19575,-2901,Sales staff,Working,1.0
327,-19575,-2901,Sales staff,Working,1.0
328,-19575,-2901,Sales staff,Working,1.0
329,-19575,-2901,Sales staff,Working,1.0
330,-19575,-2901,Sales staff,Working,1.0
331,-12915,-3174,Sales staff,Working,0.0
332,-12915,-3174,Sales staff,Working,0.0
333,-12915,-3174,Sales staff,Working,0.0
334,-12915,-3174,Sales staff,Working,0.0
335,-12915,-3174,Sales staff,Working,0.0
336,-12915,-3174,Sales staff,Working,0.0
337,-22877,365243,"",Pensioner,0.0
338,-18325,-1256,Laborers,Working,1.0
339,-18325,-1256,Laborers,Working,1.0
340,-18325,-1256,Laborers,Working,1.0
341,-18325,-1256,Laborers,Working,1.0
342,-18325,-1256,Laborers,Working,1.0
343,-18325,-1256,Laborers,Working,1.0
344,-18325,-1256,Laborers,Working,1.0
345,-18325,-1256,Laborers,Working,1.0
346,-17573,-5792,Managers,Working,1.0
347,-17573,-5792,Managers,Working,1.0
348,-17573,-5792,Managers,Working,1.0
349,-17573,-5792,Managers,Working,1.0
350,-17573,-5792,Managers,Working,1.0
351,-17573,-5792,Managers,Working,1.0
352,-17573,-5792,Managers,Working,1.0
353,-17573,-5792,Managers,Working,1.0
354,-20953,-8684,Accountants,State servant,1.0
355,-20953,-8684,Accountants,State servant,1.0
356,-20953,-8684,Accountants,State servant,1.0
357,-20953,-8684,Accountants,State servant,1.0
358,-20953,-8684,Accountants,State servant,1.0
359,-20953,-8684,Accountants,State servant,1.0
360,-20953,-8684,Accountants,State servant,1.0
361,-20953,-8684,Accountants,State servant,1.0
362,-20953,-8684,Accountants,State servant,1.0
363,-20953,-8684,Accountants,State servant,1.0
364,-20953,-8684,Accountants,State servant,1.0
365,-20953,-8684,Accountants,State servant,1.0
366,-20953,-8684,Accountants,State servant,1.0
367,-20953,-8684,Accountants,State servant,1.0
368,-20953,-8684,Accountants,State servant,1.0
369,-12333,-860,Accountants,Working,0.0
370,-12333,-860,Accountants,Working,0.0
371,-12333,-860,Accountants,Working,0.0
372,-12333,-860,Accountants,Working,0.0
373,-12333,-860,Accountants,Working,0.0
374,-12333,-860,Accountants,Working,0.0
375,-14667,-798,Managers,Working,1.0
376,-14667,-798,Managers,Working,1.0
377,-14667,-798,Managers,Working,1.0
378,-14667,-798,Managers,Working,1.0
379,-14667,-798,Managers,Working,1.0
380,-14667,-798,Managers,Working,1.0
381,-14667,-798,Managers,Working,1.0
382,-14667,-798,Managers,Working,1.0
383,-14667,-798,Managers,Working,1.0
384,-14667,-798,Managers,Working,1.0
385,-14667,-798,Managers,Working,1.0
386,-14667,-798,Managers,Working,1.0
387,-14667,-798,Managers,Working,1.0
388,-14667,-798,Managers,Working,1.0
389,-10611,-982,Drivers,Working,0.0
390,-10611,-982,Drivers,Working,0.0
391,-10611,-982,Drivers,Working,0.0
392,-10611,-982,Drivers,Working,0.0
393,-10611,-982,Drivers,Working,0.0
394,-19082,-5243,Core staff,Working,1.0
395,-19082,-5243,Core staff,Working,1.0
396,-19082,-5243,Core staff,Working,1.0
397,-14201,-2139,"",Commercial associate,1.0
398,-14201,-2139,"",Commercial associate,1.0
399,-14201,-2139,"",Commercial associate,1.0
400,-9957,-921,Drivers,Working,0.0
401,-9957,-921,Drivers,Working,0.0
402,-9957,-921,Drivers,Working,0.0
403,-9957,-921,Drivers,Working,0.0
404,-9957,-921,Drivers,Working,0.0
405,-9957,-921,Drivers,Working,0.0
406,-15970,-8987,Cleaning staff,Working,1.0
407,-15970,-8987,Cleaning staff,Working,1.0
408,-15970,-8987,Cleaning staff,Working,1.0
409,-14562,-1287,Core staff,State servant,1.0
410,-14562,-1287,Core staff,State servant,1.0
411,-14562,-1287,Core staff,State servant,1.0
412,-14562,-1287,Core staff,State servant,1.0
413,-14562,-1287,Core staff,State servant,1.0
414,-21091,365243,"",Pensioner,0.0
415,-10266,-1652,Managers,State servant,0.0
416,-10266,-1652,Managers,State servant,0.0
417,-10266,-1652,Managers,State servant,0.0
418,-10266,-1652,Managers,State servant,0.0
419,-10266,-1652,Managers,State servant,0.0
420,-14781,-2443,Laborers,Commercial associate,0.0
421,-14781,-2443,Laborers,Commercial associate,0.0
422,-14781,-2443,Laborers,Commercial associate,0.0
423,-14781,-2443,Laborers,Commercial associate,0.0
424,-14781,-2443,Laborers,Commercial associate,0.0
425,-14781,-2443,Laborers,Commercial associate,0.0
426,-14781,-2443,Laborers,Commercial associate,0.0
427,-15140,-4816,Cleaning staff,Working,1.0
428,-15140,-4816,Cleaning staff,Working,1.0
429,-15140,-4816,Cleaning staff,Working,1.0
430,-15140,-4816,Cleaning staff,Working,1.0
431,-15140,-4816,Cleaning staff,Working,1.0
432,-15140,-4816,Cleaning staff,Working,1.0
433,-15140,-4816,Cleaning staff,Working,1.0
434,-15140,-4816,Cleaning staff,Working,1.0
435,-15140,-4816,Cleaning staff,Working,1.0
436,-15140,-4816,Cleaning staff,Working,1.0
437,-15140,-4816,Cleaning staff,Working,1.0
438,-15140,-4816,Cleaning staff,Working,1.0
439,-15140,-4816,Cleaning staff,Working,1.0
440,-15140,-4816,Cleaning staff,Working,1.0
441,-21041,365243,"",Pensioner,0.0
442,-21041,365243,"",Pensioner,0.0
443,-16099,-1866,Laborers,Working,0.0
444,-16099,-1866,Laborers,Working,0.0
445,-16099,-1866,Laborers,Working,0.0
446,-16099,-1866,Laborers,Working,0.0
447,-16099,-1866,Laborers,Working,0.0
448,-22061,365243,"",Pensioner,0.0
449,-22061,365243,"",Pensioner,0.0
450,-22061,365243,"",Pensioner,0.0
451,-22061,365243,"",Pensioner,0.0
452,-20140,365243,"",Pensioner,0.0
453,-20140,365243,"",Pensioner,0.0
454,-20140,365243,"",Pensioner,0.0
455,-20140,365243,"",Pensioner,0.0
456,-20140,365243,"",Pensioner,0.0
457,-20140,365243,"",Pensioner,0.0
458,-20140,365243,"",Pensioner,0.0
459,-20140,365243,"",Pensioner,0.0
460,-20140,365243,"",Pensioner,0.0
461,-20140,365243,"",Pensioner,0.0
462,-20140,365243,"",Pensioner,0.0
463,-20140,365243,"",Pensioner,0.0
464,-20140,365243,"",Pensioner,0.0
465,-20140,365243,"",Pensioner,0.0
466,-20991,-4727,Laborers,Working,1.0
467,-20991,-4727,Laborers,Working,1.0
468,-20991,-4727,Laborers,Working,1.0
469,-20991,-4727,Laborers,Working,1.0
470,-20991,-4727,Laborers,Working,1.0
471,-20991,-4727,Laborers,Working,1.0
472,-20991,-4727,Laborers,Working,1.0
473,-20991,-4727,Laborers,Working,1.0
474,-16203,-7100,Managers,Working,1.0
475,-16203,-7100,Managers,Working,1.0
476,-16203,-7100,Managers,Working,1.0
477,-16203,-7100,Managers,Working,1.0
478,-18674,-5304,Security staff,Working,1.0
479,-18674,-5304,Security staff,Working,1.0
480,-10750,-2443,High skill tech staff,Working,0.0
481,-10750,-2443,High skill tech staff,Working,0.0
482,-10750,-2443,High skill tech staff,Working,0.0
483,-10750,-2443,High skill tech staff,Working,0.0
484,-10750,-2443,High skill tech staff,Working,0.0
485,-10750,-2443,High skill tech staff,Working,0.0
486,-10750,-2443,High skill tech staff,Working,0.0
487,-21155,-130,Drivers,Commercial associate,0.0
488,-21155,-130,Drivers,Commercial associate,0.0
489,-21155,-130,Drivers,Commercial associate,0.0
490,-21155,-130,Drivers,Commercial associate,0.0
491,-19692,-5273,Laborers,Commercial associate,1.0
492,-19692,-5273,Laborers,Commercial associate,1.0
493,-19063,-7404,Managers,Working,1.0
494,-19063,-7404,Managers,Working,1.0
495,-14867,-586,Drivers,Commercial associate,0.0
496,-14867,-586,Drivers,Commercial associate,0.0
497,-14867,-586,Drivers,Commercial associate,0.0
498,-14867,-586,Drivers,Commercial associate,0.0
499,-14867,-586,Drivers,Commercial associate,0.0
500,-14867,-586,Drivers,Commercial associate,0.0
501,-14867,-586,Drivers,Commercial associate,0.0
502,-23187,365243,"",Pensioner,0.0
503,-23187,365243,"",Pensioner,0.0
504,-23187,365243,"",Pensioner,0.0
505,-23187,365243,"",Pensioner,0.0
506,-23187,365243,"",Pensioner,0.0
507,-23187,365243,"",Pensioner,0.0
508,-23187,365243,"",Pensioner,0.0
509,-23187,365243,"",Pensioner,0.0
510,-11281,-1744,Core staff,Working,0.0
511,-11281,-1744,Core staff,Working,0.0
512,-11281,-1744,Core staff,Working,0.0
513,-9430,-1195,Sales staff,Working,0.0
514,-9430,-1195,Sales staff,Working,0.0
515,-9430,-1195,Sales staff,Working,0.0
516,-9430,-1195,Sales staff,Working,0.0
517,-9430,-1195,Sales staff,Working,0.0
518,-14718,-5578,Managers,State servant,1.0
519,-14718,-5578,Managers,State servant,1.0
520,-14718,-5578,Managers,State servant,1.0
521,-14718,-5578,Managers,State servant,1.0
522,-11042,-3174,Core staff,State servant,0.0
523,-11042,-3174,Core staff,State servant,0.0
524,-11042,-3174,Core staff,State servant,0.0
525,-11042,-3174,Core staff,State servant,0.0
526,-11042,-3174,Core staff,State servant,0.0
527,-11042,-3174,Core staff,State servant,0.0
528,-11042,-3174,Core staff,State servant,0.0
529,-11042,-3174,Core staff,State servant,0.0
530,-12506,-495,Accountants,Working,1.0
531,-12506,-495,Accountants,Working,1.0
532,-12506,-495,Accountants,Working,1.0
533,-12506,-495,Accountants,Working,1.0
534,-12506,-495,Accountants,Working,1.0
535,-12506,-495,Accountants,Working,1.0
536,-20604,-252,Security staff,Commercial associate,1.0
537,-20604,-252,Security staff,Commercial associate,1.0
538,-10331,-433,Core staff,Commercial associate,0.0
539,-10331,-433,Core staff,Commercial associate,0.0
540,-13923,-2290,Drivers,Working,1.0
541,-13923,-2290,Drivers,Working,1.0
542,-13923,-2290,Drivers,Working,1.0
543,-13923,-2290,Drivers,Working,1.0
544,-13923,-2290,Drivers,Working,1.0
545,-19304,-464,Core staff,Working,1.0
546,-19304,-464,Core staff,Working,1.0
547,-19304,-464,Core staff,Working,1.0
548,-19304,-464,Core staff,Working,1.0
549,-19304,-464,Core staff,Working,1.0
550,-19304,-464,Core staff,Working,1.0
551,-19304,-464,Core staff,Working,1.0
552,-19304,-464,Core staff,Working,1.0
553,-19304,-464,Core staff,Working,1.0
554,-19569,-1013,Security staff,Working,0.0
555,-8182,-1317,Cooking staff,Working,0.0
556,-8182,-1317,Cooking staff,Working,0.0
557,-19944,365243,"",Pensioner,0.0
558,-19944,365243,"",Pensioner,0.0
559,-8657,-1164,Laborers,Working,0.0
560,-8657,-1164,Laborers,Working,0.0
561,-14835,-1195,Drivers,State servant,0.0
562,-14835,-1195,Drivers,State servant,0.0
563,-19940,365243,"",Pensioner,0.0
564,-19940,365243,"",Pensioner,0.0
565,-23480,365243,"",Pensioner,0.0
566,-23480,365243,"",Pensioner,0.0
567,-23480,365243,"",Pensioner,0.0
568,-23480,365243,"",Pensioner,0.0
569,-23480,365243,"",Pensioner,0.0
570,-9489,-1682,"",State servant,0.0
571,-9489,-1682,"",State servant,0.0
572,-9489,-1682,"",State servant,0.0
573,-9489,-1682,"",State servant,0.0
574,-9489,-1682,"",State servant,0.0
575,-13855,-739,"",Commercial associate,0.0
576,-13855,-739,"",Commercial associate,0.0
577,-14435,-3386,Drivers,Working,1.0
578,-14435,-3386,Drivers,Working,1.0
579,-14435,-3386,Drivers,Working,1.0
580,-17274,-1348,Laborers,State servant,1.0
581,-17274,-1348,Laborers,State servant,1.0
582,-17274,-1348,Laborers,State servant,1.0
583,-17274,-1348,Laborers,State servant,1.0
584,-17274,-1348,Laborers,State servant,1.0
585,-17274,-1348,Laborers,State servant,1.0
586,-17274,-1348,Laborers,State servant,1.0
587,-17274,-1348,Laborers,State servant,1.0
588,-17274,-1348,Laborers,State servant,1.0
589,-17274,-1348,Laborers,State servant,1.0
590,-17274,-1348,Laborers,State servant,1.0
591,-19702,-9870,"",Working,1.0
592,-19702,-9870,"",Working,1.0
593,-19702,-9870,"",Working,1.0
594,-19702,-9870,"",Working,1.0
595,-19702,-9870,"",Working,1.0
596,-19702,-9870,"",Working,1.0
597,-19702,-9870,"",Working,1.0
598,-19702,-9870,"",Working,1.0
599,-19702,-9870,"",Working,1.0
600,-19702,-9870,"",Working,1.0
601,-13241,-4451,"",Commercial associate,1.0
602,-13241,-4451,"",Commercial associate,1.0
603,-13241,-4451,"",Commercial associate,1.0
604,-13241,-4451,"",Commercial associate,1.0
605,-13241,-4451,"",Commercial associate,1.0
606,-12130,-798,Cooking staff,Working,0.0
607,-12130,-798,Cooking staff,Working,0.0
608,-12130,-798,Cooking staff,Working,0.0
609,-9736,-2870,"",Working,1.0
